Index,Facility_Name,Source_Facility_Type,ODCAF_Facility_Type,Provider,Unit,Street_No,Street_Name,Postal_Code,City,Prov_Terr,Source_Format_Address,CSD_Name,CSDUID,PRUID,Latitude,Longitude
3135,Djavad Mowafaghian Cinema,theatre/performance,theatre/performance and concert hall,vancouver,..,149,hastings st w,V6B 1H4,vancouver,bc,149 w hastings st vancouver bc v6b 1h4,Vancouver,5915022,59,49.282364,-123.108528
3140,Doctor Vigari Gallery,museum/gallery,gallery,vancouver,..,1816,commercial dr,V5N 4A3,vancouver,bc,1816 commercial dr vancouver bc v5n 4a3,Vancouver,5915022,59,49.2683622,-123.0692806
3143,Dogma Portraits,individual artists,artist,new westminster,..,..,..,..,new-westminster,bc,..,New Westminster,5915029,59,49.21222676,-122.9205007
3171,Dorothy Somerset Studio Theatre,theatre/performance,theatre/performance and concert hall,vancouver,..,6361,university blvd,V6T 1Z2,vancouver,bc,6361 university blvd vancouver bc v6t 1z2,Greater Vancouver A,5915020,59,49.2643788,-123.2543722
3183,Douglas Reynolds Gallery,museum/gallery,gallery,vancouver,..,2335,granville st,V6H 3G4,vancouver,bc,2335 granville st vancouver bc v6h 3g4,Vancouver,5915022,59,49.2648423,-123.1385998
3184,Douglas Udell Gallery,museum/gallery,gallery,vancouver,..,1558,6th av w,V6J 1R2,vancouver,bc,1558 w 6th av vancouver bc v6j 1r2,Vancouver,5915022,59,49.2661804,-123.1399725
3202,Dr. Sun Yat-Sen Classical Chinese Garden,museum/gallery,museum,vancouver,..,578,carrall st,V6B 5K2,vancouver,bc,578 carrall st vancouver bc v6b 5k2,Vancouver,5915022,59,49.279983,-123.104168
3232,Dunbar,..,library or archives,vancouver,..,4515,dunbar st,..,vancouver,bc,4515 dunbar st,Vancouver,5915022,59,49.246,-123.1856
3235,Dundarave Print Workshop & Gallery,museum/gallery,gallery,vancouver,..,1640,johnston st,V6H 3S2,vancouver,bc,1640 johnston st vancouver bc v6h 3s2,Vancouver,5915022,59,49.2721848,-123.1353489
3251,Dynamo Arts Association,museum/gallery,museum,vancouver,..,30,6th ave e,V5T 1J4,vancouver,bc,30 e 6th ave vancouver bc v5t 1j4,Vancouver,5915022,59,49.2653017,-123.1040486
3255,Eagle Spirit Gallery,museum/gallery,gallery,vancouver,..,1803,maritime mews,V6H 3W7,vancouver,bc,1803 maritime mews vancouver bc v6h 3w7,Vancouver,5915022,59,49.2710507,-123.136077
3379,Eileen Kernaghan,individual artists,artist,new westminster,..,..,..,..,new-westminster,bc,..,New Westminster,5915029,59,49.21059429,-122.9085843
3395,Elissa Cristall Galleries,museum/gallery,gallery,vancouver,..,2239,granville st,V6H 3G1,vancouver,bc,2239 granville st vancouver bc v6h 3g1,Vancouver,5915022,59,49.2655257,-123.1385822
3396,Elizabeth Elwood,individual artists,artist,new westminster,..,..,..,..,new-westminster,bc,bernie legge theatre,New Westminster,5915029,59,49.21423991,-122.9032852
3424,Emily Carr Institute of Art + Design 1612 Gallery,museum/gallery,gallery,vancouver,..,1612,3rd av w,V6J 1K2,vancouver,bc,1612 w 3rd av vancouver bc v6j 1k2,Vancouver,5915022,59,49.2688004,-123.1411548
3451,Equinox Gallery,museum/gallery,gallery,vancouver,..,525,great way,V5T 1E1,vancouver,bc,525 great northern way vancouver bc v5t 1e1,Vancouver,5915022,59,49.267609,-123.09226
3478,Esquimalt Branch,greater victoria public library,library or archives,government of british columbia,..,1231,esquimalt road,V9A 3P1,fort langley,bc,1231 esquimalt road,Esquimalt,5917040,59,48.429873,-123.409324
3492,Euro Artistic Metals Ltd,gutter installations contractor,artist,township of langley,..,21446,83b ave,..,township of langley,bc,..,Langley,5915001,59,49.15456337,-122.6289841
3506,Evergreen Cultural Centre Society,art gallery exhibition or cultural centre music/performing arts,gallery,canadian museums association,..,1205,pine way,V3B 7Y3,coquitlam,bc,1205 pine tree way coquitlam british columbia v3b 7y3 canada,Coquitlam,5915034,59,49.2853872,-122.7909589
3541,Famous Players Limited Partnership (Theatre),theatre in colossus,theatre/performance and concert hall,township of langley,..,20090,91a ave,..,township of langley,bc,..,Langley,5915001,59,49.16790012,-122.6652397
3542,Fanclub,theatre/performance,theatre/performance and concert hall,vancouver,..,1050,granville st,V6Z 1L2,vancouver,bc,1050 granville st vancouver bc v6z 1l2,Vancouver,5915022,59,49.2784977,-123.1235587
3543,Fang-Chih Liao,artist & personal art instruction,artist,burnaby,..,9985,david dr,..,burnaby,bc,9985 david dr,Burnaby,5915025,59,49.2564138,-122.8937098
3560,Federation Gallery,museum/gallery,gallery,vancouver,..,1241,cartwright st,V6H 4B7,vancouver,bc,1241 cartwright st vancouver bc v6h 4b7,Vancouver,5915022,59,49.269582,-123.13225
3561,Fei & Milton Wong Experimental Theatre,theatre/performance,theatre/performance and concert hall,vancouver,..,149,hastings st w,V6B 1H4,vancouver,bc,149 w hastings st vancouver bc v6b 1h4,Vancouver,5915022,59,49.282402,-123.10859
3569,Ferry Building Gallery,arts,gallery,district of north vancouver,..,..,..,..,vancouver,bc,..,West Vancouver,5915055,59,49.32701461,-123.1578963
3756,Field Contemporary,museum/gallery,museum,vancouver,..,17,broadway w,V5Y 1P1,vancouver,bc,17 w broadway vancouver bc v5y 1p1,Vancouver,5915022,59,49.2630895,-123.1058083
3762,Film2Frame Studio Gallery,..,gallery,new westminster,..,655,front street,..,new-westminster,bc,655 front street,New Westminster,5915029,59,49.20233668,-122.9086714
3774,Firehall Arts Centre,theatre/performance,theatre/performance and concert hall,vancouver,..,280,cordova st e,V6A 1L3,vancouver,bc,280 e cordova st vancouver bc v6a 1l3,Vancouver,5915022,59,49.282083,-123.097921
3775,Firehall Branch,vancouver public library,library or archives,government of british columbia,..,1455,10th avenue west,V6H 1J8,surrey,bc,1455 west 10th avenue,Vancouver,5915022,59,49.262674,-123.137671
3874,Fort Langley National Historic Site of Canada,historic site-building or park,heritage or historic site,canadian museums association,..,23433,mavis ave,V1M 2R5,fort langley,bc,23433 mavis ave. fort langley british columbia v1m 2r5 canada,Langley,5915001,59,49.1674941,-122.5719671
3881,Fort Nelson Public Library,fort nelson public library,library or archives,government of british columbia,..,5315,50th avenue s,V0C 1R0,vancouver,bc,5315 - 50th avenue s,Northern Rockies,5959007,59,58.80442,-122.706149
3895,Fort St. James Centennial Library,fort st. james centennial library,library or archives,government of british columbia,..,425,manson street,V0J 1P0,coquitlam,bc,425 manson street,Fort St. James,5951013,59,54.445248,-124.255224
3899,Fort St. John Public Library Association,fort st. john public library association,library or archives,government of british columbia,..,10015,100th avenue,V1J 1Y7,coquitlam,bc,10015 - 100th avenue,Fort St. John,5955034,59,56.246452,-120.848044
3920,Fortune Sound Club,theatre/performance,theatre/performance and concert hall,vancouver,..,147,pender st e,V6A 1T5,vancouver,bc,147 e pender st vancouver bc v6a 1t5,Vancouver,5915022,59,49.2806621,-123.1008605
3946,"Franci Louann, Poet, Mentor, Proofreader",individual artists,artist,new westminster,..,..,..,..,new-westminster,bc,..,New Westminster,5915029,59,49.2133457,-122.9257951
3969,Fraser River Discovery Centre,interpretation centre,art or cultural centre,canadian museums association,..,788,quayside drive,V3M 6Z6,new-westminster,bc,788 quayside drive new westminster british columbia v3m 6z6 canada,New Westminster,5915029,59,49.20049735,-122.9100439
3973,Fraserview,..,library or archives,vancouver,..,1950,argyle drive,..,vancouver,bc,1950 argyle drive,Vancouver,5915022,59,49.2197,-123.0669
3979,Frederic Wood Theatre,theatre/performance,theatre/performance and concert hall,vancouver,..,6354,crescent rd,V6T 1Z2,vancouver,bc,6354 crescent rd vancouver bc v6t 1z2,Greater Vancouver A,5915020,59,49.268215,-123.2572691
3987,Freeflow Scenics Studio,individual artists,artist,new westminster,..,..,..,..,new-westminster,bc,..,New Westminster,5915029,59,49.22821217,-122.8960336
4023,Gabor Gasztonyi Studio & Gallery,..,gallery,new westminster,..,..,..,..,new-westminster,bc,..,New Westminster,5915029,59,49.21008247,-122.9341905
4152,Galiano Island Community Library,pender island public library,library or archives,government of british columbia,..,2540,sturdies bay road,V0N 1P0,vancouver,bc,2540 sturdies bay road,Southern Gulf Islands,5917029,59,48.879085,-123.318603
4167,Gallery 295,museum/gallery,gallery,vancouver,..,295,2nd ave e,V5T 1B8,vancouver,bc,295 e 2nd ave vancouver bc v5t 1b8,Vancouver,5915022,59,49.2680645,-123.0981191
4177,Gallery Gachet,museum/gallery,gallery,vancouver,..,88,cordova st e,V6A 1K2,vancouver,bc,88 e cordova st vancouver bc v6a 1k2,Vancouver,5915022,59,49.2821,-123.102645
4180,Gallery Jones,museum/gallery,gallery,vancouver,..,258,1st av e,V5T 1A6,vancouver,bc,258 e 1st av vancouver bc v5t 1a6,Vancouver,5915022,59,49.269727,-123.098623
4181,Gallery Jones,museum/gallery,gallery,vancouver,..,1725,3rd av w,V6J 1K7,vancouver,bc,1725 w 3rd av vancouver bc v6j 1k7,Vancouver,5915022,59,49.2689012,-123.1438197
4183,Gallery of BC Ceramics,museum/gallery,gallery,vancouver,..,1359,cartwright st,V6H 3R7,vancouver,bc,1359 cartwright st vancouver bc v6h 3r7,Vancouver,5915022,59,49.270046,-123.134283
4194,Gallery-The Spa Ltd,all other personal services,gallery,new westminster,..,621,belmont st,V3M 5Z8,new-westminster,bc,a 621 belmont stnew westminster bc v3m 5z8,New Westminster,5915029,59,..,..
4198,Gam Gallery,museum/gallery,gallery,vancouver,..,110,hastings st e,V6N 1N4,vancouver,bc,110 e hastings st vancouver bc v6n 1n4,Vancouver,5915022,59,49.2813343,-123.101858
4253,Gillian Wright,individual artists,artist,new westminster,..,..,..,..,new-westminster,bc,..,New Westminster,5915029,59,49.20580087,-122.9159098
4288,Gms Observatory,museum/gallery,museum,vancouver,..,1100,chestnut st,V6J 3J9,vancouver,bc,1100 chestnut st vancouver bc v6j 3j9,Vancouver,5915022,59,49.276261,-123.144436
4299,Golden Branch,okanagan regional library district,library or archives,government of british columbia,..,819,park avenue,V0A 1H0,vancouver,bc,819 park avenue,Golden,5939007,59,51.297745,-116.964029
4310,Gordon Smith Gallery of Canadian Art,art gallery,gallery,canadian museums association,..,2121,lonsdale avenue,V7M 2K6,vancouver,bc,2121 lonsdale avenue north vancouver british columbia v7m 2k6 canada,North Vancouver,5915046,59,49.3387479,-123.0719629
4361,Granisle Public Library,granisle public library,library or archives,government of british columbia,..,2,village avenue,V0J 1W0,burnaby,bc,#2 village square - mcdonald avenue,Granisle,5951032,59,54.88542,-126.204987
4368,Granville Fine Arts,museum/gallery,museum,vancouver,..,2447,granville st,V6H 3G5,vancouver,bc,2447 granville st vancouver bc v6h 3g5,Vancouver,5915022,59,49.2638926,-123.1386339
4369,Granville Island Gallery,museum/gallery,gallery,vancouver,..,1494,old st,V6H 3S6,vancouver,bc,1494 old bridge st vancouver bc v6h 3s6,Vancouver,5915022,59,49.270213,-123.134769
4387,Greater Vancouver Regional District Parks Department,historic site-building or park park,heritage or historic site,canadian museums association,..,4330,kingsway street,V5H 2G8,burnaby,bc,4330 kingsway street burnaby british columbia v5h 2g8 canada,Burnaby,5915025,59,49.2565552,-123.0069167
4431,Grunt Gallery,museum/gallery,gallery,vancouver,..,350,2nd av e,V5T 4R8,vancouver,bc,350 e 2nd av vancouver bc v5t 4r8,Vancouver,5915022,59,49.26676,-123.09715
4442,Guildford,surrey public library,library or archives,government of british columbia,..,15105,105th avenue,V3R 7G8,maple ridge,bc,15105 - 105th avenue,Surrey,5915004,59,49.193243,-122.803609
4446,Gulf of Georgia Cannery National Historic Site,historic site-building or park,heritage or historic site,canadian museums association,..,12138,4th ave,V7E 3J1,richmond,bc,gulf of georgia cannery society 12138 4th ave richmond british columbia v7e 3j1 canada,Richmond,5915015,59,49.12474915,-123.1869615
4448,Guy Allen,individual artists,artist,new westminster,..,..,..,..,new-westminster,bc,apt. 1516,New Westminster,5915029,59,49.22354832,-122.9164876
4454,H.R. Macmillan Space Centre,museum/gallery,museum,vancouver,..,1100,chestnut st,V6J 3J9,vancouver,bc,1100 chestnut st vancouver bc v6j 3j9,Vancouver,5915022,59,49.276361,-123.144299
4506,Haney House Museum,historic site-building or park,museum,canadian museums association,..,11617,224th street,V2X 5Z7,maple ridge,bc,11617-224th street maple ridge british columbia v2x 5z7 canada,..,..,59,..,..
4528,Harrison Galleries,museum/gallery,gallery,vancouver,..,901,homer st,V6B 2W6,vancouver,bc,901 homer st vancouver bc v6b 2w6,Vancouver,5915022,59,49.2784569,-123.1184779
4537,Hastings,..,library or archives,vancouver,..,2674,hastings st e,..,vancouver,bc,2674 e hastings st,Vancouver,5915022,59,49.2809,-123.05
4541,Hastings Mill Store Museum,museum/gallery,museum,vancouver,..,1575,alma st west,V6R 3P3,vancouver,bc,1575 alma st vancouver bc v6r 3p3,Vancouver,5915022,59,49.272817,-123.185988
4542,Hatch Art Gallery,museum/gallery,gallery,vancouver,..,6133,university blvd,V6T 1Z1,vancouver,bc,6133 university blvd vancouver bc v6t 1z1,Greater Vancouver A,5915020,59,49.266025,-123.249913
4545,Havana Gallery,museum/gallery,gallery,vancouver,..,1212,commercial dr,V5L 3X4,vancouver,bc,1212 commercial dr vancouver bc v5l 3x4,Vancouver,5915022,59,49.273662,-123.069421
4546,Havana Theatre,theatre/performance,theatre/performance and concert hall,vancouver,..,1212,commercial dr,V5L 3X4,vancouver,bc,1212 commercial dr vancouver bc v5l 3x4,Vancouver,5915022,59,49.2737114,-123.0694828
4583,Heffel Gallery Ltd,museum/gallery,gallery,vancouver,..,2247,granville st,V6H 3G1,vancouver,bc,2247 granville st vancouver bc v6h 3g1,Vancouver,5915022,59,49.2654685,-123.1389124
4584,Heidi Zolty,ballet school-16 students/3 instr max combined with bus02-00596,theatre/performance and concert hall,burnaby,..,4528,hastings st,..,burnaby,bc,4528 hastings st,Burnaby,5915025,59,49.28073617,-123.0019167
4592,Hendry Hall Theatre,arts,theatre/performance and concert hall,district of north vancouver,..,..,..,..,vancouver,bc,..,North Vancouver,5915046,59,49.31728509,-123.0514318
4607,Heritage Chiropractic & Laser Therapy,chiropractic & laser therapy,heritage or historic site,township of langley,..,4775,216 st,..,township of langley,bc,..,Langley,5915001,59,49.08889962,-122.6249818
4610,Heritage Christian School,school,heritage or historic site,surrey,..,..,..,..,surrey,bc,..,Surrey,5915004,59,49.06475098,-122.8184636
4611,Heritage Circle Installations Ltd,general contractor,heritage or historic site,township of langley,..,20998,93a ave,..,township of langley,bc,..,Langley,5915001,59,49.17229094,-122.6390509
4614,Heritage Creek Design,residential renovations & design,heritage or historic site,township of langley,..,21736,50 ave,..,township of langley,bc,..,Langley,5915001,59,49.09266268,-122.6209107
4619,Heritage Drywall Ltd,drywall contractor,heritage or historic site,township of langley,..,..,..,..,township of langley,bc,..,Langley,5915001,59,49.1199896,-122.6557541
4620,Heritage Electric Ltd,contractor,heritage or historic site,maple ridge,..,20071,113b ave,..,maple ridge,bc,..,Maple Ridge,5915075,59,49.20973569,-122.666899
4642,Heritage House Rescue & Restoration,construction / specialty trade contractors,heritage or historic site,new westminster,..,1019,third ave,V3M 1P6,new-westminster,bc,1019 third avenew westminster bc v3m 1p6,New Westminster,5915029,59,..,..
4644,Heritage Life Drawing Society,..,heritage or historic site,new westminster,..,927,london place,..,new-westminster,bc,927 london place,New Westminster,5915029,59,49.20097994,-122.958166
