id,pop,lat,lon,score
59150004004,35,49.3739,-123.2738,0.409541157247884
59150004005,50,49.3746,-123.2757,0.404882648999698
59150004006,94,49.3738,-123.2763,0.404903464256081
59150004011,0,49.3735,-123.2725,0.40617424378653494
59150004012,0,49.3725,-123.2729,0.403910342232304
59150004013,0,49.3724,-123.2728,0.39901987170120395
59150004014,0,49.3869,-123.2578,0.18930899259283301
59150004017,0,49.3848,-123.2601,0.18930899259283301
59150004018,189,49.3895,-123.2575,0.18644830565030898
59150004019,0,49.4057,-123.2426,0.186519701526381
59150005003,88,49.3717,-123.2792,0.385287325391784
59150005007,24,49.3699,-123.2776,0.393517619377685
59150005015,0,49.371,-123.2745,0.37588012069526
59150005016,74,49.3725,-123.277,0.41063662067126
59150005017,317,49.3716,-123.2758,0.40742437443711105
59150006004,29,49.3708,-123.2818,0.372117185134434
59150006005,10,49.3705,-123.2805,0.379173038155137
59150006006,93,49.3694,-123.2814,0.328130512972407
59150006007,32,49.3699,-123.2826,0.30897721730473904
59150006010,107,49.3731,-123.2802,0.295682977748657
59150006011,161,49.3744,-123.278,0.408245351274409
59150007007,108,49.3718,-123.2835,0.306225485426132
59150007008,146,49.3766,-123.2786,0.303381326251784
59150008003,72,49.3536,-123.2738,0.28444175596868604
59150008006,215,49.3549,-123.2665,0.31792765451359006
59150008007,20,49.3549,-123.275,0.31977201216955603
59150008008,111,49.36,-123.2818,0.297167206996128
59150008009,178,49.3649,-123.2842,0.2958125408617
59150009001,23,49.3663,-123.2826,0.295682977748657
59150009002,41,49.3652,-123.282,0.29403942876544
59150009003,172,49.367,-123.2788,0.330808247706364
59150009008,100,49.3608,-123.2797,0.28353883937127
59150009009,10,49.3592,-123.2832,0.315106976884893
59150009018,0,49.3661,-123.2754,0.300540944256513
59150009019,0,49.3608,-123.2732,0.27021143066887
59150009021,53,49.3626,-123.2763,0.25347928969537803
59150009022,0,49.3646,-123.2751,0.288478274167081
59150010001,147,49.3586,-123.2648,0.311099886084299
59150010003,34,49.3568,-123.2631,0.328508006452281
59150010004,145,49.356,-123.2662,0.31388953549318893
59150010005,30,49.3546,-123.268,0.31102696087748805
59150010011,0,49.361,-123.2745,0.272060120564089
59150010012,0,49.3607,-123.2743,0.28360522137323996
59150010013,475,49.3587,-123.2681,0.331274849755833
59150010014,0,49.3615,-123.2636,0.30278759497974395
59150012001,162,49.3527,-123.2467,0.28398581552536
59150012005,36,49.3493,-123.2524,0.312342501845654
59150012006,314,49.3478,-123.2511,0.301201070443328
59150012009,0,49.3512,-123.2486,0.31704506589340803
59150012010,0,49.3509,-123.2497,0.31416436269688897
59150012012,0,49.3515,-123.2486,0.310121454795485
59150013001,112,49.3551,-123.2501,0.266708830532625
59150013002,162,49.3562,-123.2452,0.0941903930933044
59150013003,86,49.354,-123.2517,0.302551029817634
59150014007,0,49.3612,-123.2721,0.23508664743887397
59150014012,15,49.3499,-123.2416,0.295956119433462
59150014013,0,49.3494,-123.2412,0.29424705248523103
59150014017,0,49.3879,-123.2563,0.186468207207232
59150014023,0,49.3481,-123.2277,0.11381133536950098
59150014024,0,49.3721,-123.2701,0.27051988309008496
59150014025,0,49.3614,-123.2726,0.25194362384280106
59150015001,138,49.3477,-123.2306,0.10333222561425802
59150015002,243,49.345,-123.2257,0.352308517940648
59150015003,114,49.3461,-123.2227,0.12009499443946801
59150016003,289,49.3445,-123.2141,0.215770964888755
59150016004,36,49.3425,-123.2119,0.39050732049326703
59150016005,88,49.3434,-123.2083,0.363619040273277
59150017003,26,49.3425,-123.2144,0.38643740264334997
59150017005,24,49.3406,-123.2177,0.37580073717252205
59150017009,252,49.3412,-123.2195,0.366781649427418
59150018001,28,49.3402,-123.2399,0.37801167516252293
59150018005,52,49.3413,-123.2096,0.39050732049326703
59150018006,26,49.3399,-123.2033,0.38665429525675
59150018007,29,49.3395,-123.201,0.388479549739384
59150018008,99,49.34,-123.2357,0.37058329314503796
59150018009,75,49.3401,-123.2225,0.39050732049326703
59150018010,188,49.3386,-123.2024,0.388479549739384
59150018011,44,49.3395,-123.239,0.363428760518201
59150019001,73,49.3456,-123.2333,0.107790941785013
59150019002,188,49.3448,-123.2363,0.331839745321167
59150019003,48,49.3419,-123.2337,0.38151758678716796
59150019004,0,49.3412,-123.2377,0.37544836779907703
59150019005,237,49.3435,-123.229,0.335512137850297
59150019006,36,49.3421,-123.2283,0.38348564092158705
59150019007,15,49.3448,-123.2304,0.10333222561425802
59150020001,33,49.3477,-123.241,0.29736078218715
59150020002,184,49.3463,-123.2421,0.291080682305051
59150020003,172,49.3459,-123.2398,0.29736078218715
59150021001,207,49.343,-123.244,0.34817535023757396
59150021005,25,49.3402,-123.2413,0.373327387028748
59150021006,55,49.3407,-123.2429,0.363428760518201
59150022001,90,49.3482,-123.2475,0.31588340249083297
59150022002,129,49.3465,-123.2454,0.329943068757466
59150022003,73,49.3461,-123.2475,0.33359156538796303
59150023001,54,49.345,-123.2507,0.308294124783192
59150023005,5,49.341,-123.2506,0.374799082630904
59150023010,82,49.3437,-123.2491,0.352697717142687
59150023011,413,49.3424,-123.2535,0.332176998749561
