"","theatre.performance.and.concert.hall.fromId","theatre.performance.and.concert.hall.nearest1","theatre.performance.and.concert.hall.sd1"
"1","59150004004",0.381632928475033,0.532425633083964
"2","59150004005",0.403675213675214,0.502334267968493
"3","59150004006",0.409847053531264,0.495765544260599
"4","59150004011",0.390008996851102,0.532219650206689
"5","59150004012",0.404556905083221,0.513343389566926
"6","59150004013",0.448421052631579,0.470015263582574
"7","59150004014",0.706315789473684,0.731516283241961
"8","59150004017",0.706315789473684,0.731516283241961
"9","59150004018",0.707927631578947,0.727525579255317
"10","59150004019",0.70765899122807,0.727934119105478
"11","59150005003",0.465173189383715,0.46705644453263
"12","59150005007",0.457899235267656,0.452579233396716
"13","59150005015",0.477296446243815,0.485052210430517
"14","59150005016",0.42042735042735,0.465235247616939
"15","59150005017",0.423292847503374,0.460117358962243
"16","59150006004",0.473769680611785,0.511677751491106
"17","59150006005",0.457017543859649,0.508954382841368
"18","59150006006",0.5,0.568112634021616
"19","59150006007",0.530197930724246,0.555240469485854
"20","59150006010",0.551138101664417,0.558652772967627
"21","59150006011",0.423733693207377,0.461363397935312
"22","59150007007",0.532843004948268,0.564490306147562
"23","59150007008",0.546729644624381,0.540348732306888
"24","59150008003",0.585083220872695,0.561287639105366
"25","59150008006",0.526009896536212,0.574139149099377
"26","59150008007",0.51961763382816,0.579349023378693
"27","59150008008",0.557971210076473,0.556854117010283
"28","59150008009",0.562820512820513,0.553673131325403
"29","59150009001",0.551138101664417,0.558652772967627
"30","59150009002",0.563481781376518,0.547335333213339
"31","59150009003",0.500440845704004,0.566071105091226
"32","59150009008",0.581556455240666,0.549946938553182
"33","59150009009",0.532181736392262,0.560167469714956
"34","59150009018",0.548052181736392,0.559623315795012
"35","59150009019",0.593679712100765,0.541016705441914
"36","59150009021",0.606023391812865,0.533059459946434
"37","59150009022",0.568992352676563,0.550318569477379
"38","59150010001",0.540337381916329,0.582053217168155
"39","59150010003",0.491623931623931,0.574139149099377
"40","59150010004",0.531079622132254,0.580956370923463
"41","59150010005",0.540116959064328,0.583409178778514
"42","59150010011",0.591034637876743,0.53688203100675
"43","59150010012",0.583981106612686,0.533152309264019
"44","59150010013",0.480602789023841,0.579688521909302
"45","59150010014",0.556869095816464,0.577863482563406
"46","59150012001",0.554746075715605,0.589679192159948
"47","59150012005",0.503845798707294,0.617085794271531
"48","59150012006",0.527825484764543,0.592488915626932
"49","59150012009",0.505881809787627,0.629415472965969
"50","59150012010",0.502262234533702,0.626049891727895
"51","59150012012",0.515609418282548,0.602376566279554
"52","59150013001",0.576463527239151,0.554787192209395
"53","59150013002",0.875666666666667,0.714374123635199
"54","59150013003",0.522396121883656,0.592924139272036
"55","59150014007",0.640409356725146,0.553777447096691
"56","59150014012",0.536195752539243,0.608328801600286
"57","59150014013",0.538684210526316,0.609188818503704
"58","59150014017",0.706853070175439,0.729783994423108
"59","59150014023",0.864358974358971,0.779173362674578
