"","miscellaneous.fromId","miscellaneous.nearest3","miscellaneous.sd3"
"1","59150004004",0.48897885739991,0.50756907013411
"2","59150004005",0.509478182636077,0.484943583419399
"3","59150004006",0.51711950817214,0.483331924973397
"4","59150004011",0.497428400059979,0.499688157364552
"5","59150004012",0.512784525416104,0.481138029340884
"6","59150004013",0.559146798620483,0.382746064223566
"7","59150004014",0.789911782296651,0.622065537901317
"8","59150004017",0.789911782296651,0.622065537901317
"9","59150004018",0.790970062466773,0.61862726285851
"10","59150004019",0.790793682438419,0.620017650614754
"11","59150005003",0.567228969860549,0.515659652995602
"12","59150005007",0.559661118608487,0.419998358028375
"13","59150005015",0.587140500824711,0.498390168716049
"14","59150005016",0.5244669365722,0.455726378477579
"15","59150005017",0.529095816464237,0.449881203617104
"16","59150006004",0.5735477582846,0.540605968302536
"17","59150006005",0.556060878692458,0.545112473970896
"18","59150006006",0.590005997900735,0.541890977621607
"19","59150006007",0.617779277252961,0.55962276341033
"20","59150006010",0.639748088169142,0.542554412313823
"21","59150006011",0.52814065077223,0.446847941675174
"22","59150007007",0.620350877192984,0.558866603996353
"23","59150007008",0.637543859649123,0.542679160305411
"24","59150008003",0.655251162093267,0.527695398377975
"25","59150008006",0.59691258059679,0.54089677115448
"26","59150008007",0.593091917828761,0.539173993243248
"27","59150008008",0.637249962513121,0.534946479881982
"28","59150008009",0.646728145149197,0.528844807403966
"29","59150009001",0.639748088169142,0.542554412313823
"30","59150009002",0.649961013645224,0.532564464626122
"31","59150009003",0.585009746588693,0.556731702721141
"32","59150009008",0.661055630529314,0.535632945026851
"33","59150009009",0.611093117408906,0.521894831973912
"34","59150009018",0.633723196881091,0.546688625725468
"35","59150009019",0.67633828160144,0.523385008406482
"36","59150009021",0.697121836304663,0.537963750045301
"37","59150009022",0.656573699205279,0.534149766123806
"38","59150010001",0.61153396311291,0.541074389545353
"39","59150010003",0.563040935672513,0.555525073078455
"40","59150010004",0.602790523316839,0.544437244904474
"41","59150010005",0.61153396311291,0.541074389545353
"42","59150010011",0.672958464537413,0.514244238521816
"43","59150010012",0.665023241865348,0.523922404566221
"44","59150010013",0.552607587344429,0.563557165824131
"45","59150010014",0.627918728445044,0.543852790266466
"46","59150012001",0.630534224827853,0.600703467682651
"47","59150012005",0.593124787903182,0.60603917895905
"48","59150012006",0.607992356302605,0.557059514829223
"49","59150012009",0.593076449558444,0.611526029628014
"50","59150012010",0.591407809898114,0.607994575606608
"51","59150012012",0.600932397345141,0.592207849195413
"52","59150013001",0.6546377093053,0.624091113199733
"53","59150013002",0.848120190827945,0.791113999310148
"54","59150013003",0.606626654355187,0.568960006469376
"55","59150014007",0.69976433248363,0.530189609244826
"56","59150014012",0.611754908541612,0.566645873871981
"57","59150014013",0.613722462074261,0.566404092704506
"58","59150014017",0.790264542353358,0.62455092499693
"59","59150014023",0.817127577716219,0.780260759667831
"60","59150014024",0.671121607437397,0.496291094264604
"61","59150014025",0.690077972709551,0.534881187885896
"62","59150015001",0.831869806094183,0.78636870762716
"63","59150015002",0.528948867896236,0.543553749251635
"64","59150015003",0.812527700831025,0.779431020586755
"65","59150016003",0.702030802377064,0.671462366457581
"66","59150016004",0.435489578647473,0.585574225702397
"67","59150016005",0.505437097016044,0.540108934941831
"68","59150017003",0.453196881091618,0.579549447185637
"69","59150017005",0.482733543259859,0.546516328481487
"70","59150017009",0.498897885739991,0.542825816561648
"71","59150018001",0.474651372019793,0.551912529697956
"72","59150018005",0.435489578647473,0.585574225702397
"73","59150018006",0.453270355375619,0.579066225959819
"74","59150018007",0.444306492727545,0.582764634252162
"75","59150018008",0.489419703103914,0.541342899633161
"76","59150018009",0.435489578647473,0.585574225702397
"77","59150018010",0.444306492727545,0.582764634252162
"78","59150018011",0.505363622732044,0.540413299936571
"79","59150019001",0.82421591258849,0.78322612785532
"80","59150019002",0.568992352676562,0.549212698686474
"81","59150019003",0.46811216074374,0.563681598211668
"82","59150019004",0.482660068975858,0.547438938852409
"83","59150019005",0.560616284300493,0.548013051162151
"84","59150019006",0.460176938071675,0.567429193338481
"85","59150019007",0.831869806094183,0.78636870762716
"86","59150020001",0.609497533971218,0.580524948855631
"87","59150020002",0.615908295894447,0.58126706268975
"88","59150020003",0.609497533971218,0.580524948855631
"89","59150021001",0.526156845104213,0.56776913299392
"90","59150021005",0.481411006147849,0.556893851150871
"91","59150021006",0.505363622732044,0.540413299936571
"92","59150022001",0.583540260908682,0.611987131013749
"93","59150022002",0.556060878692459,0.584818239455408
"94","59150022003",0.548419553156395,0.579347335779253
"95","59150023001",0.603819163292847,0.557484295938337
"96","59150023005",0.495297645823962,0.519072249637372
"97","59150023010",0.52938971360024,0.539416096935614
"98","59150023011",0.563040935672516,0.556605987265478
"99","59150024001",0.506024891288049,0.549031311557525
"100","59150024002",0.510212925476083,0.551892026046212
"101","59150024005",0.514400959664117,0.559856764795922
"102","59150024006",0.510286399760084,0.552198941680869
"103","59150024012",0.532916479232269,0.522013197880017
"104","59150024015",0.542468136152346,0.550274365915311
"105","59150024016",0.537251461988304,0.524732605414151
"106","59150024017",0.50484930274404,0.548902297551274
"107","59150025001",0.556134352976459,0.553708082213691
"108","59150025004",0.530859199280252,0.557083339765818
"109","59150025007",0.537545359124306,0.543845052206863
"110","59150025008",0.551211575948417,0.544635796272827
"111","59150025009",0.567890238416553,0.543308611152455
"112","59150025010",0.533945119208277,0.55018850767749
"113","59150027004",0.368627980206928,0.474678852965221
"114","59150027005",0.389127305443095,0.483125214008546
"115","59150028001",0.400001499475184,0.527477217880289
