"","library.or.archives.fromId","library.or.archives.nearest3","library.or.archives.sd3"
"1","59150004004",0.356431249062828,0.442895848318433
"2","59150004005",0.376416254310991,0.442597433058183
"3","59150004006",0.383763682711051,0.433626806197864
"4","59150004011",0.364954266006897,0.464907581876495
"5","59150004012",0.379722597091018,0.448464994288502
"6","59150004013",0.426158344579397,0.387010563525248
"7","59150004014",0.676586257309941,0.259632401908306
"8","59150004017",0.676586257309941,0.259632401908306
"9","59150004018",0.678181818181818,0.268720965510265
"10","59150004019",0.677915891369839,0.268720965510265
"11","59150005003",0.434681361523467,0.365805409194939
"12","59150005007",0.427040035987405,0.387726498708056
"13","59150005015",0.454592892487629,0.373312544811741
"14","59150005016",0.391331533963113,0.410598660420836
"15","59150005017",0.395739991003149,0.404041064486144
"16","59150006004",0.441514469935523,0.349964457050507
"17","59150006005",0.42402759034338,0.352096128038843
"18","59150006006",0.460985155195681,0.50605206377919
"19","59150006007",0.490374868795921,0.389722190700648
"20","59150006010",0.512490628280102,0.361910868666751
"21","59150006011",0.39471135102714,0.40472845736368
"22","59150007007",0.493460788723947,0.392140274500923
"23","59150007008",0.509625131204078,0.361910868666751
"24","59150008003",0.53548807917229,0.265908180783258
"25","59150008006",0.477076023391813,0.234013180022078
"26","59150008007",0.471932823511771,0.234013180022078
"27","59150008008",0.513151896836107,0.3919589504695
"28","59150008009",0.521307542360174,0.344109993553857
"29","59150009001",0.512490628280102,0.361910868666751
"30","59150009002",0.523070925176188,0.339277954312692
"31","59150009003",0.45834008097166,0.386370094433053
"32","59150009008",0.536957564852301,0.419082370679192
"33","59150009009",0.487142000299895,0.507207139581576
"34","59150009018",0.507200479832059,0.371088237352682
"35","59150009019",0.551064627380417,0.345634209032858
"36","59150009021",0.568037186984555,0.325947328418318
"37","59150009022",0.529095816464237,0.205839226602054
"38","59150010001",0.491623931623932,0.521940024451918
"39","59150010003",0.442910481331534,0.303428750998452
"40","59150010004",0.48280701754386,0.428446426033921
"41","59150010005",0.49147698305593,0.521940024451918
"42","59150010011",0.547684810316389,0.345634209032858
"43","59150010012",0.540263907632329,0.400146337761533
"44","59150010013",0.432036287299445,0.369380124729923
"45","59150010014",0.508008696956065,0.454499490395173
"46","59150012001",0.506237580004893,0.330866741970204
"47","59150012005",0.462369565388956,0.490618297252183
"48","59150012006",0.481296927654268,0.393889557921427
"49","59150012009",0.462773673950959,0.195842400385947
"50","59150012010",0.4606506538501,0.509365472181467
"51","59150012012",0.471609923368926,0.390702668715873
"52","59150013001",0.528945000828657,0.357264066958406
"53","59150013002",0.872671236119989,0.455847488435927
"54","59150013003",0.477530403832343,0.411147842931541
"55","59150014007",0.590373369320738,0.287806355328331
"56","59150014012",0.487399160293897,0.363890162249161
"57","59150014013",0.489721334375074,0.351991057777423
"58","59150014017",0.677118110933901,0.268720965510265
"59","59150014023",0.841394393541209,0.374736647293394
"60","59150014024",0.542541610436347,0.274480938840573
"61","59150014025",0.565832958464537,0.399327177657556
"62","59150015001",0.856402482815226,0.381932885576785
"63","59150015002",0.40323436797121,0.421978071929183
"64","59150015003",0.837556328969073,0.374736647293394
"65","59150016003",0.57506364877556,0.287806355328331
"66","59150016004",0.31381616434248,0.547391489183824
"67","59150016005",0.380677762783026,0.446323521903588
"68","59150017003",0.331082621082621,0.5410901788512
"69","59150017005",0.358855900434848,0.449951142810796
"70","59150017009",0.374285500074974,0.447343364748037
"71","59150018001",0.350994152046784,0.429989480658442
"72","59150018005",0.31381616434248,0.547391489183824
"73","59150018006",0.331229569650622,0.54145811976612
"74","59150018007",0.32241265557055,0.553564025001315
"75","59150018008",0.365321637426901,0.469403137537117
"76","59150018009",0.31381616434248,0.547391489183824
"77","59150018010",0.32241265557055,0.553564025001315
"78","59150018011",0.380457339931024,0.43471035767499
"79","59150019001",0.84865481292074,0.493289196714018
"80","59150019002",0.444526915579547,0.422916449939923
"81","59150019003",0.345116209326735,0.528863505547899
"82","59150019004",0.358708951866846,0.449951142810796
"83","59150019005",0.436077372919478,0.49546532073936
"84","59150019006",0.337327935222672,0.523683860956609
"85","59150019007",0.856402482815226,0.381932885576785
"86","59150020001",0.485461759436829,0.420789852268227
"87","59150020002",0.492039641388672,0.310484628466665
"88","59150020003",0.485461759436829,0.420789852268227
"89","59150021001",0.399781076623182,0.432901646342602
"90","59150021005",0.35782726045884,0.463868022008864
"91","59150021006",0.380457339931024,0.43471035767499
"92","59150022001",0.457752286699655,0.296894918930289
"93","59150022002",0.43012595591543,0.287806355328331
"94","59150022003",0.422411156095367,0.344412315361591
"95","59150023001",0.478472034787824,0.386710889005166
"96","59150023005",0.372962962962963,0.417156476609616
"97","59150023010",0.404042585095217,0.417623468672927
"98","59150023011",0.438061178587494,0.474511698349529
"99","59150024001",0.38611485979907,0.287806355328331
"100","59150024002",0.389862048283101,0.344412315361591
"101","59150024005",0.394564402459139,0.322514140816518
"102","59150024006",0.389935522567102,0.344412315361591
"103","59150024012",0.408671464987254,0.373827119582781
"104","59150024015",0.42277852751537,0.376473610216279
"105","59150024016",0.413300344879292,0.298558762938525
"106","59150024017",0.385086219823062,0.287806355328331
"107","59150025001",0.436371270055481,0.318518145929531
"108","59150025004",0.411316539211276,0.366586320110319
"109","59150025007",0.412492127755285,0.438152452568682
"110","59150025008",0.431815864447443,0.369380124729923
"111","59150025009",0.448788424051582,0.38527253124959
"112","59150025010",0.414402459139301,0.38333867639181
"113","59150027004",0.242178737441895,0.478034317063603
"114","59150027005",0.261208576998051,0.472930775334549
"115","59150028001",0.274140050982156,0.502508133055009
