"","heritage.or.historic.site.fromId","heritage.or.historic.site.nearest1","heritage.or.historic.site.sd1"
"1","59150004004",0.44974358974359,0.557871887535487
"2","59150004005",0.472667566351777,0.549339877293344
"3","59150004006",0.478618983355825,0.532724438625512
"4","59150004011",0.45834008097166,0.560611607079801
"5","59150004012",0.472667566351777,0.549339877293344
"6","59150004013",0.516531713900135,0.523173443248957
"7","59150004014",0.771058114035088,0.741441824087511
"8","59150004017",0.771058114035088,0.741441824087511
"9","59150004018",0.772669956140351,0.739327603345032
"10","59150004019",0.772401315789474,0.739445808408743
"11","59150005003",0.535047233468286,0.528646840540974
"12","59150005007",0.527332433648223,0.519467398802047
"13","59150005015",0.544745838956365,0.540606208818081
"14","59150005016",0.489860548807917,0.52194733512639
"15","59150005017",0.49140350877193,0.526040247991795
"16","59150006004",0.547390913180387,0.549339877293344
"17","59150006005",0.529316239316239,0.55224581446528
"18","59150006006",0.579793072424652,0.593291493364705
"19","59150006007",0.60778677462888,0.589360864365774
"20","59150006010",0.627183985605038,0.597475881246722
"21","59150006011",0.492285200179937,0.519402939685504
"22","59150007007",0.609329734592892,0.595177515808873
"23","59150007008",0.62123256860099,0.574748412923928
"24","59150008003",0.669946018893388,0.61512067136555
"25","59150008006",0.611974808816914,0.614826098641759
"26","59150008007",0.604921277552857,0.62173879372955
"27","59150008008",0.639748088169141,0.598034806215123
"28","59150008009",0.641952316689159,0.588972903606238
"29","59150009001",0.627183985605038,0.597475881246722
"30","59150009002",0.639527665317139,0.583039330882157
"31","59150009003",0.582217723796671,0.595492966984779
"32","59150009008",0.661790373369321,0.599883281289001
"33","59150009009",0.61638326585695,0.60539140548084
"34","59150009018",0.624759334233018,0.590946943399457
"35","59150009019",0.674134053081422,0.593584132746588
"36","59150009021",0.682289698605488,0.580766725272677
"37","59150009022",0.646581196581197,0.592526326435153
"38","59150010001",0.626743139901034,0.622728802751847
"39","59150010003",0.577588843904633,0.614826098641759
"40","59150010004",0.617705802968961,0.621449868547481
"41","59150010005",0.626743139901034,0.622728802751847
"42","59150010011",0.671268556005398,0.591923542543946
"43","59150010012",0.664215024741341,0.586925019873973
"44","59150010013",0.566788124156545,0.620687174348063
"45","59150010014",0.64327485380117,0.62150049480069
"46","59150012001",0.630983379501385,0.601870490579651
"47","59150012005",0.574653739612188,0.630998919586727
"48","59150012006",0.599085872576177,0.61114549520225
"49","59150012009",0.577368421052632,0.635068756569156
"50","59150012010",0.573296398891967,0.636000446580169
"51","59150012012",0.586191135734072,0.615798786414385
"52","59150013001",0.650891043397969,0.563196535733265
"53","59150013002",0.919508771929824,0.427211150845725
"54","59150013003",0.593656509695291,0.614028677903863
"55","59150014007",0.727255960413855,0.616419643538834
"56","59150014012",0.611301939058171,0.621604593353815
"57","59150014013",0.614242843951985,0.622743363361783
"58","59150014017",0.771595394736842,0.740366372352596
"59","59150014023",0.881111111111108,0.458336345347568
"60","59150014024",0.657381916329285,0.585428281408718
"61","59150014025",0.688902384165542,0.590796561754073
"62","59150015001",0.898304093567249,0.458336345347568
"63","59150015002",0.538573999100315,0.568048705505205
"64","59150015003",0.872514619883038,0.458336345347568
"65","59150016003",0.740004741583689,0.642370401323565
"66","59150016004",0.442249212775529,0.570060574653776
"67","59150016005",0.516311291048133,0.558567900984251
"68","59150017003",0.459662618083671,0.542573826039139
"69","59150017005",0.489419703103914,0.519960117869934
"70","59150017009",0.508376068376069,0.55559172827688
"71","59150018001",0.482366171839856,0.529827337580796
"72","59150018005",0.442249212775529,0.570060574653776
"73","59150018006",0.459662618083671,0.542573826039139
"74","59150018007",0.451727395411606,0.55956732606455
"75","59150018008",0.498677462887989,0.548524296238336
"76","59150018009",0.442249212775529,0.570060574653776
"77","59150018010",0.451727395411606,0.55956732606455
"78","59150018011",0.516311291048133,0.558567900984251
"79","59150019001",0.889707602339178,0.458336345347568
"80","59150019002",0.577368421052632,0.590605731254298
"81","59150019003",0.474871794871795,0.525558433004619
"82","59150019004",0.489199280251911,0.522635100402418
"83","59150019005",0.568992352676563,0.589615228586248
"84","59150019006",0.467818263607738,0.540965491591343
"85","59150019007",0.898304093567249,0.458336345347568
"86","59150020001",0.610623268698061,0.632572986241877
"87","59150020002",0.617183748845798,0.624024383342402
"88","59150020003",0.610623268698061,0.632572986241877
"89","59150021001",0.535047233468286,0.592309375713341
"90","59150021005",0.4876563202879,0.535534656000809
"91","59150021006",0.516311291048133,0.558567900984251
"92","59150022001",0.588830409356725,0.6457179106896
"93","59150022002",0.563040935672514,0.622342652517347
"94","59150022003",0.556428250112461,0.614919221678808
"95","59150023001",0.609329734592892,0.614965748518939
"96","59150023005",0.505730994152047,0.520683772497318
"97","59150023010",0.539014844804318,0.564993783496841
"98","59150023011",0.570755735492577,0.597941883244126
"99","59150024001",0.52204228520018,0.578837458284031
"100","59150024002",0.527773279352226,0.565822581899599
"101","59150024005",0.532181736392262,0.580128039224403
"102","59150024006",0.527773279352226,0.565822581899599
"103","59150024012",0.545186684660369,0.549246133228936
"104","59150024015",0.560616284300495,0.573417259727361
"105","59150024016",0.550035987404408,0.553508971574166
"106","59150024017",0.521160593792173,0.584047529766786
"107","59150025001",0.572959964012596,0.595892920641353
"108","59150025004",0.548933873144399,0.58119011045672
"109","59150025007",0.548052181736392,0.56797193367521
"110","59150025008",0.569433198380567,0.573622360259276
"111","59150025009",0.586405757984706,0.576201720175804
"112","59150025010",0.552019793072425,0.573417259727361
"113","59150027004",0.378547008547009,0.502334267968493
"114","59150027005",0.396842105263158,0.478169344098011
