"","gallery.fromId","gallery.nearest1","gallery.sd1"
"1","59150004004",0.27450742240216,0.473446779534138
"2","59150004005",0.29302294197031,0.440919981499543
"3","59150004006",0.30161943319838,0.430698068991378
"4","59150004011",0.283324336482231,0.467394013549694
"5","59150004012",0.29787224471435,0.447441764331834
"6","59150004013",0.343058929374718,0.385268974705731
"7","59150004014",0.596645401382243,0.7557164104352
"8","59150004017",0.596645401382243,0.7557164104352
"9","59150004018",0.598208399787347,0.748055533819377
"10","59150004019",0.597947900053163,0.74916899748057
"11","59150005003",0.346585695006748,0.466453302894269
"12","59150005007",0.33953216374269,0.44646388267364
"13","59150005015",0.371493477282951,0.422965983180666
"14","59150005016",0.304705353126406,0.413078985852886
"15","59150005017",0.311758884390463,0.412677071833375
"16","59150006004",0.352537112010796,0.50945763657094
"17","59150006005",0.335344129554655,0.506618740236095
"18","59150006006",0.367305443094917,0.570472774276414
"19","59150006007",0.396180836707152,0.557228105691273
"20","59150006010",0.420868196131354,0.544533860516955
"21","59150006011",0.309334233018443,0.401798589900678
"22","59150007007",0.399046333783176,0.553419308538872
"23","59150007008",0.419986504723347,0.539918026481292
"24","59150008003",0.435416104363473,0.527490724319145
"25","59150008006",0.377004048582996,0.537875587696987
"26","59150008007",0.371934322986955,0.53623770816513
"27","59150008008",0.418002699055331,0.534149263438524
"28","59150008009",0.428803418803419,0.54178157345605
"29","59150009001",0.420868196131354,0.544533860516955
"30","59150009002",0.43144849302744,0.530974153547611
"31","59150009003",0.362015294646873,0.559749170514689
"32","59150009008",0.441808367071525,0.532425633083964
"33","59150009009",0.389127305443095,0.541679951025807
"34","59150009018",0.414035087719298,0.543126113142222
"35","59150009019",0.457458389563653,0.53350430006291
"36","59150009021",0.476855600539811,0.526937028123013
"37","59150009022",0.43762033288349,0.540297152005482
"38","59150010001",0.391551956815115,0.543525741929374
"39","59150010003",0.343058929374718,0.532612498167959
"40","59150010004",0.382514619883041,0.538683916202798
"41","59150010005",0.391111111111111,0.542035148451316
"42","59150010011",0.45349077822762,0.526599252342143
"43","59150010012",0.445114709851552,0.524159254402216
"44","59150010013",0.332258209626631,0.5341676258974
"45","59150010014",0.40808367071525,0.535787640982835
"46","59150012001",0.40808367071525,0.77798726388791
"47","59150012005",0.373477282950967,0.79403944549983
"48","59150012006",0.388025191183086,0.785303706245207
"49","59150012009",0.373256860098966,0.796979607783986
"50","59150012010",0.371934322986955,0.795276874540024
"51","59150012012",0.382073774179037,0.788416691981209
"52","59150013001",0.432771030139451,0.765374234897773
"53","59150013002",0.777953216374269,0.696805304476964
"54","59150013003",0.386261808367072,0.785596608115461
"55","59150014007",0.487876743139901,0.522635100402418
"56","59150014012",0.389347728295097,0.787376931516086
"57","59150014013",0.391111111111111,0.786273183653481
"58","59150014017",0.597166400850611,0.752912711105565
"59","59150014023",0.781228070175438,0.815004682097505
"60","59150014024",0.451286549707602,0.528607882814962
"61","59150014025",0.471345029239766,0.523934253553259
"62","59150015001",0.793508771929824,0.806402383392718
"63","59150015002",0.295888439046334,0.495599435841501
"64","59150015003",0.775087719298246,0.817526827813065
"65","59150016003",0.477076023391813,0.764548290395793
"66","59150016004",0.213229869545659,0.577805873408969
"67","59150016005",0.272964462438147,0.48771199240592
"68","59150017003",0.230863697705803,0.578996911326877
"69","59150017005",0.255330634278002,0.534149263438524
"70","59150017009",0.268335582546109,0.503104725653586
"71","59150018001",0.246734143049932,0.539033200276816
"72","59150018005",0.213229869545659,0.577805873408969
"73","59150018006",0.231084120557805,0.577563527484854
"74","59150018007",0.221605937921727,0.580956370923463
"75","59150018008",0.259077822762034,0.502643211573264
"76","59150018009",0.213229869545659,0.577805873408969
"77","59150018010",0.221605937921727,0.580956370923463
"78","59150018011",0.272964462438147,0.48771199240592
"79","59150019001",0.786140350877193,0.811778562595888
"80","59150019002",0.337768780926675,0.512791459773795
"81","59150019003",0.243427800269906,0.561150068897789
"82","59150019004",0.255330634278002,0.534149263438524
"83","59150019005",0.329172289698605,0.512791459773795
"84","59150019006",0.235051731893837,0.56025090596493
"85","59150019007",0.793508771929824,0.806402383392718
"86","59150020001",0.386702654071075,0.790712138374137
"87","59150020002",0.393315339631129,0.786243272525785
"88","59150020003",0.386702654071075,0.790712138374137
"89","59150021001",0.292582096266307,0.539259538800487
"90","59150021005",0.25378767431399,0.547876199676769
"91","59150021006",0.272964462438147,0.48771199240592
"92","59150022001",0.350773729194781,0.618972217052503
"93","59150022002",0.323441295546559,0.579303663838324
"94","59150022003",0.315285650022492,0.573851060310213
"95","59150023001",0.371052631578947,0.539137732143285
"96","59150023005",0.265910931174089,0.446697638865115
"97","59150023010",0.296108861898336,0.493667721802008
"98","59150023011",0.331156095366622,0.536021945655607
"99","59150024001",0.28442645074224,0.524770161445525
"100","59150024002",0.287953216374269,0.510195630240289
"101","59150024005",0.292582096266307,0.523811297740424
"102","59150024006",0.287953216374269,0.510195630240289
"103","59150024012",0.300517318938372,0.462907823143593
"104","59150024015",0.320796221322538,0.523297238258469
"105","59150024016",0.305146198830409,0.469063856339012
"106","59150024017",0.283324336482231,0.52138083931613
"107","59150025001",0.335123706702654,0.529769626724878
"108","59150025004",0.309334233018443,0.527490724319145
"109","59150025007",0.305146198830409,0.495182872071113
"110","59150025008",0.329833558254611,0.52138083931613
"111","59150025009",0.34680611785875,0.523564901081635
"112","59150025010",0.312420152946469,0.518625952021995
"113","59150027004",0.134318488529015,0.456023362254422
"114","59150027005",0.155699505173189,0.471352749705714
"115","59150028001",0.170688259109312,0.496069313760203
