"","subdiv","mean_score_nearest_amenity","sd_score_nearest_amenity","mean_time_nearest_amenity","sd_time_nearest_amenity","mean_time_all_amenity","sd_time_all_amenity"
"1","Burnaby",-0.26786784088186,0.238237354035703,21.2206834222704,8.82196109513675,65.4410552323346,6.96664826637705
"2","Coquitlam",-0.244456794345645,0.281629203428801,25.6769807876231,9.4693299888825,82.6568326629269,7.29731319960069
"3","Delta",-0.0259663819535699,0.193241102923789,30.2088584817518,12.6176559710349,91.5704516419165,8.07070948874555
"4","Langley",0.0453046177726038,0.28100105780326,24.5772803548387,11.9167034170935,97.9638061661014,6.07100530181949
"5","Maple Ridge",0.1115160930529,0.314485449225008,34.0678836525612,17.7099034269843,103.807214944286,3.03804282854862
"6","New Westminster",-0.0176690251572327,0.226687416653259,11.4439224980916,6.46024662414356,66.4551465112182,6.11673092572441
"7","North Vancouver",0.0438925438596491,0.288348902306026,17.9486626228873,9.8394309530415,77.2137994747093,7.42938183225975
"8","Port Coquitlam",-0.158731532779317,0.251948851956405,28.4861685070423,10.4005570368871,93.7531154467419,6.06948659632458
"9","Richmond",0.00504629629629631,0.255082981950225,25.7610644444444,9.02725391031565,76.7720897583172,8.05558998335177
"10","Surrey",-0.0734116270698344,0.283562375813831,26.6368333646778,10.0954357009212,89.5613501351707,10.5043272437091
"11","Vancouver",0.00949808533916848,0.234170088674861,13.245913829488,6.95176623051557,54.5944940924648,5.79739197845483
"12","West Vancouver",0.187782167042889,0.303724378868033,34.8997235350231,22.4633395869199,80.7845682442645,13.519252610103
