,Player,Stage,career_FG_%,career_FT_%,career_3PT_%,Minutes_per_game
420,Darvin Ham,Playoffs,58.33,48.28,0.0,9.55
421,Darvin Ham,Regular_Season,51.24,51.05,16.67,13.16
422,David Benoit,Playoffs,36.84,100.0,33.33,15.25
423,David Harrison,Regular_Season,50.34,51.15,,15.43
424,David Lee,Playoffs,47.98,66.67,0.0,15.48
425,David Lee,Regular_Season,53.13,78.51,3.85,32.71
426,David Nwaba,Regular_Season,48.38,65.65,37.5,21.27
427,David Robinson,Playoffs,47.23,68.49,0.0,26.91
428,David Robinson,Regular_Season,49.76,71.89,0.0,29.5
429,David Wesley,Playoffs,39.73,80.7,40.96,37.91
430,David Wesley,Regular_Season,41.56,79.22,37.32,35.62
431,David West,Playoffs,47.61,79.56,32.0,26.6
432,David West,Regular_Season,49.93,82.32,26.06,27.99
433,Davis Bertans,Playoffs,33.33,68.18,29.79,11.89
434,Davis Bertans,Regular_Season,44.08,84.91,41.13,18.64
435,De'Aaron Fox,Regular_Season,45.1,71.8,32.81,30.27
436,De'Andre Hunter,Regular_Season,41.0,76.39,35.53,32.03
437,De'Anthony Melton,Regular_Season,40.15,76.86,28.57,19.45
438,DeAndre Jordan,Playoffs,66.23,40.42,0.0,31.24
439,DeAndre Jordan,Regular_Season,67.05,47.68,9.09,28.66
440,DeAndre Liggins,Playoffs,33.33,25.0,20.0,8.5
441,DeAndre Liggins,Regular_Season,38.31,60.0,36.36,12.5
442,DeAndre' Bembry,Regular_Season,44.91,61.41,27.31,22.77
443,DeJuan Blair,Playoffs,58.33,56.76,,8.54
444,DeJuan Blair,Regular_Season,52.89,61.18,0.0,18.18
445,DeMar DeRozan,Playoffs,41.82,85.1,23.3,37.33
446,DeMar DeRozan,Regular_Season,46.16,82.89,28.21,34.07
447,DeMarcus Cousins,Playoffs,39.62,64.0,25.0,16.65
448,DeMarcus Cousins,Regular_Season,45.89,73.58,33.02,31.97
449,DeMarre Carroll,Playoffs,42.59,75.24,35.27,28.17
450,DeMarre Carroll,Regular_Season,43.43,74.68,35.77,24.8
451,DeSagana Diop,Playoffs,61.11,56.0,,19.52
452,DeSagana Diop,Regular_Season,45.43,48.77,33.33,15.82
453,DeShawn Stevenson,Playoffs,31.75,75.68,35.77,20.97
454,DeShawn Stevenson,Regular_Season,42.99,73.17,37.27,28.23
455,Dean Garrett,Regular_Season,48.08,69.23,,11.87
456,Deandre Ayton,Regular_Season,58.51,74.6,0.0,30.74
457,Dejounte Murray,Playoffs,40.22,70.59,44.44,16.51
458,Dejounte Murray,Regular_Season,45.26,74.81,34.48,23.33
459,Dell Curry,Playoffs,42.19,83.33,37.84,15.17
460,Dell Curry,Regular_Season,42.58,80.72,40.57,14.86
461,Delon Wright,Playoffs,47.06,86.96,40.74,16.14
462,Delon Wright,Regular_Season,45.18,79.84,34.15,21.66
463,Delonte West,Playoffs,44.16,84.75,36.09,29.06
464,Delonte West,Regular_Season,45.43,81.0,37.69,29.7
465,Dennis Schroder,Playoffs,42.45,81.82,32.18,24.33
466,Dennis Schroder,Regular_Season,43.76,83.26,33.95,26.87
467,Dennis Smith,Regular_Season,39.45,69.43,31.27,29.7
468,Denzel Valentine,Regular_Season,39.94,75.36,37.37,22.92
469,DerMarr Johnson,Playoffs,55.0,100.0,36.36,19.5
470,DerMarr Johnson,Regular_Season,41.89,78.16,35.06,19.33
471,Derek Anderson,Playoffs,31.53,82.98,30.95,18.64
472,Derek Anderson,Regular_Season,41.63,85.44,37.19,31.9
473,Derek Fisher,Playoffs,42.47,81.78,40.7,27.19
474,Derek Fisher,Regular_Season,39.87,83.14,37.39,27.03
475,Deron Williams,Playoffs,44.03,80.34,39.18,33.95
476,Deron Williams,Regular_Season,44.77,81.52,36.19,33.98
477,Derrick Brown,Regular_Season,51.83,66.67,25.0,22.2
478,Derrick Coleman,Playoffs,46.61,82.69,31.91,34.5
479,Derrick Coleman,Regular_Season,45.29,78.47,35.1,29.63
480,Derrick Favors,Playoffs,57.43,54.81,25.0,23.57
481,Derrick Favors,Regular_Season,53.24,65.43,21.18,25.0
482,Derrick Jones,Playoffs,47.06,40.0,44.44,6.45
483,Derrick Jones,Regular_Season,51.11,68.98,29.15,21.25
484,Derrick McKey,Playoffs,46.88,80.0,16.67,15.3
485,Derrick McKey,Regular_Season,44.12,77.78,20.0,14.95
486,Derrick Rose,Playoffs,42.39,83.7,30.48,38.84
487,Derrick Rose,Regular_Season,47.28,83.24,31.26,33.75
488,Derrick White,Playoffs,54.67,73.08,29.41,27.24
489,Derrick White,Regular_Season,46.85,82.34,35.47,25.22
490,Derrick Williams,Regular_Season,43.4,71.03,30.02,20.79
491,Desmond Mason,Playoffs,41.4,72.97,11.11,37.94
492,Desmond Mason,Regular_Season,44.65,75.39,26.29,31.13
493,Detlef Schrempf,Playoffs,39.29,82.98,16.67,18.4
494,Detlef Schrempf,Regular_Season,43.19,83.26,40.38,21.6
495,Devean George,Playoffs,39.3,70.31,33.14,20.11
496,Devean George,Regular_Season,40.3,72.4,35.06,22.43
497,Devin Booker,Regular_Season,45.2,86.93,34.66,33.31
498,Devin Brown,Playoffs,37.36,61.54,41.18,9.72
499,Devin Brown,Regular_Season,40.7,76.03,33.51,20.85
500,Devin Ebanks,Playoffs,41.03,62.5,0.0,14.01
501,Devin Harris,Playoffs,45.0,70.83,25.66,23.85
502,Devin Harris,Regular_Season,43.37,80.13,33.02,23.31
503,Devonte' Graham,Regular_Season,38.21,81.97,37.26,35.1
504,Dewayne Dedmon,Playoffs,60.87,53.12,,8.05
505,Dewayne Dedmon,Regular_Season,53.09,76.71,37.15,22.18
506,Deyonta Davis,Regular_Season,60.75,66.67,,15.2
507,Diante Garrett,Regular_Season,38.11,83.33,37.5,14.75
508,Dikembe Mutombo,Playoffs,49.28,73.76,0.0,29.28
509,Dikembe Mutombo,Regular_Season,51.64,72.97,,28.02
510,Dillon Brooks,Regular_Season,42.12,78.05,35.7,28.79
511,Dion Glover,Regular_Season,42.75,78.4,35.44,24.86
512,Dion Waiters,Playoffs,41.67,66.67,37.5,27.28
513,Dion Waiters,Regular_Season,41.1,69.15,34.06,28.21
514,Dirk Nowitzki,Playoffs,46.18,89.2,36.52,40.57
515,Dirk Nowitzki,Regular_Season,47.46,88.16,38.5,35.33
516,Domantas Sabonis,Playoffs,52.75,71.88,18.18,23.85
517,Domantas Sabonis,Regular_Season,52.16,72.21,32.14,25.57
518,Dominic McGuire,Regular_Season,42.86,67.91,21.43,18.28
519,Don Reid,Regular_Season,47.37,64.71,,10.5
520,Donatas Motiejunas,Playoffs,43.24,47.06,44.44,19.66
521,Donatas Motiejunas,Regular_Season,50.43,60.24,36.84,28.69
522,Donnell Harvey,Regular_Season,44.65,67.05,14.29,20.95
523,Donovan Mitchell,Playoffs,43.16,88.06,36.9,37.74
524,Donovan Mitchell,Regular_Season,43.88,82.36,35.54,33.78
525,Donte DiVincenzo,Playoffs,45.1,65.0,33.33,16.48
526,Donte DiVincenzo,Regular_Season,45.49,73.26,33.6,23.04
527,Donte Greene,Regular_Season,44.12,64.29,37.7,21.45
528,Donyell Marshall,Playoffs,40.07,77.36,34.29,20.33
529,Donyell Marshall,Regular_Season,45.36,74.06,35.49,27.62
530,Dorell Wright,Playoffs,36.36,80.0,30.0,15.31
531,Dorell Wright,Regular_Season,41.81,81.49,36.91,25.03
532,Dorian Finney-Smith,Playoffs,44.23,80.0,36.67,31.77
533,Dorian Finney-Smith,Regular_Season,43.02,72.43,33.29,24.66
534,Doug Christie,Playoffs,38.63,83.24,30.14,36.29
535,Doug Christie,Regular_Season,43.71,85.75,36.55,33.98
536,Doug McDermott,Playoffs,50.0,,53.85,13.26
537,Doug McDermott,Regular_Season,46.75,83.16,41.5,20.98
538,Dragan Bender,Regular_Season,38.64,76.47,36.65,25.24
539,Draymond Green,Playoffs,44.48,73.7,31.45,35.57
540,Draymond Green,Regular_Season,43.53,70.96,31.92,28.12
541,Drew Gooden,Playoffs,44.88,79.34,32.43,23.65
542,Drew Gooden,Regular_Season,47.06,75.02,24.74,27.45
543,Duncan Robinson,Playoffs,42.61,86.84,39.74,28.58
544,Duncan Robinson,Regular_Season,47.02,93.06,44.55,29.67
545,Dwayne Bacon,Regular_Season,34.84,66.04,28.36,17.62
546,Dwight Howard,Playoffs,59.06,54.55,16.67,33.6
547,Dwight Howard,Regular_Season,58.67,57.15,13.56,33.46
548,Dwight Powell,Playoffs,47.37,54.55,0.0,15.98
549,Dwight Powell,Regular_Season,56.71,73.83,29.41,19.65
550,Dwyane Wade,Playoffs,47.35,77.95,33.77,37.84
551,Dwyane Wade,Regular_Season,48.12,76.52,29.38,33.85
552,E'Twaun Moore,Playoffs,46.59,68.75,36.0,31.58
553,E'Twaun Moore,Regular_Season,45.48,75.07,38.68,24.11
554,Earl Boykins,Playoffs,38.95,83.72,22.5,27.47
555,Earl Boykins,Regular_Season,41.57,90.54,32.94,24.45
556,Earl Clark,Playoffs,40.54,57.14,0.0,18.86
557,Earl Clark,Regular_Season,44.04,69.74,33.65,23.1
558,Earl Watson,Playoffs,41.03,100.0,8.33,17.0
559,Earl Watson,Regular_Season,41.79,70.08,33.63,23.61
560,Ed Davis,Playoffs,52.0,54.05,0.0,18.38
561,Ed Davis,Regular_Season,57.08,58.46,0.0,19.97
562,Eddie Gill,Regular_Season,33.47,87.65,30.77,13.97
563,Eddie Griffin,Regular_Season,37.88,66.87,31.56,22.87
564,Eddie House,Playoffs,40.89,85.71,38.2,11.37
565,Eddie House,Regular_Season,42.92,83.44,41.39,17.11
566,Eddie Jones,Playoffs,41.65,78.68,35.64,36.76
567,Eddie Jones,Regular_Season,42.09,83.16,37.23,36.6
568,Eddie Robinson,Playoffs,51.67,100.0,33.33,19.2
569,Eddie Robinson,Regular_Season,53.97,73.03,25.0,17.26
570,Eddy Curry,Regular_Season,54.72,63.39,100.0,25.3
571,Eduardo Najera,Playoffs,44.81,74.19,25.0,19.47
572,Eduardo Najera,Regular_Season,50.07,68.51,32.97,20.72
573,Ekpe Udoh,Regular_Season,44.44,75.09,0.0,17.06
574,Elden Campbell,Playoffs,41.28,73.04,0.0,22.03
575,Elden Campbell,Regular_Season,45.43,72.8,0.0,26.58
576,Elfrid Payton,Regular_Season,45.67,61.94,29.84,29.51
577,Elie Okobo,Regular_Season,39.78,70.42,35.21,13.07
578,Elton Brand,Playoffs,51.76,72.22,0.0,30.8
579,Elton Brand,Regular_Season,50.44,73.74,11.76,33.31
580,Emeka Okafor,Playoffs,64.52,36.36,,31.28
581,Emeka Okafor,Regular_Season,51.47,57.99,0.0,31.32
582,Emmanuel Mudiay,Regular_Season,43.0,76.63,32.81,20.91
583,Enes Kanter,Playoffs,52.94,77.08,21.05,19.69
584,Enes Kanter,Regular_Season,54.25,77.57,28.67,21.74
585,Eric Bledsoe,Playoffs,44.13,71.2,25.35,25.02
586,Eric Bledsoe,Regular_Season,45.68,79.88,33.45,28.26
587,Eric Gordon,Playoffs,41.31,83.66,35.97,34.0
588,Eric Gordon,Regular_Season,42.41,82.79,36.76,32.11
589,Eric Maynor,Playoffs,36.08,80.0,32.26,12.89
590,Eric Maynor,Regular_Season,41.08,72.52,35.33,15.15
591,Eric Moreland,Regular_Season,54.1,37.93,,12.01
592,Eric Paschall,Regular_Season,49.69,77.36,28.68,27.56
593,Eric Piatkowski,Playoffs,31.58,85.71,38.46,13.0
594,Eric Piatkowski,Regular_Season,42.95,86.44,41.78,21.76
595,Eric Snow,Playoffs,40.35,78.02,16.13,27.16
596,Eric Snow,Regular_Season,42.21,77.74,22.54,31.06
597,Eric Williams,Playoffs,43.96,77.19,37.78,30.65
598,Eric Williams,Regular_Season,39.43,74.03,30.74,25.09
599,Erick Dampier,Playoffs,53.93,52.17,0.0,23.66
600,Erick Dampier,Regular_Season,53.98,63.23,0.0,25.37
601,Erick Strickland,Playoffs,28.21,100.0,20.0,9.83
602,Erick Strickland,Regular_Season,40.62,83.06,38.57,19.45
603,Ersan Ilyasova,Playoffs,41.45,74.12,29.27,21.08
604,Ersan Ilyasova,Regular_Season,44.96,77.14,37.35,23.79
605,Ervin Johnson,Playoffs,52.99,62.12,,24.77
606,Ervin Johnson,Regular_Season,50.33,57.22,0.0,20.91
607,Etan Thomas,Playoffs,56.52,51.61,,17.56
608,Etan Thomas,Regular_Season,50.26,63.33,,20.16
609,Evan Eschmeyer,Regular_Season,46.0,65.69,,17.99
610,Evan Fournier,Playoffs,34.92,72.0,28.99,34.55
611,Evan Fournier,Regular_Season,44.69,80.93,37.36,29.55
612,Evan Turner,Playoffs,37.18,76.52,35.59,23.54
613,Evan Turner,Regular_Season,43.47,78.12,29.61,27.24
614,Fabricio Oberto,Playoffs,61.9,61.29,0.0,20.16
615,Fabricio Oberto,Regular_Season,58.58,62.5,0.0,18.69
616,Felipe Lopez,Regular_Season,42.59,69.19,38.82,15.66
617,Festus Ezeli,Playoffs,53.03,50.0,,9.46
618,Festus Ezeli,Regular_Season,43.79,53.09,,14.36
619,Flip Murray,Playoffs,33.85,82.11,25.56,23.0
620,Flip Murray,Regular_Season,41.96,72.75,31.0,24.23
621,Francisco Elson,Playoffs,59.02,68.18,0.0,12.58
622,Francisco Elson,Regular_Season,52.12,72.08,14.29,20.51
623,Francisco Garcia,Playoffs,44.0,60.0,45.95,27.38
624,Francisco Garcia,Regular_Season,43.2,79.5,36.07,20.62
625,Frank Jackson,Regular_Season,42.16,74.32,31.95,16.38
626,Frank Kaminsky,Playoffs,30.43,80.95,29.41,27.21
627,Frank Kaminsky,Regular_Season,41.21,76.51,34.7,23.39
628,Frank Ntilikina,Regular_Season,37.58,78.74,31.97,21.42
629,Frankie Williams,Playoffs,27.27,60.0,30.77,18.5
630,Fred Hoiberg,Playoffs,45.35,93.75,45.83,24.33
631,Fred Hoiberg,Regular_Season,45.08,85.71,41.43,21.86
632,Fred Jones,Playoffs,39.72,87.5,42.62,20.13
633,Fred Jones,Regular_Season,41.71,80.37,36.01,24.9
634,Fred VanVleet,Playoffs,38.99,81.25,37.71,27.71
635,Fred VanVleet,Regular_Season,41.55,84.3,39.31,26.85
636,Furkan Korkmaz,Regular_Season,42.98,75.49,40.17,21.65
637,Garrett Temple,Playoffs,33.33,75.0,23.26,20.0
638,Garrett Temple,Regular_Season,40.39,75.68,34.9,22.99
639,Gary Clark,Playoffs,33.33,80.0,34.38,28.72
640,Gary Forbes,Regular_Season,41.33,72.53,34.94,14.86
641,Gary Harris,Playoffs,43.15,83.33,35.78,32.02
642,Gary Harris,Regular_Season,46.4,82.17,36.74,32.78
643,Gary Neal,Playoffs,40.13,90.7,34.53,18.27
644,Gary Neal,Regular_Season,43.32,81.82,39.76,21.44
645,Gary Payton,Playoffs,41.44,70.9,25.41,33.08
646,Gary Payton,Regular_Season,45.4,74.76,32.42,35.42
647,Gary Trent,Playoffs,32.0,62.5,0.0,5.46
648,Gary Trent,Regular_Season,50.63,67.19,0.0,15.18
649,"Gary Trent, Jr.",Playoffs,35.56,85.71,41.67,30.58
650,"Gary Trent, Jr.",Regular_Season,44.44,82.22,41.79,21.83
651,George Hill,Playoffs,45.33,80.24,36.97,32.0
652,George Hill,Regular_Season,45.27,80.49,38.43,27.32
653,George Lynch,Playoffs,43.22,66.67,25.0,26.45
654,George Lynch,Regular_Season,43.48,64.93,32.48,26.16
655,George McCloud,Regular_Season,39.91,82.87,35.59,26.79
656,Georges Niang,Playoffs,50.0,100.0,41.38,16.3
657,Georges Niang,Regular_Season,45.13,83.33,40.3,11.52
658,Gerald Green,Playoffs,39.34,89.29,37.82,12.52
659,Gerald Green,Regular_Season,41.22,82.28,36.04,21.13
660,Gerald Henderson,Playoffs,36.97,68.97,25.0,23.51
661,Gerald Henderson,Regular_Season,43.34,79.33,34.64,26.16
662,Gerald Wallace,Playoffs,46.07,71.26,33.33,37.2
663,Gerald Wallace,Regular_Season,46.63,74.0,31.62,35.77
664,Giannis Antetokounmpo,Playoffs,51.44,62.73,32.5,35.24
665,Giannis Antetokounmpo,Regular_Season,52.64,72.23,28.43,32.46
666,Gilbert Arenas,Playoffs,41.26,76.92,31.29,36.38
667,Gilbert Arenas,Regular_Season,42.49,81.79,35.04,36.95
668,Glen Davis,Playoffs,47.17,71.63,0.0,18.88
669,Glen Davis,Regular_Season,44.69,69.82,18.87,20.42
670,Glen Rice,Playoffs,41.79,80.41,41.98,32.5
671,Glen Rice,Regular_Season,43.42,86.68,37.73,30.59
672,Glenn Robinson,Playoffs,41.7,88.37,36.71,27.06
673,Glenn Robinson,Regular_Season,46.27,82.69,35.49,32.29
674,Goga Bitadze,Regular_Season,46.67,72.73,19.05,8.73
675,Goran Dragic,Playoffs,44.38,76.43,34.58,27.27
676,Goran Dragic,Regular_Season,46.81,76.28,36.4,29.17
677,Gordan Giricek,Playoffs,42.42,87.1,44.44,21.01
678,Gordan Giricek,Regular_Season,44.29,82.65,37.42,24.17
679,Gordon Hayward,Playoffs,40.47,94.96,35.16,33.0
680,Gordon Hayward,Regular_Season,45.11,82.32,36.59,30.88
681,Gorgui Dieng,Playoffs,33.33,75.0,40.0,14.04
682,Gorgui Dieng,Regular_Season,49.98,80.27,34.02,23.14
683,Grant Hill,Playoffs,48.26,77.78,18.75,28.8
684,Grant Hill,Regular_Season,49.44,81.53,36.23,31.74
685,Grant Williams,Playoffs,57.69,70.0,58.82,9.98
686,Grant Williams,Regular_Season,41.23,72.22,25.0,15.12
687,Greg Anthony,Playoffs,36.54,75.0,32.26,14.2
688,Greg Anthony,Regular_Season,40.62,77.19,37.77,18.89
689,Greg Buckner,Playoffs,40.0,80.77,31.48,16.54
690,Greg Buckner,Regular_Season,45.8,78.88,34.87,20.97
691,Greg Foster,Playoffs,36.84,100.0,40.0,13.6
692,Greg Monroe,Playoffs,48.06,77.05,25.0,12.42
693,Greg Monroe,Regular_Season,51.75,69.95,0.0,28.57
694,Greg Oden,Playoffs,52.38,66.67,,15.95
695,Greg Ostertag,Playoffs,49.43,45.45,,21.55
696,Greg Ostertag,Regular_Season,48.35,55.76,25.0,20.97
697,Greg Smith,Regular_Season,62.04,62.31,0.0,15.86
698,Greg Stiemsma,Playoffs,66.67,66.67,,7.54
699,Greg Stiemsma,Regular_Season,48.37,74.55,,15.08
700,Greivis Vasquez,Playoffs,44.03,80.0,36.54,18.02
701,Greivis Vasquez,Regular_Season,42.26,81.6,35.6,24.05
702,Gustavo Ayon,Regular_Season,55.09,40.0,,13.36
703,Hakeem Olajuwon,Playoffs,54.55,66.67,,17.2
704,Hakim Warrick,Regular_Season,49.82,72.61,20.62,20.81
705,Hanno Mottola,Regular_Season,44.18,78.31,6.25,15.23
706,Harrison Barnes,Playoffs,41.89,75.63,35.55,31.88
707,Harrison Barnes,Regular_Season,44.57,79.88,37.38,31.19
708,Harry Giles,Regular_Season,50.29,63.74,0.0,14.14
709,Hasheem Thabeet,Regular_Season,60.38,60.38,,11.67
710,Hassan Whiteside,Playoffs,61.06,57.75,100.0,23.72
711,Hassan Whiteside,Regular_Season,57.84,62.18,32.0,28.24
712,Hedo Turkoglu,Playoffs,40.48,75.09,34.8,31.06
713,Hedo Turkoglu,Regular_Season,42.86,78.21,38.61,27.65
714,Henry Sims,Regular_Season,47.41,77.37,18.18,19.16
715,Henry Walker,Playoffs,30.0,66.67,27.27,22.28
716,Hilton Armstrong,Playoffs,61.54,50.0,,9.0
717,Hilton Armstrong,Regular_Season,52.03,63.1,0.0,13.51
718,Hollis Thompson,Regular_Season,41.69,71.32,39.13,25.21
719,Horace Grant,Playoffs,38.36,72.22,,29.4
720,Horace Grant,Regular_Season,47.12,74.42,0.0,31.83
721,Howard Eisley,Playoffs,33.33,92.31,42.22,20.74
722,Howard Eisley,Regular_Season,40.7,82.45,37.27,25.6
723,Hubert Davis,Regular_Season,46.77,87.01,49.1,23.0
724,Ian Clark,Playoffs,47.47,90.32,35.37,13.73
725,Ian Clark,Regular_Season,44.55,79.22,33.75,16.89
726,Ian Mahinmi,Playoffs,50.41,57.14,,13.12
727,Ian Mahinmi,Regular_Season,53.17,62.5,0.0,18.22
728,Iman Shumpert,Playoffs,39.02,74.42,37.79,22.87
729,Iman Shumpert,Regular_Season,39.52,76.52,34.08,25.92
730,Ime Udoka,Playoffs,43.96,58.33,35.42,16.21
731,Ime Udoka,Regular_Season,43.03,71.5,37.52,20.9
732,Ira Newble,Regular_Season,46.35,78.62,37.23,25.61
733,Isaac Bonga,Regular_Season,50.43,81.18,35.21,18.93
734,Isaiah Canaan,Playoffs,50.0,66.67,35.71,31.77
735,Isaiah Canaan,Regular_Season,36.01,83.33,36.29,25.53
736,Isaiah Taylor,Regular_Season,41.79,70.21,25.0,17.42
737,Isaiah Thomas,Playoffs,40.55,84.21,30.23,34.38
738,Isaiah Thomas,Regular_Season,44.09,87.38,37.02,29.39
739,Isaiah Whitehead,Regular_Season,40.16,80.53,29.53,22.51
740,Ish Smith,Playoffs,26.32,75.0,14.29,20.2
741,Ish Smith,Regular_Season,44.22,69.17,32.04,23.89
742,Ivan Johnson,Playoffs,46.15,66.67,,18.03
743,Ivan Johnson,Regular_Season,51.66,66.23,15.79,15.75
744,Ivica Zubac,Playoffs,56.41,81.08,,24.64
745,Ivica Zubac,Regular_Season,58.56,77.05,0.0,18.06
746,J.J. Barea,Playoffs,41.51,75.86,30.0,21.09
747,J.J. Barea,Regular_Season,42.77,79.24,34.81,20.62
748,J.J. Hickson,Playoffs,63.64,68.75,,7.19
749,J.J. Hickson,Regular_Season,50.88,65.67,0.0,24.46
750,J.J. Redick,Playoffs,42.66,87.95,37.23,27.01
751,J.J. Redick,Regular_Season,44.93,89.17,41.92,27.33
752,J.R. Bremer,Playoffs,28.57,87.5,25.0,14.8
753,J.R. Bremer,Regular_Season,36.85,76.58,35.31,23.47
754,J.R. Smith,Playoffs,39.95,69.82,37.26,28.39
755,J.R. Smith,Regular_Season,41.94,72.17,37.37,27.94
756,Ja Morant,Regular_Season,47.71,77.6,33.52,30.96
757,JaKarr Sampson,Regular_Season,43.14,66.2,23.68,15.58
758,JaMychal Green,Playoffs,53.21,75.0,46.03,19.05
759,JaMychal Green,Regular_Season,47.23,77.92,38.58,22.0
760,JaVale McGee,Playoffs,61.3,56.16,0.0,13.12
761,JaVale McGee,Regular_Season,58.28,58.76,16.13,18.06
762,Jabari Parker,Playoffs,45.16,61.54,31.58,23.91
763,Jabari Parker,Regular_Season,49.27,74.27,30.43,29.52
764,Jacque Vaughn,Playoffs,36.14,70.59,20.0,11.12
765,Jacque Vaughn,Regular_Season,43.59,78.08,35.18,17.39
766,Jae Crowder,Playoffs,39.02,75.15,33.0,29.0
767,Jae Crowder,Regular_Season,42.08,77.77,33.96,24.72
768,Jahidi White,Regular_Season,51.85,53.7,,19.09
769,Jahlil Okafor,Regular_Season,58.56,66.29,20.0,15.85
770,Jake Layman,Regular_Season,50.94,70.42,32.6,18.69
771,Jake Tsakalidis,Playoffs,37.5,,,18.75
772,Jake Voskuhl,Playoffs,70.59,92.31,,16.33
773,Jake Voskuhl,Regular_Season,50.96,67.46,,14.42
774,Jakob Poeltl,Playoffs,59.7,71.43,0.0,19.8
775,Jakob Poeltl,Regular_Season,63.79,53.57,50.0,16.46
776,Jalen Brunson,Regular_Season,46.69,75.9,35.22,20.1
777,Jalen Rose,Playoffs,42.77,81.43,40.7,41.78
778,Jalen Rose,Regular_Season,44.41,83.29,36.95,36.42
779,Jamaal Magloire,Playoffs,47.75,68.24,0.0,23.33
780,Jamaal Magloire,Regular_Season,48.55,66.72,0.0,24.91
781,Jamaal Tinsley,Playoffs,39.86,72.0,30.0,25.17
782,Jamaal Tinsley,Regular_Season,38.78,71.32,27.9,30.76
783,Jamal Crawford,Playoffs,38.61,86.48,30.75,28.11
784,Jamal Crawford,Regular_Season,41.1,86.36,34.78,29.32
785,Jamal Mashburn,Playoffs,40.77,81.82,37.68,41.79
786,Jamal Mashburn,Regular_Season,42.55,80.04,38.26,39.05
787,Jamal Murray,Playoffs,47.26,90.0,40.91,38.22
788,Jamal Murray,Regular_Season,43.92,87.96,35.84,29.23
789,Jamario Moon,Playoffs,47.17,75.0,44.44,13.57
790,Jamario Moon,Regular_Season,47.45,79.52,33.83,24.14
791,Jameer Nelson,Playoffs,44.55,79.17,37.24,32.49
792,Jameer Nelson,Regular_Season,44.51,79.85,37.66,27.78
793,James Anderson,Regular_Season,42.09,73.42,31.98,22.23
794,James Ennis,Playoffs,43.07,73.81,28.36,23.16
795,James Ennis,Regular_Season,46.1,79.01,34.47,21.29
796,James Harden,Playoffs,42.53,86.55,33.02,35.32
797,James Harden,Regular_Season,44.32,85.82,36.35,34.32
798,James Johnson,Playoffs,52.24,64.71,50.0,17.21
799,James Johnson,Regular_Season,49.8,69.53,31.52,24.77
800,James Jones,Playoffs,41.23,86.36,39.37,15.72
801,James Jones,Regular_Season,39.69,85.19,39.37,17.74
802,James McAdoo,Regular_Season,52.99,50.0,25.0,8.8
803,James Posey,Playoffs,42.11,83.1,38.7,25.71
804,James Posey,Regular_Season,41.63,81.71,35.43,27.5
805,James Singleton,Regular_Season,52.94,85.9,32.5,14.26
806,Jamie Feick,Regular_Season,42.79,70.68,100.0,27.65
807,Jan Vesely,Regular_Season,53.67,53.23,0.0,18.9
808,Jannero Pargo,Playoffs,37.17,69.7,35.56,16.8
809,Jannero Pargo,Regular_Season,39.96,86.21,36.96,19.8
810,Jared Dudley,Playoffs,44.88,64.1,42.68,21.89
811,Jared Dudley,Regular_Season,46.56,73.54,39.36,24.39
812,Jared Jeffries,Playoffs,43.52,73.53,30.0,26.86
813,Jared Jeffries,Regular_Season,42.74,59.17,27.31,23.72
814,Jared Sullinger,Playoffs,42.5,63.64,38.46,16.18
815,Jared Sullinger,Regular_Season,43.11,71.7,27.33,25.52
816,Jarell Martin,Regular_Season,44.56,76.72,34.69,22.75
817,Jaren Jackson,Regular_Season,38.11,64.71,35.29,20.88
818,"Jaren Jackson, Jr.",Regular_Season,48.51,75.72,38.43,27.28
819,Jarrett Allen,Playoffs,58.93,83.33,,26.93
820,Jarrett Allen,Regular_Season,60.91,69.35,16.67,24.28
821,Jarrett Culver,Regular_Season,40.42,46.15,29.86,23.9
822,Jarrett Jack,Playoffs,48.76,87.01,27.27,28.77
823,Jarrett Jack,Regular_Season,44.08,85.2,34.5,27.35
824,Jarron Collins,Playoffs,33.33,57.89,,9.37
825,Jarron Collins,Regular_Season,46.58,70.7,0.0,17.06
826,Jarvis Hayes,Playoffs,31.58,85.71,36.36,13.33
827,Jarvis Hayes,Regular_Season,42.03,77.89,36.3,22.12
828,Jason Caffey,Playoffs,38.1,64.52,,16.5
829,Jason Caffey,Regular_Season,48.18,62.59,0.0,25.6
830,Jason Collier,Regular_Season,46.28,67.61,42.86,13.46
831,Jason Collins,Playoffs,38.87,68.52,0.0,21.85
832,Jason Collins,Regular_Season,41.38,65.28,20.69,24.0
833,Jason Hart,Playoffs,55.0,,,8.86
834,Jason Hart,Regular_Season,43.2,75.78,34.92,19.32
835,Jason Kapono,Playoffs,55.71,83.33,53.57,25.46
836,Jason Kapono,Regular_Season,44.99,84.84,45.67,21.42
837,Jason Kidd,Playoffs,39.02,79.44,32.56,38.26
838,Jason Kidd,Regular_Season,39.98,81.27,35.48,36.03
839,Jason Maxiell,Playoffs,62.62,50.0,0.0,16.61
840,Jason Maxiell,Regular_Season,50.55,58.08,0.0,20.28
841,Jason Richardson,Playoffs,46.48,72.38,40.43,34.12
842,Jason Richardson,Regular_Season,44.21,71.1,37.3,34.76
843,Jason Smith,Playoffs,47.37,77.78,27.27,12.57
844,Jason Smith,Regular_Season,46.64,77.78,39.47,16.21
845,Jason Terry,Playoffs,44.13,82.86,38.49,32.6
846,Jason Terry,Regular_Season,44.51,84.6,38.04,30.7
