,Player,Stage,career_FG_%,career_FT_%,career_3PT_%,Minutes_per_game
84,Andrew Goudelock,Playoffs,44.44,100.0,20.0,26.67
85,Andrew Harrison,Playoffs,44.83,88.89,38.46,19.8
86,Andrew Harrison,Regular_Season,32.5,76.29,27.56,20.47
87,Andrew Nicholson,Regular_Season,48.12,80.79,31.46,16.05
88,Andrew Wiggins,Playoffs,44.12,60.0,33.33,32.84
89,Andrew Wiggins,Regular_Season,44.12,73.24,33.23,35.78
90,Andris Biedrins,Playoffs,72.97,53.33,,24.31
91,Andris Biedrins,Regular_Season,61.21,57.34,,28.23
92,Anfernee Simons,Playoffs,30.77,83.33,42.86,20.5
93,Anfernee Simons,Regular_Season,39.93,82.61,33.19,20.7
94,Ansu Sesay,Playoffs,37.5,100.0,,15.0
95,Antawn Jamison,Playoffs,44.76,70.62,34.09,34.89
96,Antawn Jamison,Regular_Season,45.23,73.47,34.79,35.99
97,Ante Zizic,Regular_Season,55.29,70.45,,18.34
98,Anthony Carter,Playoffs,40.88,70.0,12.5,19.16
99,Anthony Carter,Regular_Season,42.19,71.54,26.79,24.2
100,Anthony Davis,Playoffs,55.08,83.87,34.52,38.2
101,Anthony Davis,Regular_Season,51.48,80.77,32.22,35.35
102,Anthony Johnson,Playoffs,41.29,72.22,32.11,16.16
103,Anthony Johnson,Regular_Season,42.94,75.15,35.8,21.43
104,Anthony Mason,Playoffs,44.12,74.36,0.0,33.38
105,Anthony Mason,Regular_Season,48.75,74.78,33.33,37.7
106,Anthony Morrow,Playoffs,45.83,100.0,35.71,5.45
107,Anthony Morrow,Regular_Season,43.79,86.83,40.99,20.69
108,Anthony Parker,Playoffs,43.43,79.41,40.74,34.84
109,Anthony Parker,Regular_Season,44.59,81.55,41.42,31.15
110,Anthony Peeler,Playoffs,33.33,72.73,28.21,24.86
111,Anthony Peeler,Regular_Season,42.61,82.74,39.32,24.99
112,Anthony Tolliver,Playoffs,57.14,33.33,63.64,11.42
113,Anthony Tolliver,Regular_Season,41.58,75.71,38.43,19.32
114,Antoine Walker,Playoffs,40.61,66.27,35.16,38.44
115,Antoine Walker,Regular_Season,41.25,64.07,32.39,35.65
116,Antoine Wright,Playoffs,48.1,85.71,40.74,15.0
117,Antoine Wright,Regular_Season,42.38,68.45,30.77,21.01
118,Antonio Daniels,Playoffs,46.23,86.38,33.63,26.94
119,Antonio Daniels,Regular_Season,44.75,80.63,31.67,22.88
120,Antonio Davis,Playoffs,48.49,74.58,,37.15
121,Antonio Davis,Regular_Season,43.01,77.38,0.0,32.63
122,Antonio McDyess,Playoffs,48.77,69.39,0.0,23.07
123,Antonio McDyess,Regular_Season,50.2,65.09,0.0,25.49
124,Armen Gilliam,Playoffs,32.61,38.46,,13.2
125,Aron Baynes,Playoffs,51.18,73.33,43.33,14.43
126,Aron Baynes,Regular_Season,50.97,80.27,14.81,16.29
127,Arron Afflalo,Playoffs,44.13,79.49,25.86,18.29
128,Arron Afflalo,Regular_Season,45.29,81.95,39.74,27.66
129,Arvydas Sabonis,Playoffs,49.3,79.17,26.09,27.32
130,Arvydas Sabonis,Regular_Season,49.43,81.77,40.0,20.1
131,Austin Croshere,Playoffs,38.83,84.28,36.73,19.57
132,Austin Croshere,Regular_Season,40.52,86.75,33.53,20.41
133,Austin Daye,Regular_Season,40.98,75.93,40.12,20.08
134,Austin Rivers,Playoffs,40.32,69.39,34.07,20.24
135,Austin Rivers,Regular_Season,41.63,64.05,34.89,25.75
136,Avery Bradley,Playoffs,41.9,76.79,31.9,32.04
137,Avery Bradley,Regular_Season,44.46,78.63,36.47,29.32
138,Avery Johnson,Playoffs,40.77,62.07,0.0,25.0
139,Avery Johnson,Regular_Season,47.29,73.55,11.11,31.35
140,Bam Adebayo,Playoffs,55.74,72.09,0.0,31.84
141,Bam Adebayo,Regular_Season,55.32,71.03,13.89,25.55
142,Baron Davis,Playoffs,44.18,71.21,35.38,39.0
143,Baron Davis,Regular_Season,41.77,70.23,31.7,35.01
144,Ben Gordon,Playoffs,40.35,83.98,38.41,37.85
145,Ben Gordon,Regular_Season,43.43,85.72,41.01,29.13
146,Ben McLemore,Playoffs,37.5,,38.89,11.78
147,Ben McLemore,Regular_Season,42.04,78.83,36.72,25.85
148,Ben Simmons,Playoffs,55.19,65.31,0.0,35.91
149,Ben Simmons,Regular_Season,56.01,59.33,8.33,34.33
150,Ben Wallace,Playoffs,48.21,41.78,0.0,34.81
151,Ben Wallace,Regular_Season,46.55,42.36,12.77,32.17
152,Beno Udrih,Playoffs,40.82,79.49,27.69,13.97
153,Beno Udrih,Regular_Season,46.51,82.76,33.99,23.14
154,Bimbo Coles,Regular_Season,45.47,81.73,20.51,24.05
155,Bismack Biyombo,Playoffs,57.97,59.72,,25.28
156,Bismack Biyombo,Regular_Season,51.46,56.83,0.0,20.92
157,Blake Griffin,Playoffs,49.17,72.39,30.43,35.53
158,Blake Griffin,Regular_Season,50.21,69.08,34.19,35.13
159,Bo Outlaw,Playoffs,39.53,31.58,,19.07
160,Bo Outlaw,Regular_Season,56.89,53.68,15.38,25.05
161,Bob Sura,Playoffs,43.48,66.67,53.85,26.0
