,Player,Season,Stage,Points_type,Points_per_game
0,Shaquille O'Neal,1999,Regular_Season,Free throws,5.47
1,Vince Carter,1999,Regular_Season,Free throws,5.32
2,Karl Malone,1999,Regular_Season,Free throws,7.18
3,Allen Iverson,1999,Regular_Season,Free throws,6.31
4,Gary Payton,1999,Regular_Season,Free throws,3.79
5,Jerry Stackhouse,1999,Regular_Season,Free throws,7.54
6,Grant Hill,1999,Regular_Season,Free throws,6.49
7,Kevin Garnett,1999,Regular_Season,Free throws,3.81
8,Michael Finley,1999,Regular_Season,Free throws,3.17
9,Chris Webber,1999,Regular_Season,Free throws,4.15
10,Ray Allen,1999,Regular_Season,Free throws,4.3
11,Alonzo Mourning,1999,Regular_Season,Free throws,5.24
12,Tim Duncan,1999,Regular_Season,Free throws,6.2
13,Glenn Robinson,1999,Regular_Season,Free throws,2.8
14,Antoine Walker,1999,Regular_Season,Free throws,3.79
15,Shareef Abdur-Rahim,1999,Regular_Season,Free throws,5.44
16,Stephon Marbury,1999,Regular_Season,Free throws,5.89
17,Elton Brand,1999,Regular_Season,Free throws,4.53
18,Allan Houston,1999,Regular_Season,Free throws,3.41
19,Antonio McDyess,1999,Regular_Season,Free throws,3.99
20,Keith Van Horn,1999,Regular_Season,Free throws,4.16
21,Latrell Sprewell,1999,Regular_Season,Free throws,4.2
22,Sam Cassell,1999,Regular_Season,Free throws,4.81
23,Michael Dickerson,1999,Regular_Season,Free throws,3.28
24,Kobe Bryant,1999,Regular_Season,Free throws,5.02
25,Cliff Robinson,1999,Regular_Season,Free throws,3.72
26,Reggie Miller,1999,Regular_Season,Free throws,4.6
27,Shawn Kemp,1999,Regular_Season,Free throws,6.01
28,Jalen Rose,1999,Regular_Season,Free throws,3.18
29,Eddie Jones,1999,Regular_Season,Free throws,5.03
30,Dirk Nowitzki,1999,Regular_Season,Free throws,3.52
31,David Robinson,1999,Regular_Season,Free throws,4.64
32,Paul Pierce,1999,Regular_Season,Free throws,4.92
33,Steve Francis,1999,Regular_Season,Free throws,3.73
34,Darrell Armstrong,1999,Regular_Season,Free throws,2.74
35,Jamal Mashburn,1999,Regular_Season,Free throws,2.45
36,Rasheed Wallace,1999,Regular_Season,Free throws,2.88
37,Jim Jackson,1999,Regular_Season,Free throws,2.35
38,Vin Baker,1999,Regular_Season,Free throws,3.56
39,Mitch Richmond,1999,Regular_Season,Free throws,4.03
40,Cuttino Mobley,1999,Regular_Season,Free throws,3.69
41,Nick Van Exel,1999,Regular_Season,Free throws,2.48
42,Glen Rice,1999,Regular_Season,Free throws,4.32
43,Lamar Odom,1999,Regular_Season,Free throws,3.97
44,Derrick Coleman,1999,Regular_Season,Free throws,4.0
45,Larry Hughes,1999,Regular_Season,Free throws,3.4
46,Steve Smith,1999,Regular_Season,Free throws,3.52
47,Juwan Howard,1999,Regular_Season,Free throws,2.46
48,Tracy McGrady,1999,Regular_Season,Free throws,3.51
49,Terrell Brandon,1999,Regular_Season,Free throws,2.63
50,Mike Bibby,1999,Regular_Season,Free throws,2.38
51,Lamond Murray,1999,Regular_Season,Free throws,2.76
52,Bryon Russell,1999,Regular_Season,Free throws,2.89
53,Kenny Anderson,1999,Regular_Season,Free throws,2.39
54,Rodney Rogers,1999,Regular_Season,Free throws,1.94
55,David Wesley,1999,Regular_Season,Free throws,2.61
56,Alan Henderson,1999,Regular_Season,Free throws,2.73
57,Othella Harrington,1999,Regular_Season,Free throws,2.88
58,Lindsey Hunter,1999,Regular_Season,Free throws,1.43
59,Scottie Pippen,1999,Regular_Season,Free throws,1.95
60,Rik Smits,1999,Regular_Season,Free throws,1.97
61,Chris Gatling,1999,Regular_Season,Free throws,3.13
62,Shandon Anderson,1999,Regular_Season,Free throws,2.37
63,Bob Sura,1999,Regular_Season,Free throws,2.4
64,Raef LaFrentz,1999,Regular_Season,Free throws,2.0
65,Vlade Divac,1999,Regular_Season,Free throws,2.8
66,Christian Laettner,1999,Regular_Season,Free throws,2.89
67,Jason Williams,1999,Regular_Season,Free throws,1.58
68,Kendall Gill,1999,Regular_Season,Free throws,2.38
69,John Stockton,1999,Regular_Season,Free throws,2.7
70,Elden Campbell,1999,Regular_Season,Free throws,3.17
71,Damon Stoudamire,1999,Regular_Season,Free throws,1.56
72,Tyrone Nesby,1999,Regular_Season,Free throws,2.07
73,Jason Kidd,1999,Regular_Season,Free throws,3.03
74,Jeff Hornacek,1999,Regular_Season,Free throws,2.22
75,Anthony Mason,1999,Regular_Season,Free throws,3.83
76,Brent Barry,1999,Regular_Season,Free throws,1.59
77,Tim Thomas,1999,Regular_Season,Free throws,2.35
78,Dikembe Mutombo,1999,Regular_Season,Free throws,3.63
79,Ruben Patterson,1999,Regular_Season,Free throws,2.74
80,Patrick Ewing,1999,Regular_Season,Free throws,3.34
81,Malik Sealy,1999,Regular_Season,Free throws,2.16
82,Avery Johnson,1999,Regular_Season,Free throws,1.39
83,Andre Miller,1999,Regular_Season,Free throws,2.76
84,Antonio Davis,1999,Regular_Season,Free throws,3.59
85,Doug Christie,1999,Regular_Season,Free throws,2.49
86,Peja Stojakovic,1999,Regular_Season,Free throws,1.82
87,Metta World Peace,1999,Regular_Season,Free throws,2.61
88,Jason Caffey,1999,Regular_Season,Free throws,2.9
89,Wally Szczerbiak,1999,Regular_Season,Free throws,1.82
90,John Amaechi,1999,Regular_Season,Free throws,2.79
91,Austin Croshere,1999,Regular_Season,Free throws,2.42
92,Walt Williams,1999,Regular_Season,Free throws,1.33
93,Mookie Blaylock,1999,Regular_Season,Free throws,0.92
94,Johnny Newman,1999,Regular_Season,Free throws,2.34
95,Tyrone Hill,1999,Regular_Season,Free throws,2.63
96,Tracy Murray,1999,Regular_Season,Free throws,1.5
97,Anthony Peeler,1999,Regular_Season,Free throws,1.06
98,George McCloud,1999,Regular_Season,Free throws,1.9
99,Corliss Williamson,1999,Regular_Season,Free throws,2.14
100,Michael Olowokandi,1999,Regular_Season,Free throws,1.54
101,Chucky Atkins,1999,Regular_Season,Free throws,1.18
102,Nick Anderson,1999,Regular_Season,Free throws,0.51
103,Arvydas Sabonis,1999,Regular_Season,Free throws,2.53
104,Joe Smith,1999,Regular_Season,Free throws,2.5
105,P.J. Brown,1999,Regular_Season,Free throws,1.5
106,Larry Johnson,1999,Regular_Season,Free throws,1.83
107,Dale Davis,1999,Regular_Season,Free throws,1.88
108,Travis Best,1999,Regular_Season,Free throws,1.9
109,Wesley Person,1999,Regular_Season,Free throws,0.77
110,Vitaly Potapenko,1999,Regular_Season,Free throws,1.38
111,George Lynch,1999,Regular_Season,Free throws,1.51
112,Howard Eisley,1999,Regular_Season,Free throws,1.02
113,Vonteego Cummings,1999,Regular_Season,Free throws,1.69
114,Keon Clark,1999,Regular_Season,Free throws,1.49
115,Jerome Williams,1999,Regular_Season,Free throws,2.13
116,Pat Garrity,1999,Regular_Season,Free throws,0.98
117,Rashard Lewis,1999,Regular_Season,Free throws,1.02
118,James Posey,1999,Regular_Season,Free throws,1.48
119,Mark Jackson,1999,Regular_Season,Free throws,0.98
120,Jason Terry,1999,Regular_Season,Free throws,1.4
121,Eric Piatkowski,1999,Regular_Season,Free throws,1.13
122,Aaron McKie,1999,Regular_Season,Free throws,1.48
123,Eric Snow,1999,Regular_Season,Free throws,1.54
124,Monty Williams,1999,Regular_Season,Free throws,1.64
125,Shawn Bradley,1999,Regular_Season,Free throws,1.48
126,Corey Maggette,1999,Regular_Season,Free throws,2.55
127,Bimbo Coles,1999,Regular_Season,Free throws,1.06
128,Chris Whitney,1999,Regular_Season,Free throws,1.37
129,Kurt Thomas,1999,Regular_Season,Free throws,1.25
130,Terry Porter,1999,Regular_Season,Free throws,2.01
131,Richard Hamilton,1999,Regular_Season,Free throws,1.45
132,Matt Geiger,1999,Regular_Season,Free throws,1.68
133,Aaron Williams,1999,Regular_Season,Free throws,1.8
134,Horace Grant,1999,Regular_Season,Free throws,1.05
135,Kevin Willis,1999,Regular_Season,Free throws,1.66
136,Marcus Camby,1999,Regular_Season,Free throws,2.51
137,Kenny Thomas,1999,Regular_Season,Free throws,1.92
138,Mario Elie,1999,Regular_Season,Free throws,1.59
139,Hubert Davis,1999,Regular_Season,Free throws,0.85
140,Bonzi Wells,1999,Regular_Season,Free throws,1.33
141,Detlef Schrempf,1999,Regular_Season,Free throws,2.32
142,Jahidi White,1999,Regular_Season,Free throws,1.41
143,Clarence Weatherspoon,1999,Regular_Season,Free throws,1.73
144,Michael Doleac,1999,Regular_Season,Free throws,0.99
145,Ron Harper,1999,Regular_Season,Free throws,1.25
146,Charles Oakley,1999,Regular_Season,Free throws,0.82
147,Terry Mills,1999,Regular_Season,Free throws,0.3
148,Andrew DeClercq,1999,Regular_Season,Free throws,1.15
149,Tony Battie,1999,Regular_Season,Free throws,1.24
150,Sam Perkins,1999,Regular_Season,Free throws,0.99
151,Rick Fox,1999,Regular_Season,Free throws,0.77
152,Charlie Ward,1999,Regular_Season,Free throws,0.67
153,Scott Williams,1999,Regular_Season,Free throws,1.38
154,Dana Barros,1999,Regular_Season,Free throws,0.92
155,Greg Anthony,1999,Regular_Season,Free throws,1.07
156,Lucious Harris,1999,Regular_Season,Free throws,1.03
157,Jaren Jackson,1999,Regular_Season,Free throws,0.41
158,Dell Curry,1999,Regular_Season,Free throws,0.36
159,Dan Majerle,1999,Regular_Season,Free throws,0.81
160,Michael Curry,1999,Regular_Season,Free throws,1.72
161,Anthony Carter,1999,Regular_Season,Free throws,1.18
162,Malik Rose,1999,Regular_Season,Free throws,1.93
163,Derek Fisher,1999,Regular_Season,Free throws,1.35
164,Bo Outlaw,1999,Regular_Season,Free throws,1.0
165,Baron Davis,1999,Regular_Season,Free throws,1.18
166,Adrian Griffin,1999,Regular_Season,Free throws,1.65
167,Lawrence Funderburke,1999,Regular_Season,Free throws,1.53
168,Rasho Nesterovic,1999,Regular_Season,Free throws,0.72
169,Eddie Robinson,1999,Regular_Season,Free throws,0.7
170,Tony Farmer,1999,Regular_Season,Free throws,2.74
171,Jamie Feick,1999,Regular_Season,Free throws,1.16
172,Brian Grant,1999,Regular_Season,Free throws,1.78
173,Luc Longley,1999,Regular_Season,Free throws,1.11
174,Scott Burrell,1999,Regular_Season,Free throws,0.53
175,Lorenzen Wright,1999,Regular_Season,Free throws,1.16
176,Chris Anstey,1999,Regular_Season,Free throws,1.59
177,Robert Horry,1999,Regular_Season,Free throws,1.17
178,Olden Polynice,1999,Regular_Season,Free throws,0.34
179,Sam Mitchell,1999,Regular_Season,Free throws,1.23
180,Mark Bryant,1999,Regular_Season,Free throws,1.01
181,Adonal Foyle,1999,Regular_Season,Free throws,0.45
182,Antonio Daniels,1999,Regular_Season,Free throws,1.06
183,Bryce Drew,1999,Regular_Season,Free throws,0.62
184,A.C. Green,1999,Regular_Season,Free throws,0.8
185,Scot Pollard,1999,Regular_Season,Free throws,1.5
186,Muggsy Bogues,1999,Regular_Season,Free throws,0.99
187,Darrick Martin,1999,Regular_Season,Free throws,1.38
188,Ben Wallace,1999,Regular_Season,Free throws,0.67
189,Ervin Johnson,1999,Regular_Season,Free throws,1.19
190,Randy Livingston,1999,Regular_Season,Free throws,0.66
191,Chris Childs,1999,Regular_Season,Free throws,0.66
192,Bobby Jackson,1999,Regular_Season,Free throws,1.04
193,Greg Ostertag,1999,Regular_Season,Free throws,1.47
194,Samaki Walker,1999,Regular_Season,Free throws,1.21
195,Vinny Del Negro,1999,Regular_Season,Free throws,0.52
196,Danny Manning,1999,Regular_Season,Free throws,0.47
197,John Crotty,1999,Regular_Season,Free throws,1.16
198,Jerome Kersey,1999,Regular_Season,Free throws,0.4
199,Sean Rooks,1999,Regular_Season,Free throws,0.92
200,Brian Shaw,1999,Regular_Season,Free throws,0.55
201,Jacque Vaughn,1999,Regular_Season,Free throws,0.73
202,Quincy Lewis,1999,Regular_Season,Free throws,0.51
203,Jermaine O'Neal,1999,Regular_Season,Free throws,0.81
204,Bruce Bowen,1999,Regular_Season,Free throws,0.36
205,Michael Ruffin,1999,Regular_Season,Free throws,0.61
206,Travis Knight,1999,Regular_Season,Free throws,0.27
207,Shaquille O'Neal,1999,Playoffs,Free throws,5.87
208,Reggie Miller,1999,Playoffs,Free throws,5.5
209,Jalen Rose,1999,Playoffs,Free throws,4.65
210,Kobe Bryant,1999,Playoffs,Free throws,4.32
211,Latrell Sprewell,1999,Playoffs,Free throws,4.31
212,Rasheed Wallace,1999,Playoffs,Free throws,3.62
213,Glen Rice,1999,Playoffs,Free throws,3.09
214,Allan Houston,1999,Playoffs,Free throws,3.5
215,Steve Smith,1999,Playoffs,Free throws,4.31
216,Karl Malone,1999,Playoffs,Free throws,6.4
217,Allen Iverson,1999,Playoffs,Free throws,6.8
218,Rik Smits,1999,Playoffs,Free throws,1.59
219,Scottie Pippen,1999,Playoffs,Free throws,3.25
220,Austin Croshere,1999,Playoffs,Free throws,3.17
221,Alonzo Mourning,1999,Playoffs,Free throws,6.4
222,Patrick Ewing,1999,Playoffs,Free throws,4.43
223,Travis Best,1999,Playoffs,Free throws,1.61
224,Ron Harper,1999,Playoffs,Free throws,1.43
225,Dale Davis,1999,Playoffs,Free throws,1.39
226,Mark Jackson,1999,Playoffs,Free throws,1.22
227,Penny Hardaway,1999,Playoffs,Free throws,4.89
228,Arvydas Sabonis,1999,Playoffs,Free throws,2.44
229,Larry Johnson,1999,Playoffs,Free throws,1.69
230,Robert Horry,1999,Playoffs,Free throws,1.74
231,Jamal Mashburn,1999,Playoffs,Free throws,3.6
232,Cliff Robinson,1999,Playoffs,Free throws,3.67
233,Charlie Ward,1999,Playoffs,Free throws,0.94
234,Damon Stoudamire,1999,Playoffs,Free throws,1.25
235,Bryon Russell,1999,Playoffs,Free throws,3.1
236,Aaron McKie,1999,Playoffs,Free throws,2.6
237,Theo Ratliff,1999,Playoffs,Free throws,3.4
238,Gary Payton,1999,Playoffs,Free throws,4.0
239,Rodney Rogers,1999,Playoffs,Free throws,2.56
240,Tyrone Hill,1999,Playoffs,Free throws,3.1
241,Chris Webber,1999,Playoffs,Free throws,5.4
242,Brian Shaw,1999,Playoffs,Free throws,0.59
243,Jeff Hornacek,1999,Playoffs,Free throws,2.0
244,John Stockton,1999,Playoffs,Free throws,2.3
245,Sam Perkins,1999,Playoffs,Free throws,0.83
246,Ray Allen,1999,Playoffs,Free throws,4.0
247,Bonzi Wells,1999,Playoffs,Free throws,2.07
248,Rick Fox,1999,Playoffs,Free throws,0.7
249,Derek Fisher,1999,Playoffs,Free throws,0.9
250,David Robinson,1999,Playoffs,Free throws,8.0
251,Toni Kukoc,1999,Playoffs,Free throws,1.0
252,Dan Majerle,1999,Playoffs,Free throws,1.0
253,A.C. Green,1999,Playoffs,Free throws,0.7
254,Brian Grant,1999,Playoffs,Free throws,1.81
255,Chris Childs,1999,Playoffs,Free throws,1.5
256,Detlef Schrempf,1999,Playoffs,Free throws,2.6
257,Shawn Marion,1999,Playoffs,Free throws,1.0
258,Derrick Coleman,1999,Playoffs,Free throws,5.5
259,Sam Cassell,1999,Playoffs,Free throws,3.6
260,Terrell Brandon,1999,Playoffs,Free throws,2.5
261,Marcus Camby,1999,Playoffs,Free throws,1.19
262,Anthony Carter,1999,Playoffs,Free throws,1.2
263,Tim Thomas,1999,Playoffs,Free throws,2.8
264,Rashard Lewis,1999,Playoffs,Free throws,3.2
265,Glenn Robinson,1999,Playoffs,Free throws,2.2
266,Kevin Garnett,1999,Playoffs,Free throws,3.25
267,P.J. Brown,1999,Playoffs,Free throws,0.5
268,Jerry Stackhouse,1999,Playoffs,Free throws,7.67
269,Matt Geiger,1999,Playoffs,Free throws,2.5
270,Vin Baker,1999,Playoffs,Free throws,2.0
271,Kurt Thomas,1999,Playoffs,Free throws,0.44
272,Eddie Jones,1999,Playoffs,Free throws,3.75
273,Clarence Weatherspoon,1999,Playoffs,Free throws,1.4
274,Greg Anthony,1999,Playoffs,Free throws,0.8
275,Jason Kidd,1999,Playoffs,Free throws,1.17
276,George Lynch,1999,Playoffs,Free throws,1.4
277,Olden Polynice,1999,Playoffs,Free throws,0.3
278,Vince Carter,1999,Playoffs,Free throws,9.0
279,Elden Campbell,1999,Playoffs,Free throws,3.25
280,Vlade Divac,1999,Playoffs,Free throws,3.2
281,Tony Delk,1999,Playoffs,Free throws,3.4
282,Tim Hardaway,1999,Playoffs,Free throws,1.0
283,Jason Williams,1999,Playoffs,Free throws,1.6
284,Shammond Williams,1999,Playoffs,Free throws,1.6
285,Scott Williams,1999,Playoffs,Free throws,1.0
286,Howard Eisley,1999,Playoffs,Free throws,0.8
287,Anthony Mason,1999,Playoffs,Free throws,3.5
288,Tracy McGrady,1999,Playoffs,Free throws,4.67
289,Malik Sealy,1999,Playoffs,Free throws,2.75
290,Avery Johnson,1999,Playoffs,Free throws,2.5
291,Derrick McKey,1999,Playoffs,Free throws,0.7
292,Corie Blount,1999,Playoffs,Free throws,1.11
293,David Wesley,1999,Playoffs,Free throws,2.25
294,Peja Stojakovic,1999,Playoffs,Free throws,1.2
295,Brent Barry,1999,Playoffs,Free throws,2.0
296,Todd Day,1999,Playoffs,Free throws,0.56
297,Ruben Patterson,1999,Playoffs,Free throws,2.6
298,Sean Elliott,1999,Playoffs,Free throws,1.25
299,Antonio Davis,1999,Playoffs,Free throws,3.67
300,Jon Barry,1999,Playoffs,Free throws,2.8
301,Kevin Willis,1999,Playoffs,Free throws,5.0
302,Luc Longley,1999,Playoffs,Free throws,0.22
303,Eric Snow,1999,Playoffs,Free throws,0.8
304,Samaki Walker,1999,Playoffs,Free throws,2.0
305,Nick Anderson,1999,Playoffs,Free throws,1.4
306,Bruce Bowen,1999,Playoffs,Free throws,1.0
307,Armen Gilliam,1999,Playoffs,Free throws,0.5
308,Corliss Williamson,1999,Playoffs,Free throws,2.2
309,Otis Thorpe,1999,Playoffs,Free throws,0.7
310,Ervin Johnson,1999,Playoffs,Free throws,2.2
311,Chris Mullin,1999,Playoffs,Free throws,1.0
312,Greg Ostertag,1999,Playoffs,Free throws,1.25
313,Charles Oakley,1999,Playoffs,Free throws,0.0
314,Anthony Peeler,1999,Playoffs,Free throws,1.5
315,Mario Elie,1999,Playoffs,Free throws,4.25
316,Brad Miller,1999,Playoffs,Free throws,3.0
317,Antonio Daniels,1999,Playoffs,Free throws,2.25
318,Kevin Johnson,1999,Playoffs,Free throws,0.56
319,Jacque Vaughn,1999,Playoffs,Free throws,1.0
320,Michael Curry,1999,Playoffs,Free throws,1.33
321,Vinny Del Negro,1999,Playoffs,Free throws,0.0
322,Quincy Lewis,1999,Playoffs,Free throws,0.5
323,Darvin Ham,1999,Playoffs,Free throws,0.6
324,Rasho Nesterovic,1999,Playoffs,Free throws,0.75
325,Terry Mills,1999,Playoffs,Free throws,0.33
326,Lindsey Hunter,1999,Playoffs,Free throws,1.33
327,Horace Grant,1999,Playoffs,Free throws,0.4
328,Wally Szczerbiak,1999,Playoffs,Free throws,0.0
329,Sam Mitchell,1999,Playoffs,Free throws,0.75
330,Malik Rose,1999,Playoffs,Free throws,1.25
331,Kevin Ollie,1999,Playoffs,Free throws,0.8
332,Christian Laettner,1999,Playoffs,Free throws,2.0
333,Scot Pollard,1999,Playoffs,Free throws,0.4
334,Terry Porter,1999,Playoffs,Free throws,0.0
335,Joe Smith,1999,Playoffs,Free throws,0.5
336,Greg Foster,1999,Playoffs,Free throws,0.4
337,John Salley,1999,Playoffs,Free throws,0.39
338,Muggsy Bogues,1999,Playoffs,Free throws,0.33
339,Jerome Williams,1999,Playoffs,Free throws,0.33
340,Randy Livingston,1999,Playoffs,Free throws,0.0
341,Doug Christie,1999,Playoffs,Free throws,1.0
342,Jerry Stackhouse,2000,Regular_Season,Free throws,8.32
343,Allen Iverson,2000,Regular_Season,Free throws,8.24
344,Shaquille O'Neal,2000,Regular_Season,Free throws,6.74
345,Paul Pierce,2000,Regular_Season,Free throws,6.71
346,Vince Carter,2000,Regular_Season,Free throws,5.12
347,Tracy McGrady,2000,Regular_Season,Free throws,5.58
348,Antawn Jamison,2000,Regular_Season,Free throws,4.66
349,Kobe Bryant,2000,Regular_Season,Free throws,6.99
350,Chris Webber,2000,Regular_Season,Free throws,4.63
351,Antoine Walker,2000,Regular_Season,Free throws,3.07
352,Karl Malone,2000,Regular_Season,Free throws,6.62
353,Gary Payton,2000,Regular_Season,Free throws,3.43
354,Tim Duncan,2000,Regular_Season,Free throws,4.99
355,Ray Allen,2000,Regular_Season,Free throws,4.24
356,Kevin Garnett,2000,Regular_Season,Free throws,4.41
357,Dirk Nowitzki,2000,Regular_Season,Free throws,5.5
358,Michael Finley,2000,Regular_Season,Free throws,3.07
359,Glenn Robinson,2000,Regular_Season,Free throws,3.3
360,Shareef Abdur-Rahim,2000,Regular_Season,Free throws,5.47
361,Jason Terry,2000,Regular_Season,Free throws,3.7
362,Stephon Marbury,2000,Regular_Season,Free throws,5.4
363,Steve Francis,2000,Regular_Season,Free throws,4.47
364,Cuttino Mobley,2000,Regular_Season,Free throws,4.99
365,Peja Stojakovic,2000,Regular_Season,Free throws,3.56
366,Jamal Mashburn,2000,Regular_Season,Free throws,3.67
367,Reggie Miller,2000,Regular_Season,Free throws,3.99
368,Elton Brand,2000,Regular_Season,Free throws,4.51
369,Jalen Rose,2000,Regular_Season,Free throws,3.96
370,Rasheed Wallace,2000,Regular_Season,Free throws,3.18
371,Juwan Howard,2000,Regular_Season,Free throws,3.65
372,Allan Houston,2000,Regular_Season,Free throws,3.58
373,Antonio McDyess,2000,Regular_Season,Free throws,4.34
374,David Wesley,2000,Regular_Season,Free throws,3.3
375,Richard Hamilton,2000,Regular_Season,Free throws,3.55
376,Sam Cassell,2000,Regular_Season,Free throws,3.64
377,Shawn Marion,2000,Regular_Season,Free throws,2.96
378,Latrell Sprewell,2000,Regular_Season,Free throws,3.57
379,Cliff Robinson,2000,Regular_Season,Free throws,3.09
380,Lamar Odom,2000,Regular_Season,Free throws,3.45
381,Mike Bibby,2000,Regular_Season,Free throws,1.74
382,Jason Kidd,2000,Regular_Season,Free throws,4.26
383,Andre Miller,2000,Regular_Season,Free throws,4.57
384,Anthony Mason,2000,Regular_Season,Free throws,4.62
385,Derek Anderson,2000,Regular_Season,Free throws,4.17
386,Nick Van Exel,2000,Regular_Season,Free throws,2.87
387,Terrell Brandon,2000,Regular_Season,Free throws,2.5
388,Brian Grant,2000,Regular_Season,Free throws,3.44
389,Darrell Armstrong,2000,Regular_Season,Free throws,2.93
390,David Robinson,2000,Regular_Season,Free throws,4.39
391,Rashard Lewis,2000,Regular_Season,Free throws,2.26
392,Tim Hardaway,2000,Regular_Season,Free throws,1.88
393,Wally Szczerbiak,2000,Regular_Season,Free throws,2.21
394,Michael Dickerson,2000,Regular_Season,Free throws,2.94
395,Baron Davis,2000,Regular_Season,Free throws,2.78
396,Steve Smith,2000,Regular_Season,Free throws,3.81
397,Donyell Marshall,2000,Regular_Season,Free throws,2.53
398,Steve Nash,2000,Regular_Season,Free throws,3.3
399,Antonio Davis,2000,Regular_Season,Free throws,4.09
400,Damon Stoudamire,2000,Regular_Season,Free throws,2.1
401,Jeff McInnis,2000,Regular_Season,Free throws,1.6
402,Jermaine O'Neal,2000,Regular_Season,Free throws,2.88
403,Elden Campbell,2000,Regular_Season,Free throws,3.69
404,Raef LaFrentz,2000,Regular_Season,Free throws,2.35
405,Tony Delk,2000,Regular_Season,Free throws,2.26
406,Rodney Rogers,2000,Regular_Season,Free throws,2.29
407,Lamond Murray,2000,Regular_Season,Free throws,1.99
408,Doug Christie,2000,Regular_Season,Free throws,3.46
409,Ruben Patterson,2000,Regular_Season,Free throws,3.24
410,Mike Miller,2000,Regular_Season,Free throws,1.11
411,Vlade Divac,2000,Regular_Season,Free throws,2.99
412,Voshon Lenard,2000,Regular_Season,Free throws,1.91
413,Chucky Atkins,2000,Regular_Season,Free throws,1.11
414,Tim Thomas,2000,Regular_Season,Free throws,2.57
415,Bonzi Wells,2000,Regular_Season,Free throws,2.12
416,John Stockton,2000,Regular_Season,Free throws,2.77
417,Bryon Russell,2000,Regular_Season,Free throws,2.85
418,Vin Baker,2000,Regular_Season,Free throws,3.05
419,Clarence Weatherspoon,2000,Regular_Season,Free throws,2.8
420,Travis Best,2000,Regular_Season,Free throws,2.43
421,Metta World Peace,2000,Regular_Season,Free throws,2.76
422,Glen Rice,2000,Regular_Season,Free throws,2.07
423,Johnny Newman,2000,Regular_Season,Free throws,3.1
424,Lorenzen Wright,2000,Regular_Season,Free throws,2.18
425,Aaron McKie,2000,Regular_Season,Free throws,1.96
426,Eric Piatkowski,2000,Regular_Season,Free throws,1.95
427,Chris Gatling,2000,Regular_Season,Free throws,2.11
428,Aaron Williams,2000,Regular_Season,Free throws,2.98
429,Lindsey Hunter,2000,Regular_Season,Free throws,0.94
430,Austin Croshere,2000,Regular_Season,Free throws,2.47
431,Alvin Williams,2000,Regular_Season,Free throws,1.33
432,Kurt Thomas,2000,Regular_Season,Free throws,2.22
433,Anthony Peeler,2000,Regular_Season,Free throws,1.0
434,Rick Fox,2000,Regular_Season,Free throws,1.16
435,LaPhonso Ellis,2000,Regular_Season,Free throws,2.06
436,Alan Henderson,2000,Regular_Season,Free throws,2.37
437,Darius Miles,2000,Regular_Season,Free throws,1.53
438,Patrick Ewing,2000,Regular_Season,Free throws,2.18
439,Bryant Stith,2000,Regular_Season,Free throws,2.24
440,Dikembe Mutombo,2000,Regular_Season,Free throws,2.81
441,Charles Oakley,2000,Regular_Season,Free throws,1.63
442,Morris Peterson,2000,Regular_Season,Free throws,1.3
443,Antonio Daniels,2000,Regular_Season,Free throws,1.53
444,Howard Eisley,2000,Regular_Season,Free throws,1.27
445,George McCloud,2000,Regular_Season,Free throws,2.0
446,Tyrone Hill,2000,Regular_Season,Free throws,2.26
447,Christian Laettner,2000,Regular_Season,Free throws,2.18
448,Kevin Willis,2000,Regular_Season,Free throws,1.45
449,Jason Williams,2000,Regular_Season,Free throws,0.78
450,Chauncey Billups,2000,Regular_Season,Free throws,1.87
451,Shandon Anderson,2000,Regular_Season,Free throws,1.68
452,Michael Olowokandi,2000,Regular_Season,Free throws,1.04
453,John Starks,2000,Regular_Season,Free throws,1.19
454,George Lynch,2000,Regular_Season,Free throws,1.5
455,Lucious Harris,2000,Regular_Season,Free throws,1.47
456,Marcus Fizer,2000,Regular_Season,Free throws,1.62
457,P.J. Brown,2000,Regular_Season,Free throws,2.22
458,Fred Hoiberg,2000,Regular_Season,Free throws,1.84
459,James Posey,2000,Regular_Season,Free throws,1.4
460,Othella Harrington,2000,Regular_Season,Free throws,2.31
461,Horace Grant,2000,Regular_Season,Free throws,1.7
462,John Amaechi,2000,Regular_Season,Free throws,2.15
463,Keon Clark,2000,Regular_Season,Free throws,1.75
464,Stephen Jackson,2000,Regular_Season,Free throws,1.26
465,Mark Jackson,2000,Regular_Season,Free throws,0.88
466,Pat Garrity,2000,Regular_Season,Free throws,1.12
467,Bruce Bowen,2000,Regular_Season,Free throws,1.2
468,Bryant Reeves,2000,Regular_Season,Free throws,1.51
469,Quentin Richardson,2000,Regular_Season,Free throws,1.3
470,Vitaly Potapenko,2000,Regular_Season,Free throws,1.4
471,Danny Manning,2000,Regular_Season,Free throws,1.24
472,Walt Williams,2000,Regular_Season,Free throws,1.35
473,Al Harrington,2000,Regular_Season,Free throws,1.32
474,Bo Outlaw,2000,Regular_Season,Free throws,1.61
475,Dale Davis,2000,Regular_Season,Free throws,1.19
476,Shawn Bradley,2000,Regular_Season,Free throws,1.71
477,Terry Porter,2000,Regular_Season,Free throws,1.15
478,Bobby Jackson,2000,Regular_Season,Free throws,0.82
479,Felipe Lopez,2000,Regular_Season,Free throws,1.56
480,Moochie Norris,2000,Regular_Season,Free throws,1.84
481,Eric Williams,2000,Regular_Season,Free throws,2.04
