id,lat,lon
59150004004,49.3739,-123.2738
59150004005,49.3746,-123.2757
59150004006,49.3738,-123.2763
59150004011,49.3735,-123.2725
59150004012,49.3725,-123.2729
59150004013,49.3724,-123.2728
59150004014,49.3869,-123.2578
59150004017,49.3848,-123.2601
59150004018,49.3895,-123.2575
59150004019,49.4057,-123.2426
59150005003,49.3717,-123.2792
59150005007,49.3699,-123.2776
59150005015,49.371,-123.2745
59150005016,49.3725,-123.277
59150005017,49.3716,-123.2758
59150006004,49.3708,-123.2818
59150006005,49.3705,-123.2805
59150006006,49.3694,-123.2814
59150006007,49.3699,-123.2826
59150006010,49.3731,-123.2802
59150006011,49.3744,-123.278
59150007002,49.3743,-123.2894
59150007006,49.3744,-123.2871
59150007007,49.3718,-123.2835
59150007008,49.3766,-123.2786
59150007009,49.3769,-123.2814
59150008003,49.3536,-123.2738
59150008006,49.3549,-123.2665
59150008007,49.3549,-123.275
59150008008,49.36,-123.2818
59150008009,49.3649,-123.2842
59150009001,49.3663,-123.2826
59150009002,49.3652,-123.282
59150009003,49.367,-123.2788
59150009008,49.3608,-123.2797
59150009009,49.3592,-123.2832
59150009018,49.3661,-123.2754
59150009019,49.3608,-123.2732
59150009021,49.3626,-123.2763
59150009022,49.3646,-123.2751
59150010001,49.3586,-123.2648
59150010003,49.3568,-123.2631
59150010004,49.356,-123.2662
59150010005,49.3546,-123.268
59150010011,49.361,-123.2745
59150010012,49.3607,-123.2743
59150010013,49.3587,-123.2681
59150010014,49.3615,-123.2636
59150012001,49.3527,-123.2467
59150012005,49.3493,-123.2524
59150012006,49.3478,-123.2511
59150012009,49.3512,-123.2486
59150012010,49.3509,-123.2497
59150012012,49.3515,-123.2486
59150013001,49.3551,-123.2501
59150013002,49.3562,-123.2452
59150013003,49.354,-123.2517
59150014003,49.3595,-123.2002
59150014005,49.3503,-123.202
59150014007,49.3612,-123.2721
59150014010,49.3737,-123.1927
59150014011,49.3832,-123.1902
59150014012,49.3499,-123.2416
59150014013,49.3494,-123.2412
59150014015,49.3613,-123.2713
59150014016,49.3613,-123.2716
59150014017,49.3879,-123.2563
59150014020,49.3782,-123.2258
59150014021,49.3471,-123.1933
59150014022,49.3473,-123.1932
59150014023,49.3481,-123.2277
59150014024,49.3721,-123.2701
59150014025,49.3614,-123.2726
59150015001,49.3477,-123.2306
59150015002,49.345,-123.2257
59150015003,49.3461,-123.2227
59150016003,49.3445,-123.2141
59150016004,49.3425,-123.2119
59150016005,49.3434,-123.2083
59150017003,49.3425,-123.2144
59150017005,49.3406,-123.2177
59150017009,49.3412,-123.2195
59150018001,49.3402,-123.2399
59150018005,49.3413,-123.2096
59150018006,49.3399,-123.2033
59150018007,49.3395,-123.201
59150018008,49.34,-123.2357
59150018009,49.3401,-123.2225
59150018010,49.3386,-123.2024
59150018011,49.3395,-123.239
59150019001,49.3456,-123.2333
59150019002,49.3448,-123.2363
59150019003,49.3419,-123.2337
59150019004,49.3412,-123.2377
59150019005,49.3435,-123.229
59150019006,49.3421,-123.2283
59150019007,49.3448,-123.2304
59150020001,49.3477,-123.241
59150020002,49.3463,-123.2421
59150020003,49.3459,-123.2398
59150021001,49.343,-123.244
59150021005,49.3402,-123.2413
59150021006,49.3407,-123.2429
59150022001,49.3482,-123.2475
59150022002,49.3465,-123.2454
59150022003,49.3461,-123.2475
59150023001,49.345,-123.2507
59150023005,49.341,-123.2506
59150023010,49.3437,-123.2491
59150023011,49.3424,-123.2535
59150024001,49.3415,-123.2653
59150024002,49.3407,-123.2645
59150024005,49.3412,-123.2618
59150024006,49.3398,-123.2598
59150024012,49.3389,-123.2517
59150024015,49.339,-123.2552
59150024016,49.3392,-123.2532
59150024017,49.3401,-123.2546
59150025001,49.3519,-123.2626
59150025004,49.34,-123.2663
59150025007,49.3396,-123.2482
59150025008,49.3496,-123.2675
59150025009,49.3365,-123.2629
59150025010,49.3403,-123.265
59150027004,49.3316,-123.1763
59150027005,49.3346,-123.1864
59150028001,49.3371,-123.1896
59150028012,49.335,-123.1808
59150028013,49.3349,-123.184
59150028014,49.3358,-123.1871
59150028015,49.3364,-123.1897
59150028017,49.3338,-123.1809
59150028018,49.3362,-123.1856
59150028019,49.3343,-123.1808
59150029001,49.338,-123.1895
59150029002,49.338,-123.1872
59150029003,49.3373,-123.1868
59150029005,49.338,-123.1839
59150029006,49.3379,-123.1807
59150029007,49.337,-123.1807
59150029008,49.336,-123.1806
59150029010,49.3369,-123.1838
59150030001,49.3409,-123.1894
59150030004,49.339,-123.1893
59150030005,49.3389,-123.1871
59150030006,49.3399,-123.1871
59150030007,49.3409,-123.1871
59150030008,49.3408,-123.1838
59150030009,49.3399,-123.1839
59150030010,49.3389,-123.1839
59150030011,49.3388,-123.1807
59150030012,49.3398,-123.1806
59150030013,49.34,-123.1894
59150031003,49.3415,-123.1799
59150031004,49.3422,-123.1874
59150031005,49.3421,-123.1894
59150031009,49.3437,-123.1825
59150031010,49.3455,-123.1863
59150032001,49.341,-123.1954
59150032004,49.3381,-123.1968
59150032009,49.3367,-123.1929
59150032010,49.3396,-123.1968
59150032011,49.3398,-123.1915
59150033002,49.3452,-123.1945
59150033003,49.3424,-123.194
59150033004,49.3429,-123.1974
59150033007,49.3472,-123.1908
59150033008,49.3456,-123.1986
59150033009,49.3467,-123.205
59150033010,49.3461,-123.2182
59150033011,49.3465,-123.2194
59150034001,49.3439,-123.2016
59150034002,49.3409,-123.2012
59150034003,49.3418,-123.2061
59150035005,49.3443,-123.1741
59150035008,49.3429,-123.1698
59150035011,49.3458,-123.1771
59150035012,49.345,-123.1761
59150035013,49.3454,-123.179
59150035014,49.344,-123.1735
59150035015,49.348,-123.1838
59150035016,49.3498,-123.1865
59150036001,49.3426,-123.1718
59150036002,49.3416,-123.1725
59150036003,49.3406,-123.1718
59150036004,49.3396,-123.1727
59150036005,49.3406,-123.1759
59150036006,49.3397,-123.1769
59150036007,49.3388,-123.1769
59150037001,49.3414,-123.1693
59150037002,49.3405,-123.1693
59150037003,49.3396,-123.1694
59150037004,49.3387,-123.1694
59150037005,49.3387,-123.1727
59150037006,49.3399,-123.1662
59150037007,49.3398,-123.1673
59150038001,49.3378,-123.1728
59150038002,49.3369,-123.1728
59150038003,49.336,-123.1728
59150038004,49.3351,-123.1729
59150038005,49.3342,-123.1728
59150039001,49.3378,-123.1694
59150039002,49.3369,-123.1694
59150039003,49.336,-123.1694
59150039004,49.3352,-123.1684
59150039005,49.3355,-123.1674
59150039006,49.3373,-123.1673
59150039007,49.3373,-123.166
59150040003,49.3321,-123.1695
59150040004,49.3321,-123.1672
59150040005,49.3331,-123.1672
59150040006,49.3341,-123.1672
59150040009,49.334,-123.1696
59150041004,49.3355,-123.1583
59150041006,49.3365,-123.1621
59150042001,49.3334,-123.1647
59150042002,49.3321,-123.1654
59150042006,49.333,-123.1596
59150042007,49.3341,-123.1596
59150042008,49.3321,-123.1596
59150042011,49.3331,-123.1617
59150043004,49.3301,-123.1613
59150044001,49.3311,-123.1596
59150044002,49.3311,-123.1579
59150044003,49.3301,-123.1579
59150045001,49.3301,-123.1555
59150045002,49.3292,-123.1555
59150045003,49.3284,-123.1554
59150045004,49.3291,-123.1578
59150046001,49.3301,-123.1529
59150046002,49.3292,-123.1529
59150047001,49.3311,-123.1556
59150047002,49.331,-123.1528
59150047003,49.331,-123.1501
59150048002,49.334,-123.1556
59150048003,49.333,-123.1556
59150048004,49.332,-123.1556
59150048005,49.3321,-123.158
59150048006,49.332,-123.1528
59150048007,49.333,-123.1528
59150048010,49.3336,-123.158
59150049001,49.3377,-123.1555
59150049002,49.3368,-123.1556
59150049003,49.3359,-123.1562
59150049004,49.3359,-123.1548
59150049008,49.334,-123.1528
59150049010,49.3368,-123.1528
59150049011,49.3377,-123.1528
59150049012,49.335,-123.1556
59150049013,49.3355,-123.1528
59150050002,49.3359,-123.1501
59150050003,49.335,-123.1501
59150050004,49.334,-123.1501
59150050005,49.334,-123.1473
59150050006,49.335,-123.1473
59150050007,49.3359,-123.1473
59150050008,49.3368,-123.1473
59150050010,49.3374,-123.1491
59150051001,49.333,-123.1501
59150051002,49.332,-123.1501
59150051003,49.3319,-123.1473
59150051004,49.3329,-123.1473
59150051005,49.3334,-123.1452
59150051006,49.3319,-123.1452
59150051009,49.335,-123.1445
59150051010,49.3329,-123.1438
59150052001,49.3377,-123.1445
59150052002,49.3368,-123.1445
59150052003,49.3359,-123.1445
59150052004,49.3369,-123.1421
59150052009,49.3372,-123.1348
59150052010,49.3367,-123.1378
59150052011,49.3379,-123.1377
59150053001,49.333,-123.1423
59150053003,49.3345,-123.1388
59150053004,49.3312,-123.1403
59150053005,49.3332,-123.1415
59150053006,49.334,-123.1403
59150054001,49.3309,-123.1473
59150054002,49.3309,-123.1445
59150054003,49.33,-123.142
59150054005,49.3288,-123.1445
59150054009,49.3268,-123.1358
59150054010,49.3289,-123.1378
59150055001,49.33,-123.1501
59150055002,49.3291,-123.1502
59150055006,49.3279,-123.1476
59150055009,49.33,-123.1474
59150055010,49.3281,-123.1498
59150055011,49.3275,-123.149
59150055013,49.3284,-123.1505
59150055014,49.3289,-123.1474
59150056001,49.3302,-123.1596
59150056002,49.3292,-123.1596
59150056003,49.3282,-123.1596
59150056004,49.3282,-123.1578
59150056006,49.3274,-123.158
59150056007,49.3275,-123.1596
59150056009,49.3276,-123.156
59150056011,49.3282,-123.1529
59150056012,49.327,-123.1533
59150056015,49.3274,-123.1457
59150056016,49.3278,-123.1555
59150056017,49.3273,-123.1556
59150056019,49.3273,-123.1532
59150056020,49.3277,-123.1572
59150056022,49.3278,-123.1583
59150056024,49.3275,-123.153
59150056025,49.3264,-123.1454
59150056026,49.3176,-123.1357
59150056027,49.3241,-123.147
59150059001,49.3305,-123.1335
59150059002,49.3297,-123.1335
59150059009,49.3281,-123.1324
59150059010,49.3284,-123.1285
59150059013,49.3277,-123.1338
59150059014,49.3265,-123.1335
59150062003,49.3295,-123.1228
59150064001,49.3282,-123.1236
59150064002,49.3268,-123.1224
59150064003,49.3273,-123.1228
59150064004,49.3274,-123.1197
59150064005,49.3293,-123.1195
59150064006,49.3264,-123.1195
59150064007,49.3249,-123.1196
59150064008,49.3248,-123.121
59150064009,49.3253,-123.1232
59150067007,49.3218,-123.1155
59150067008,49.3231,-123.1188
59150067009,49.323,-123.1155
59150068004,49.3249,-123.1141
59150068005,49.3249,-123.1168
59150069003,49.3228,-123.1111
59150069004,49.3217,-123.1105
59150069005,49.3248,-123.1119
59150070001,49.321,-123.1158
59150070002,49.321,-123.1148
59150070003,49.321,-123.1137
59150070004,49.321,-123.1127
59150070005,49.32,-123.1143
59150070006,49.3192,-123.1127
59150070007,49.3193,-123.1148
59150070008,49.3193,-123.1158
59150070009,49.3185,-123.1164
59150071001,49.3208,-123.119
59150071002,49.3195,-123.114
59150071003,49.3188,-123.1191
59150071004,49.3184,-123.1133
59150071012,49.3207,-123.1064
59150071013,49.3216,-123.1064
59150071020,49.3184,-123.1101
59150071021,49.3191,-123.1101
59150071023,49.3199,-123.1037
59150071026,49.3188,-123.1065
59150071031,49.3172,-123.116
59150071032,49.3171,-123.111
59150071033,49.3164,-123.1172
59150071034,49.3161,-123.1111
59150071035,49.3138,-123.1141
59150072001,49.3278,-123.1039
59150072002,49.3266,-123.1042
59150072003,49.327,-123.1063
59150072004,49.3249,-123.1053
59150072005,49.326,-123.1028
59150072006,49.3243,-123.1035
59150072007,49.3234,-123.1035
59150072008,49.3225,-123.1036
59150072011,49.3234,-123.1092
59150072012,49.3229,-123.1064
59150073001,49.3292,-123.102
59150073002,49.3277,-123.0997
59150073003,49.3236,-123.0971
59150073004,49.3275,-123.1015
59150073005,49.3261,-123.1013
59150073006,49.3252,-123.1013
59150073007,49.3242,-123.1015
59150074001,49.3252,-123.0963
59150074002,49.3242,-123.0968
59150075003,49.3302,-123.0935
59150075004,49.3302,-123.0926
59150075005,49.329,-123.093
59150075006,49.328,-123.0941
59150075007,49.327,-123.0944
59150075008,49.327,-123.0966
59150075009,49.328,-123.0966
59150075010,49.3261,-123.0962
59150075011,49.3298,-123.096
59150076001,49.3309,-123.0864
59150076002,49.3294,-123.0866
59150076006,49.3322,-123.0892
59150076007,49.328,-123.0912
59150077001,49.3279,-123.0876
59150077002,49.3269,-123.0881
59150077003,49.326,-123.0888
59150077005,49.3247,-123.0894
59150077006,49.3255,-123.0904
59150077007,49.3257,-123.0881
59150077008,49.3266,-123.0866
59150078005,49.3195,-123.0877
59150078007,49.3239,-123.0862
59150078008,49.3194,-123.0909
59150078009,49.3201,-123.0897
59150079001,49.3227,-123.0832
59150079002,49.3217,-123.0832
59150079003,49.3227,-123.0801
59150079004,49.3237,-123.0801
59150080003,49.3185,-123.0821
59150080004,49.3194,-123.0833
59150080005,49.3205,-123.0833
59150081001,49.3216,-123.0801
59150081005,49.3185,-123.0786
59150081006,49.318,-123.0791
59150081007,49.3193,-123.0778
59150081008,49.3198,-123.0762
59150081009,49.3194,-123.0809
59150081010,49.3198,-123.0802
59150081011,49.3205,-123.0802
59150082001,49.3216,-123.077
59150082002,49.3206,-123.0771
59150083001,49.3237,-123.077
59150083002,49.3226,-123.077
59150084001,49.3226,-123.0739
59150084002,49.3216,-123.0739
59150085001,49.3236,-123.0739
59150085002,49.3231,-123.0715
59150086002,49.3246,-123.0707
59150086003,49.3245,-123.075
59150086004,49.3247,-123.0735
59150087001,49.3231,-123.07
59150088001,49.3225,-123.0676
59150089001,49.3236,-123.0676
59150089002,49.3235,-123.0645
59150089003,49.3225,-123.0646
59150090001,49.3257,-123.0676
59150090002,49.3246,-123.0676
59150090003,49.3246,-123.0645
59150090004,49.3256,-123.0645
59150091001,49.3267,-123.0706
59150091002,49.3257,-123.0707
59150092001,49.3278,-123.0738
59150092002,49.3277,-123.0706
59150093001,49.3278,-123.0769
59150093002,49.3268,-123.0738
59150094001,49.3258,-123.0769
59150094002,49.3257,-123.0738
59150094003,49.3247,-123.077
59150095001,49.3289,-123.08
59150095002,49.3279,-123.08
59150095003,49.3268,-123.08
59150095004,49.3258,-123.08
59150095005,49.3247,-123.08
59150096001,49.3309,-123.083
59150096002,49.33,-123.0837
59150096003,49.3292,-123.0829
59150096004,49.3298,-123.0799
59150096005,49.3308,-123.0799
59150096006,49.3308,-123.0768
59150096007,49.3298,-123.0769
59150097001,49.3354,-123.083
59150097002,49.3347,-123.083
59150097003,49.3338,-123.083
59150097004,49.3328,-123.083
59150097007,49.3328,-123.0799
59150097008,49.3337,-123.0799
59150097009,49.3347,-123.0799
59150097010,49.3354,-123.0798
59150098003,49.3318,-123.0863
59150098004,49.3337,-123.0863
59150099001,49.3354,-123.0863
59150099004,49.3339,-123.0898
59150100001,49.3377,-123.0895
59150100002,49.3361,-123.0895
59150100003,49.3361,-123.0863
59150100004,49.3375,-123.0867
59150100005,49.337,-123.0838
59150100006,49.3361,-123.0829
59150100007,49.3379,-123.0838
59150101001,49.3422,-123.0853
59150101002,49.3405,-123.0837
59150101003,49.3388,-123.0822
59150101004,49.3391,-123.0875
59150102002,49.3406,-123.0887
59150102003,49.3404,-123.0899
59150102004,49.3379,-123.092
59150103001,49.345,-123.0902
59150103003,49.3394,-123.096
59150103004,49.337,-123.097
59150103005,49.3399,-123.0968
59150103006,49.3406,-123.0964
59150103008,49.3449,-123.0898
59150104001,49.3466,-123.0914
59150104002,49.3458,-123.0922
59150104003,49.3451,-123.0925
59150104004,49.3444,-123.0923
59150104005,49.3438,-123.0931
59150104006,49.3431,-123.0939
59150104007,49.3425,-123.0944
59150104008,49.342,-123.0954
59150105001,49.3441,-123.0996
59150105002,49.3434,-123.0999
59150105003,49.3425,-123.1001
59150105004,49.3426,-123.0978
59150105005,49.3419,-123.098
59150105006,49.3412,-123.0982
59150105007,49.3417,-123.0998
59150105008,49.3433,-123.0975
59150105009,49.344,-123.0972
59150105010,49.3448,-123.0953
59150106001,49.3506,-123.097
59150106003,49.3421,-123.1037
59150106004,49.3398,-123.1061
59150106005,49.3409,-123.1034
59150106006,49.3404,-123.1008
59150106008,49.3457,-123.0988
59150107001,49.3452,-123.1078
59150107002,49.3442,-123.1051
59150107003,49.3426,-123.1044
59150108001,49.3437,-123.109
59150109001,49.3415,-123.1113
59150109002,49.3402,-123.1122
59150109003,49.3414,-123.1092
59150109004,49.3404,-123.1087
59150109005,49.3397,-123.1085
59150109006,49.3404,-123.107
59150110001,49.3388,-123.1152
59150110004,49.3356,-123.1124
59150110005,49.338,-123.1117
59150111002,49.3342,-123.1144
59150111003,49.3334,-123.111
59150111004,49.3338,-123.1104
59150111007,49.3363,-123.117
