"fromId","mean_score","pop_norm","prox_score","scoreCorrection","eff","eff_ravg","pop.y","lat.y","lon.y"
"59150004004",0.0462351727553044,0.0187033747779751,0.01,0.185545210868349,0.872857477701033,NA,35,49.3739,-123.2738
"59150004005",0.0446922354377655,0.0224333925399645,0.01,0.185545210868349,0.861464320954309,NA,50,49.3746,-123.2757
"59150004006",0.0435925975705015,0.0333747779751332,0.01,0.185545210868349,0.828596134503772,NA,94,49.3738,-123.2763
"59150004011",0.0448697704506874,0.01,0.01,0.185545210868349,0.898641899730701,NA,0,49.3735,-123.2725
"59150004012",0.043469832733726,0.01,0.01,0.185545210868349,0.898416467331136,NA,0,49.3725,-123.2729
"59150004013",0.0379451172098054,0.01,0.01,0.185545210868349,0.897526820697303,NA,0,49.3724,-123.2728
"59150004014",0.0125795822712872,0.01,0.01,0.185545210868349,0.893442200833039,NA,0,49.3869,-123.2578
"59150004017",0.0125795822712872,0.01,0.01,0.185545210868349,0.893442200833039,NA,0,49.3848,-123.2601
"59150004018",0.0129139586202622,0.0569982238010657,0.01,0.178044950537054,0.753160464312921,NA,189,49.3895,-123.2575
"59150004019",0.0128755051732985,0.01,0.01,0.200164259405673,0.893338425986726,NA,0,49.4057,-123.2426
"59150005003",0.0378135508938119,0.0318827708703375,0.01,0.185545210868349,0.832123411677534,NA,88,49.3717,-123.2792
"59150005007",0.0390123465538325,0.0159680284191829,0.01,0.185545210868349,0.879867161641367,NA,24,49.3699,-123.2776
"59150005015",0.0343284098124322,0.01,0.01,0.185545210868349,0.896944421196787,NA,0,49.371,-123.2745
"59150005016",0.0440293555463843,0.0284014209591474,0.01,0.185545210868349,0.843526061878013,NA,74,49.3725,-123.277
"59150005017",0.0424293855901518,0.0888277087033748,0.01,0.185545210868349,0.662724325567616,NA,317,49.3716,-123.2758
"59150006004",0.0372707141372692,0.0172113676731794,0.01,0.185545210868349,0.875871807013729,NA,29,49.3708,-123.2818
"59150006005",0.0394240685701534,0.0124866785079929,0.01,0.185545210868349,0.890335178636305,NA,10,49.3705,-123.2805
"59150006006",0.035294129940065,0.0331261101243339,0.01,0.185545210868349,0.828002809523405,NA,93,49.3694,-123.2814
"59150006007",0.0323711179116603,0.0179573712255773,0.01,0.185545210868349,0.872853884116537,NA,32,49.3699,-123.2826
"59150006010",0.0292190611068716,0.036607460035524,0.01,0.185545210868349,0.816622822055048,NA,107,49.3731,-123.2802
"59150006011",0.0431526528804445,0.0500355239786856,0.01,0.185545210868349,0.778745643128646,NA,161,49.3744,-123.278
"59150007007",0.0317994656778621,0.0368561278863233,0.01,0.185545210868349,0.816295365588687,NA,108,49.3718,-123.2835
"59150007008",0.0295482043774589,0.0463055062166963,0.01,0.185545210868349,0.787699611694866,NA,146,49.3766,-123.2786
"59150008003",0.0283577250405189,0.0279040852575488,0.01,0.185545210868349,0.842488414025531,NA,72,49.3536,-123.2738
"59150008006",0.0337443008161457,0.0634635879218472,0.01,0.185545210868349,0.737109703833034,NA,215,49.3549,-123.2665
"59150008007",0.0340617939203759,0.0149733570159858,0.01,0.185545210868349,0.882041891854443,NA,20,49.3549,-123.275
"59150008008",0.0299905440981037,0.0376021314387211,0.01,0.185545210868349,0.813775134976834,NA,111,49.36,-123.2818
"59150008009",0.0289361205756462,0.0542628774422735,0.01,0.185545210868349,0.763825693887023,NA,178,49.3649,-123.2842
"59150009001",0.0292190611068716,0.0157193605683837,0.01,0.185545210868349,0.879033125689927,NA,23,49.3663,-123.2826
"59150009002",0.0285907110090713,0.0201953818827709,0.01,0.185545210868349,0.865558305787936,NA,41,49.3652,-123.282
"59150009003",0.0360877706415148,0.0527708703374778,0.01,0.185545210868349,0.769435205119772,NA,172,49.367,-123.2788
"59150009008",0.0274475525588916,0.0348667850799289,0.01,0.185545210868349,0.821538414126938,NA,100,49.3608,-123.2797
"59150009009",0.0328194546645003,0.0124866785079929,0.01,0.185545210868349,0.889271635635134,NA,10,49.3592,-123.2832
"59150009018",0.0304388780327456,0.01,0.01,0.185545210868349,0.89631808870238,NA,0,49.3661,-123.2754
"59150009019",0.0258550745746246,0.01,0.01,0.185545210868349,0.89557995742684,NA,0,49.3608,-123.2732
"59150009021",0.0243138102735218,0.0231793960923623,0.01,0.185545210868349,0.855953837489734,NA,53,49.3626,-123.2763
"59150009022",0.0279403843202242,0.01,0.01,0.185545210868349,0.895915755494205,NA,0,49.3646,-123.2751
"59150010001",0.0322025302173573,0.0465541740674956,0.01,0.185545210868349,0.78738405879309,NA,147,49.3586,-123.2648
"59150010003",0.0376180663360332,0.0184547069271758,0.01,0.185545210868349,0.872212842218855,NA,34,49.3568,-123.2631
"59150010004",0.0332071129142936,0.046056838365897,0.01,0.185545210868349,0.78903178666298,NA,145,49.356,-123.2662
"59150010005",0.0322178966568513,0.0174600355239787,0.01,0.185545210868349,0.874315170461275,NA,30,49.3546,-123.268
"59150010011",0.0263457173379383,0.01,0.01,0.185545210868349,0.895658965781371,NA,0,49.361,-123.2745
"59150010012",0.0273706421943008,0.01,0.01,0.185545210868349,0.895824009745073,NA,0,49.3607,-123.2743
"59150010013",0.0386801051950786,0.128117229129663,0.01,0.185545210868349,0.544729768578666,NA,475,49.3587,-123.2681
"59150010014",0.0307497688222512,0.01,0.01,0.185545210868349,0.896368151541485,NA,0,49.3615,-123.2636
"59150012001",0.0312400686799858,0.0502841918294849,0.01,0.208455496204305,0.775531488769813,NA,162,49.3527,-123.2467
"59150012005",0.0334396015826879,0.0189520426287744,0.01,0.185545210868349,0.870054023148804,NA,36,49.3493,-123.2524
"59150012006",0.0330621544370829,0.0880817051509769,0.01,0.185545210868349,0.663444856880038,NA,314,49.3478,-123.2511
"59150012009",0.0327023619406431,0.01,0.01,0.208455496204305,0.896103811039908,NA,0,49.3512,-123.2486
"59150012010",0.0332503754776851,0.01,0.01,0.208455496204305,0.896182359071262,NA,0,49.3509,-123.2497
"59150012012",0.0333167727394444,0.01,0.01,0.208455496204305,0.896191875942372,NA,0,49.3515,-123.2486
"59150013001",0.0282966436397496,0.0378507992895204,0.01,0.208455496204305,0.812258591197948,NA,112,49.3551,-123.2501
"59150013002",0.00408251237311202,0.0502841918294849,0.01,0.208455496204305,0.771638934224889,NA,162,49.3562,-123.2452
"59150013003",0.0331225379054044,0.0313854351687389,0.01,0.185545210868349,0.832853976028832,NA,86,49.354,-123.2517
"59150014007",0.0219977003147526,0.01,0.01,0.185545210868349,0.894958803267704,NA,0,49.3612,-123.2721
"59150014012",0.0322855850584573,0.0137300177619893,0.01,0.208455496204305,0.884899376380244,NA,15,49.3499,-123.2416
"59150014013",0.0321601718994697,0.01,0.01,0.208455496204305,0.896026097703511,NA,0,49.3494,-123.2412
"59150014017",0.0127177522530598,0.01,0.01,0.185545210868349,0.893464450387546,NA,0,49.3879,-123.2563
"59150014023",0.00472836457479736,0.01,0.01,0.223362565236218,0.892049003065623,NA,0,49.3481,-123.2277
"59150014024",0.0265151933940918,0.01,0.01,0.185545210868349,0.895686256562628,NA,0,49.3721,-123.2701
"59150014025",0.0246186960379414,0.01,0.01,0.185545210868349,0.895380863012197,NA,0,49.3614,-123.2726
"59150015001",0.00463411069585226,0.044316163410302,0.01,0.208455496204305,0.789549511396012,NA,138,49.3477,-123.2306
"59150015002",0.0449185751144598,0.0704262877442274,0.01,0.223362565236218,0.716881009452393,NA,243,49.345,-123.2257
"59150015003",0.00476550374738098,0.038348134991119,0.01,0.223362565236218,0.807354273248166,NA,114,49.3461,-123.2227
"59150016003",0.023259273618966,0.0818650088809947,0.01,0.223362565236218,0.679806652022418,NA,289,49.3445,-123.2141
"59150016004",0.0611448069281158,0.0189520426287744,0.01,0.223362565236218,0.872848353442867,NA,36,49.3425,-123.2119
"59150016005",0.0489265453012555,0.0318827708703375,0.01,0.311128517624651,0.830732815028029,NA,88,49.3434,-123.2083
"59150017003",0.0575531006378809,0.0164653641207815,0.01,0.223362565236218,0.879797701939961,NA,26,49.3425,-123.2144
"59150017005",0.0532079714245016,0.0159680284191829,0.01,0.223362565236218,0.880702429337297,NA,24,49.3406,-123.2177
"59150017009",0.0500055824095831,0.072664298401421,0.01,0.223362565236218,0.710874661765496,NA,252,49.3412,-123.2195
"59150018001",0.054928505142982,0.0169626998223801,0.01,0.208455496204305,0.878486100341409,NA,28,49.3402,-123.2399
"59150018005",0.0611448069281158,0.0229307282415631,0.01,0.223362565236218,0.860960676560033,NA,52,49.3413,-123.2096
"59150018006",0.0574895541802805,0.0164653641207815,0.01,0.326434592565452,0.877361023314525,NA,26,49.3399,-123.2033
"59150018007",0.0594207737182203,0.0172113676731794,0.01,0.36382471026091,0.874749908857088,NA,29,49.3395,-123.201
"59150018008",0.0518241195187979,0.0346181172291297,0.01,0.208455496204305,0.825289575495147,NA,99,49.34,-123.2357
"59150018009",0.0611448069281158,0.0286500888099467,0.01,0.223362565236218,0.843872141040959,NA,75,49.3401,-123.2225
"59150018010",0.0594207737182203,0.0567495559502664,0.01,0.340267098425997,0.756953962723288,NA,188,49.3386,-123.2024
"59150018011",0.0489158577457443,0.0209413854351687,0.01,0.208455496204305,0.865736616980529,NA,44,49.3395,-123.239
"59150019001",0.00474014360457985,0.0281527531083481,0.01,0.208455496204305,0.837858396671402,NA,73,49.3456,-123.2333
"59150019002",0.0384121135981502,0.0567495559502664,0.01,0.208455496204305,0.757241999406779,NA,188,49.3448,-123.2363
"59150019003",0.0550218451477898,0.0219360568383659,0.01,0.208455496204305,0.863639882873846,NA,48,49.3419,-123.2337
"59150019004",0.0531960133134814,0.01,0.01,0.208455496204305,0.899041212877246,NA,0,49.3412,-123.2377
"59150019005",0.0393849083931365,0.0689342806394316,0.01,0.222940278072391,0.720608648918443,NA,237,49.3435,-123.229
"59150019006",0.0567840733393586,0.0189520426287744,0.01,0.222940278072391,0.872279421638415,NA,36,49.3421,-123.2283
"59150019007",0.00463411069585226,0.0137300177619893,0.01,0.208455496204305,0.8809360274328,NA,15,49.3448,-123.2304
"59150020001",0.031939393375459,0.0182060390763766,0.01,0.208455496204305,0.871476119442792,NA,33,49.3477,-123.241
"59150020002",0.0318635691041286,0.0557548845470693,0.01,0.208455496204305,0.759275300795132,NA,184,49.3463,-123.2421
"59150020003",0.031939393375459,0.0527708703374778,0.01,0.208455496204305,0.768201926523171,NA,172,49.3459,-123.2398
"59150021001",0.044700572823574,0.0614742451154529,0.01,0.208455496204305,0.744026722325459,NA,207,49.343,-123.244
"59150021005",0.0532776153949331,0.0162166962699822,0.01,0.208455496204305,0.880478413960446,NA,25,49.3402,-123.2413
"59150021006",0.0489158577457443,0.0236767317939609,0.01,0.208455496204305,0.85756383912358,NA,55,49.3407,-123.2429
"59150022001",0.0346276087277965,0.0323801065719361,0.01,0.208455496204305,0.829511578591219,NA,90,49.3482,-123.2475
"59150022002",0.0388247049222388,0.0420781527531083,0.01,0.208455496204305,0.801136945568639,NA,129,49.3465,-123.2454
"59150022003",0.0402434776137208,0.0281527531083481,0.01,0.208455496204305,0.842947170587422,NA,73,49.3461,-123.2475
"59150023001",0.0347373255566135,0.0234280639431616,0.01,0.185545210868349,0.856889359544817,NA,54,49.345,-123.2507
"59150023005",0.0509547003769026,0.0112433392539964,0.01,0.185545210868349,0.895906858835524,NA,5,49.341,-123.2506
"59150023010",0.0449936585045359,0.0303907637655417,0.01,0.208455496204305,0.836941206612354,NA,82,49.3437,-123.2491
"59150023011",0.0387859502474322,0.112699822380107,0.01,0.185545210868349,0.590811560760865,NA,413,49.3424,-123.2535
"59150024001",0.0462833131423723,0.01,0.01,0.185545210868349,0.898869522943515,NA,0,49.3415,-123.2653
"59150024002",0.0460158675270363,0.0137300177619893,0.01,0.185545210868349,0.887681759016463,NA,15,49.3407,-123.2645
"59150024005",0.0448871242004962,0.0313854351687389,0.01,0.185545210868349,0.834748430965117,NA,86,49.3412,-123.2618
"59150024006",0.0460009562947008,0.030639431616341,0.01,0.185545210868349,0.837156731104105,NA,83,49.3398,-123.2598
"59150024012",0.0446732302593962,0.0204440497335702,0.01,0.185545210868349,0.867405098986029,NA,42,49.3389,-123.2517
"59150024015",0.040850242711697,0.01,0.01,0.185545210868349,0.897994633947131,NA,0,49.339,-123.2552
"59150024016",0.0438252376821495,0.0179573712255773,0.01,0.185545210868349,0.874698344533224,NA,32,49.3392,-123.2532
"59150024017",0.0463526432939583,0.0308880994671403,0.01,0.185545210868349,0.836470383564191,NA,84,49.3401,-123.2546
"59150025001",0.0387445551024619,0.0316341030195382,0.01,0.185545210868349,0.83301631137573,NA,87,49.3519,-123.2626
"59150025004",0.0422611253569442,0.0179573712255773,0.01,0.185545210868349,0.874446475046184,NA,32,49.34,-123.2663
"59150025007",0.0433950348090203,0.0269094138543517,0.01,0.208455496204305,0.847113789500971,NA,68,49.3396,-123.2482
"59150025008",0.0397714334711746,0.0811190053285968,0.01,0.185545210868349,0.685328688683875,NA,286,49.3496,-123.2675
"59150025009",0.0375976894853307,0.0395914742451155,0.01,0.185545210868349,0.809056277488285,NA,119,49.3365,-123.2629
"59150025010",0.0420836193669033,0.0142273534635879,0.01,0.185545210868349,0.885562588279869,NA,17,49.3403,-123.265
"59150027004",0.101769725767547,0.137317939609236,0.265428888335578,0.444906987221853,0.912672008515898,NA,512,49.3316,-123.1763
"59150027005",0.0898050885525636,0.0236767317939609,0.188077888397824,0.396543301772181,0.924300135724043,NA,55,49.3346,-123.1864
"59150028001",0.0795914733799383,0.0174600355239787,0.01,0.382444221609426,0.875345185590758,NA,30,49.3371,-123.1896
