"fromId","n_amenities"
"59150105010",19
"59150106001",18
"59150106003",20
"59150106004",22
"59150106005",20
"59150106006",20
"59150106008",19
"59150107001",19
"59150107002",19
"59150107003",19
"59150108001",19
"59150109001",21
"59150109002",21
"59150109003",21
"59150109004",21
"59150109005",21
"59150109006",22
"59150110001",21
"59150110004",23
"59150110005",21
"59150111002",23
"59150111003",23
"59150111004",22
"59150111007",23
"59150112001",20
"59150112002",20
"59150112003",20
"59150112004",20
"59150112005",20
"59150112006",20
"59150112007",20
"59150112008",20
"59150112009",20
"59150112010",20
"59150112012",22
"59150112014",21
"59150112017",22
"59150113002",25
"59150113005",25
"59150114001",24
"59150114002",23
"59150114003",23
"59150114004",23
"59150114005",25
"59150114006",25
"59150114007",25
"59150115001",23
"59150115003",23
"59150115004",25
"59150115005",23
"59150115007",23
"59150116001",23
"59150116002",23
"59150116003",22
"59150116004",22
"59150116005",22
"59150116006",21
"59150116007",23
"59150116008",23
"59150117001",20
"59150117002",20
"59150117003",20
"59150117004",20
"59150117005",20
"59150117006",19
"59150117007",20
"59150117008",20
"59150117009",21
"59150117010",20
"59150117011",20
"59150117012",20
"59150118001",11
"59150118002",12
"59150118003",15
"59150119001",17
"59150119003",17
"59150119004",18
"59150119005",17
"59150120001",18
"59150120002",18
"59150120003",19
"59150121002",19
"59150121004",19
"59150121005",19
"59150121006",18
"59150122001",17
"59150122002",17
"59150122003",16
"59150122004",15
"59150122005",15
"59150123001",14
"59150123003",15
"59150123004",15
"59150123006",14
"59150123007",16
"59150123008",14
"59150124001",16
"59150124002",15
"59150124003",15
"59150124004",15
"59150124005",15
"59150124006",15
"59150124007",15
"59150124008",15
"59150124009",14
"59150124010",14
"59150124011",15
"59150124012",14
"59150125001",15
"59150125002",14
"59150125003",14
"59150125004",15
"59150125005",15
"59150126001",14
"59150126002",14
"59150126003",14
"59150126004",14
"59150126005",14
"59150126006",14
"59150126007",14
"59150126008",14
"59150126009",14
"59150127001",14
"59150127003",14
"59150127004",14
"59150127005",14
"59150127006",14
"59150127007",14
"59150127008",14
"59150129001",15
"59150129002",19
"59150129003",19
"59150129004",19
"59150129005",15
"59150129006",15
"59150129007",15
"59150129008",15
"59150129009",15
"59150130001",14
"59150130002",14
"59150130003",15
"59150131001",14
"59150131002",14
"59150131003",14
"59150131004",14
"59150131005",14
"59150131006",16
"59150132001",14
"59150132002",14
"59150132003",15
"59150132004",16
"59150133001",16
"59150133002",16
"59150133003",16
"59150133004",16
"59150133005",16
"59150133006",16
"59150133007",16
"59150133008",16
"59150133009",16
"59150133010",16
"59150134001",15
"59150134002",14
"59150135001",16
"59150135002",16
"59150135003",16
"59150135004",16
"59150135005",16
"59150135006",16
"59150135007",16
"59150135008",16
"59150135009",16
"59150135010",16
"59150136001",17
"59150136002",17
"59150136003",17
"59150136004",17
"59150136005",19
"59150136006",17
"59150137001",19
"59150137002",17
"59150137003",16
"59150137004",16
"59150137005",16
"59150140001",16
"59150140002",16
"59150140003",16
"59150140004",17
"59150140005",17
"59150141002",19
"59150141003",19
"59150141004",17
"59150141005",17
"59150141006",17
"59150141009",20
"59150141010",17
"59150141011",20
"59150141012",21
"59150142001",16
"59150142002",17
"59150142003",16
"59150142004",16
"59150142005",16
"59150142006",16
"59150142007",17
"59150143001",17
"59150143002",17
"59150143003",17
"59150143004",16
"59150143005",16
"59150145001",16
"59150145003",16
"59150145004",16
"59150145005",16
"59150145006",16
"59150145007",16
"59150145010",16
"59150146001",16
"59150146002",16
"59150146003",16
"59150146004",16
"59150146005",16
"59150147001",16
"59150147002",16
"59150147003",16
"59150147004",16
"59150147005",16
"59150147006",16
"59150148001",16
"59150148002",16
"59150148005",16
"59150148006",16
"59150152002",16
"59150152005",16
"59150153001",16
"59150153002",16
"59150153003",16
"59150153004",16
"59150157001",15
"59150157002",15
"59150157003",15
"59150158001",15
"59150158002",15
"59150159001",15
"59150159002",15
"59150159003",15
"59150159004",15
"59150159005",15
"59150160001",15
"59150160002",15
"59150160003",15
"59150160004",15
"59150161003",15
"59150162003",15
"59150163001",15
"59150163002",15
"59150163003",15
"59150163004",15
"59150164001",15
"59150164002",15
"59150164003",15
"59150164004",15
"59150164005",15
"59150165001",15
"59150166001",15
"59150166002",15
"59150167003",15
"59150174001",18
"59150174002",22
"59150174003",19
"59150174004",20
"59150175004",18
"59150175005",18
"59150175006",17
"59150175007",17
"59150175008",16
"59150176001",16
"59150176003",17
"59150176004",16
"59150176005",16
"59150177001",16
"59150177002",16
"59150177003",16
"59150178001",16
"59150178002",16
"59150178004",16
"59150178005",18
"59150178006",18
"59150178010",18
"59150178011",16
"59150179001",16
"59150179002",16
"59150179003",16
"59150179004",16
"59150180001",16
"59150180002",16
"59150180003",16
"59150180004",16
"59150181001",16
"59150181002",16
"59150181007",16
"59150181008",16
"59150181009",16
"59150181010",16
"59150181012",16
"59150182001",16
"59150182002",16
"59150182003",16
"59150182010",16
"59150182011",16
"59150182012",16
"59150182013",16
"59150182014",16
"59150183001",17
"59150183002",16
"59150183003",17
"59150183004",16
"59150183005",16
"59150183006",16
"59150184001",17
"59150184002",17
"59150185001",17
"59150185002",17
"59150185003",17
"59150185004",17
"59150186001",19
"59150186002",19
"59150187003",19
"59150187006",19
"59150187008",17
"59150188001",21
"59150189003",21
"59150189004",21
"59150190001",21
"59150191001",21
"59150192001",21
"59150192002",20
"59150193001",19
"59150194001",19
"59150195001",17
"59150195002",17
"59150195004",17
"59150195005",16
"59150196001",17
"59150196002",18
"59150197001",18
"59150198001",18
"59150198002",18
"59150199001",17
"59150199002",17
"59150200001",17
"59150200002",17
"59150200005",21
"59150200006",21
"59150200007",22
"59150200010",22
"59150200011",22
"59150200012",23
"59150200013",23
"59150201001",18
"59150201002",17
"59150201003",17
"59150201004",17
"59150202001",17
"59150202002",18
"59150202003",21
"59150202004",22
"59150202005",22
"59150202006",22
"59150202007",22
"59150203001",16
"59150203002",17
"59150203003",17
"59150203004",16
"59150203005",17
"59150203006",18
"59150203007",21
"59150204001",17
"59150204002",17
"59150204003",17
"59150204004",16
"59150204005",16
"59150204006",16
"59150205001",16
"59150205002",16
"59150205003",16
"59150205004",16
"59150205005",16
"59150205006",17
"59150205007",19
"59150205008",17
"59150205009",16
"59150206001",16
"59150206002",16
"59150206003",16
"59150206004",16
"59150206005",16
"59150206006",16
"59150206007",17
"59150206008",18
"59150206009",17
"59150206010",17
"59150206011",19
"59150206012",19
"59150206013",22
"59150206014",16
"59150206015",16
"59150206016",16
"59150207001",17
"59150207002",18
"59150207003",19
"59150207004",22
"59150207005",19
"59150207006",18
"59150208001",20
"59150208002",23
"59150208003",23
"59150208004",23
"59150208005",23
"59150208006",23
"59150208007",23
"59150208008",23
"59150208009",23
"59150209001",23
"59150209002",23
"59150209003",23
"59150209004",23
"59150209005",23
"59150209006",23
"59150210001",23
"59150210002",23
"59150210003",23
"59150210004",23
"59150210005",23
"59150210006",23
"59150210007",23
"59150210008",23
"59150211001",23
"59150212001",23
"59150212002",23
"59150212005",23
"59150212006",23
"59150212007",23
"59150212008",23
"59150213001",22
"59150213002",22
"59150213003",22
"59150213004",23
"59150213005",23
"59150213006",23
"59150213007",23
"59150214001",23
"59150214002",23
"59150219001",28
"59150219008",26
"59150219009",30
"59150219012",25
"59150219013",24
"59150219016",30
"59150219017",23
"59150220001",27
"59150220003",32
"59150220004",28
"59150221001",23
"59150221003",20
"59150221010",23
"59150221012",21
"59150222001",22
"59150222002",22
"59150223002",20
"59150223003",21
"59150223004",20
"59150224001",12
"59150224002",13
"59150225001",14
"59150225003",20
"59150225005",21
"59150226001",11
"59150226002",11
"59150227001",11
"59150227002",11
"59150227003",11
"59150227004",11
"59150227005",11
"59150227006",11
"59150228003",23
"59150228004",13
"59150228005",20
"59150230002",11
"59150230005",8
"59150231002",13
"59150231003",14
"59150231004",12
"59150231007",15
"59150232002",19
"59150232005",8
"59150233003",7
"59150233006",17
"59150233007",17
"59150233008",7
"59150234001",8
"59150234002",7
"59150234003",7
"59150235006",7
"59150236002",8
"59150236003",7
"59150237001",7
"59150238001",6
"59150239001",6
"59150239002",6
"59150240002",6
"59150241001",5
"59150241002",6
"59150241004",6
"59150241005",6
"59150241006",6
"59150241007",4
"59150241008",5
"59150242001",4
"59150242003",6
"59150242004",6
"59150242007",6
"59150242008",5
"59150243002",5
"59150243003",6
"59150243004",4
"59150244005",6
"59150244008",5
"59150244011",4
"59150245002",4
"59150245003",4
"59150246002",4
"59150246003",4
"59150246004",6
"59150249001",6
"59150249002",5
"59150249004",6
"59150249005",5
"59150249006",6
"59150249007",6
"59150249008",6
"59150249009",6
"59150250001",6
"59150250002",6
"59150250005",6
"59150250006",6
"59150250007",6
"59150250009",6
"59150251001",6
"59150251002",6
"59150251003",6
"59150251004",6
"59150252001",6
"59150253006",12
"59150253008",14
"59150253010",13
"59150253013",14
"59150253014",11
"59150253015",14
"59150254005",12
"59150254006",12
"59150254009",12
"59150255005",12
"59150255007",12
"59150255008",12
"59150260001",12
"59150260004",13
"59150260008",12
"59150260009",12
"59150261001",12
"59150261002",12
"59150261003",12
"59150262001",12
"59150262002",13
"59150263001",12
"59150263002",13
"59150264001",15
"59150265001",13
"59150266004",13
"59150267003",16
"59150268001",17
"59150269001",17
"59150269002",18
"59150269003",19
"59150270001",15
"59150270002",19
"59150271002",17
"59150271003",15
"59150271005",17
"59150272001",15
"59150272002",15
"59150272003",15
"59150273001",13
"59150273002",15
"59150274001",15
"59150274002",16
"59150274003",16
"59150274004",13
"59150275001",17
"59150275002",17
"59150275003",17
"59150276001",15
"59150276002",15
"59150276003",16
"59150276004",17
"59150277003",14
"59150277004",15
"59150277005",16
"59150277008",14
"59150277009",14
"59150278004",14
"59150278005",14
"59150278006",14
"59150278010",14
"59150279003",13
"59150279004",12
"59150279005",14
"59150279006",14
"59150280001",14
"59150281003",14
"59150281004",14
"59150282003",21
"59150282004",21
"59150282005",21
"59150282006",19
"59150282009",13
"59150283001",20
"59150283002",21
"59150283003",22
"59150284001",20
"59150284002",18
"59150284003",22
"59150284004",22
"59150284005",22
"59150284006",24
"59150285001",26
"59150285002",22
"59150285003",22
"59150285004",24
"59150286001",32
"59150286002",32
"59150286003",32
"59150286004",27
"59150286005",26
"59150286006",23
"59150286007",24
"59150286008",27
"59150286010",28
"59150286011",33
"59150287001",28
"59150287002",27
"59150288001",25
"59150288002",18
"59150289001",25
"59150289002",25
"59150289003",25
"59150289004",25
"59150290001",25
"59150290002",27
"59150290003",27
"59150290004",27
"59150291001",25
"59150291003",25
"59150291006",25
"59150292001",27
"59150292002",28
"59150292003",27
"59150292004",26
"59150293001",32
"59150293002",31
"59150293003",28
"59150293004",27
"59150294001",32
"59150294002",32
"59150294003",29
"59150294004",30
"59150294005",25
"59150295001",36
"59150295002",34
"59150295003",34
"59150295004",33
"59150296002",26
"59150296003",29
"59150296004",33
"59150296005",36
"59150296006",29
"59150296007",34
"59150297001",37
"59150297002",41
"59150297003",45
"59150297004",56
"59150298001",39
"59150298002",42
"59150298003",36
"59150298004",32
"59150299001",54
"59150299002",58
"59150299003",58
"59150299004",58
"59150299005",52
"59150299006",44
"59150300001",43
"59150300002",51
"59150300003",36
"59150300004",30
"59150301001",55
"59150301002",57
"59150301003",57
"59150301004",61
"59150301005",71
"59150301006",63
"59150302001",36
"59150302002",42
"59150302003",51
"59150302004",58
"59150302005",58
"59150302006",53
"59150303004",36
"59150303005",34
"59150303006",38
"59150303007",32
"59150303008",30
"59150303009",41
"59150304001",63
"59150304002",64
"59150304003",60
"59150304004",58
"59150304005",43
"59150304006",44
"59150304007",50
"59150304008",51
"59150304009",55
"59150304010",63
"59150305001",77
"59150305002",73
"59150305003",71
"59150305004",71
"59150305005",62
"59150305006",71
"59150305007",72
"59150306001",75
"59150306002",75
"59150306005",77
"59150306006",76
"59150307001",78
"59150307005",76
"59150307007",81
"59150307008",84
"59150307009",79
"59150307011",81
"59150307012",89
"59150307013",88
"59150307014",96
"59150307015",91
"59150307016",77
"59150307020",75
"59150307021",81
"59150308001",89
"59150308002",91
"59150308003",92
"59150308004",89
"59150308005",85
"59150308006",83
"59150309001",99
"59150309002",99
"59150309003",105
"59150309004",107
"59150309005",112
"59150309006",112
"59150310001",94
"59150310003",106
"59150310004",94
"59150310005",93
"59150310006",93
"59150310007",106
"59150310008",104
"59150311001",112
"59150311002",103
"59150311003",112
"59150311004",115
"59150312004",108
"59150312005",104
"59150312009",99
"59150312010",100
"59150312011",102
"59150313006",112
"59150313007",102
"59150313010",103
"59150314001",92
"59150314002",98
"59150314003",98
"59150314004",88
"59150314005",88
"59150315002",97
"59150315003",91
"59150315004",88
"59150315005",83
"59150315006",82
"59150315007",99
"59150316001",86
"59150316002",82
"59150316004",85
"59150316005",75
"59150316006",76
"59150316007",82
"59150317001",75
"59150317002",71
"59150317003",70
"59150317004",64
"59150317005",64
"59150318001",72
"59150318002",70
"59150318003",69
"59150318004",64
"59150318005",65
"59150319001",59
"59150319002",57
"59150319003",56
"59150319004",55
"59150320001",61
"59150320002",60
"59150320003",55
"59150320004",57
"59150320005",50
"59150320006",49
"59150321001",43
"59150321002",41
"59150321003",37
"59150321004",37
"59150322001",45
"59150322002",42
"59150322003",40
"59150322004",40
"59150323001",32
"59150323002",32
"59150323003",30
"59150323004",30
"59150323005",30
"59150323006",29
"59150323007",28
"59150323008",28
"59150324001",41
"59150324002",41
"59150324003",31
"59150324004",33
"59150324011",31
"59150324012",30
"59150325001",40
"59150325002",37
"59150325003",33
"59150325004",34
"59150325005",35
"59150326001",62
"59150326002",60
"59150326003",49
"59150326004",54
"59150326005",46
"59150326006",45
"59150327002",98
"59150327007",88
"59150327008",79
"59150327011",81
"59150327015",73
"59150327016",70
"59150327017",70
"59150327018",76
"59150327019",85
"59150327021",78
"59150327022",76
"59150327023",92
"59150327024",91
"59150327025",97
"59150328001",106
"59150328007",100
"59150328012",88
"59150329003",122
"59150329005",126
"59150329010",117
"59150329011",110
"59150329012",120
"59150329013",122
"59150329014",123
"59150329015",118
"59150329016",115
"59150329017",121
"59150330003",124
"59150330004",122
"59150330005",121
"59150330006",124
"59150331001",129
"59150331002",128
"59150331003",131
"59150331004",127
"59150331005",129
"59150331006",125
"59150331007",127
"59150331008",121
"59150332001",129
"59150332002",130
"59150332003",129
"59150332004",129
"59150332005",129
"59150333001",130
"59150333002",129
"59150333003",130
"59150333004",129
"59150333005",131
"59150334001",132
"59150334002",130
"59150334003",129
"59150334004",130
"59150334005",129
"59150334006",129
"59150335001",130
"59150335003",129
"59150335004",129
"59150335005",128
"59150335006",143
"59150336001",134
"59150336002",141
"59150336003",129
"59150336005",158
"59150336007",152
"59150336008",161
"59150337001",157
"59150337002",160
"59150337003",163
"59150337004",163
"59150337005",153
"59150337006",148
"59150338001",145
"59150338002",148
"59150338003",153
"59150338004",144
"59150338005",133
"59150339001",156
"59150339002",154
"59150339003",156
"59150339004",162
"59150339005",162
"59150339006",161
"59150339007",163
"59150339008",163
"59150340001",148
"59150340002",149
"59150340003",135
"59150340004",135
"59150340005",130
"59150341001",174
"59150341002",168
"59150341003",166
"59150341004",161
"59150341005",155
"59150342001",167
"59150342002",162
"59150342003",159
"59150342004",161
"59150342005",162
"59150342006",163
"59150343001",174
"59150343002",168
"59150343003",169
"59150343004",170
"59150343005",173
"59150344001",166
"59150344002",169
"59150344003",169
"59150345001",177
"59150345002",178
"59150345003",175
"59150345004",176
"59150345005",173
"59150345006",174
"59150346001",174
"59150346002",174
"59150346003",174
"59150346004",176
"59150346005",177
"59150347001",178
"59150347002",177
"59150347003",178
"59150347004",175
"59150347005",175
"59150348001",177
"59150348002",177
"59150348003",178
"59150349001",177
"59150349002",177
"59150349003",177
"59150349004",177
"59150350001",177
"59150350002",177
"59150350003",177
"59150350004",177
"59150350005",177
"59150350006",179
"59150350007",180
"59150350008",178
"59150351001",180
"59150351002",178
"59150352001",180
"59150352002",182
"59150352003",180
"59150352004",180
"59150353001",180
"59150353002",178
"59150353003",180
"59150354001",178
"59150354002",180
"59150355001",180
"59150356001",179
"59150356002",181
"59150357001",184
"59150357002",184
"59150357003",181
"59150358001",181
"59150358004",183
"59150358005",181
"59150359001",185
"59150359002",184
"59150360001",183
"59150360003",184
"59150360006",184
"59150361001",185
"59150361002",184
"59150362001",184
"59150362002",184
"59150363001",184
"59150363002",183
"59150363003",181
"59150364001",183
"59150364002",181
"59150365001",180
"59150365002",179
"59150365007",177
"59150365008",173
"59150366001",182
"59150366002",180
"59150366003",180
"59150367001",181
"59150367002",179
"59150367003",178
"59150367004",173
"59150368001",182
"59150368002",182
"59150369001",179
"59150369002",179
"59150369003",181
"59150369004",179
"59150370002",182
"59150370003",181
"59150370004",181
"59150370009",180
"59150370013",180
"59150370015",180
"59150370016",181
"59150370017",181
"59150371001",183
"59150371002",183
"59150371003",181
"59150371004",183
"59150371005",181
"59150372001",184
"59150372002",184
"59150372003",183
"59150372004",183
"59150372005",183
"59150372006",183
"59150372007",183
"59150373001",184
"59150373002",182
"59150373003",182
"59150373004",182
"59150373005",182
"59150373006",181
"59150373007",182
"59150373008",182
"59150373009",180
"59150375001",181
"59150375002",181
"59150375003",179
"59150375004",179
"59150375005",179
"59150375006",179
"59150375007",181
"59150376001",182
"59150376002",181
"59150376003",181
"59150376004",181
"59150377001",178
"59150377002",180
"59150377003",176
"59150377004",177
"59150377005",179
"59150378001",179
"59150378002",179
"59150378003",178
"59150379001",179
"59150379002",178
"59150379003",175
"59150379004",173
"59150379005",175
"59150379006",178
"59150380001",173
"59150380002",172
"59150380003",172
"59150381001",172
"59150381002",172
"59150381003",172
"59150381004",173
"59150382001",172
"59150382002",172
"59150382003",172
"59150382004",170
"59150383001",170
"59150383002",170
"59150383003",170
"59150383004",169
"59150384001",172
"59150384003",169
"59150384004",170
"59150384005",171
"59150385001",165
"59150385002",160
"59150385003",154
"59150385004",160
"59150386001",168
"59150386002",163
"59150386003",169
"59150386004",146
"59150387001",141
"59150387002",141
"59150387003",141
"59150388003",136
"59150388005",119
"59150388006",114
"59150388009",133
"59150389001",128
"59150389002",125
"59150389003",115
"59150389004",116
"59150389005",114
"59150390001",108
"59150390002",82
"59150390003",102
"59150390004",84
"59150391001",107
"59150391002",100
"59150391003",106
"59150392001",94
"59150392002",89
"59150392003",85
"59150392004",75
"59150392005",81
"59150393001",85
"59150393002",81
"59150393003",69
"59150393004",72
"59150394001",72
"59150394002",63
"59150394003",63
"59150395001",74
"59150395002",73
"59150395003",76
"59150396001",93
"59150396002",88
"59150396003",85
"59150396004",81
"59150397001",105
"59150397002",94
"59150397003",97
"59150398001",115
"59150398002",114
"59150398003",99
"59150399001",121
"59150399002",118
"59150399003",119
"59150400004",126
"59150400005",134
"59150400007",133
"59150400008",134
"59150400009",127
"59150400010",122
"59150401001",134
"59150401002",132
"59150401003",118
"59150401005",123
"59150401006",120
"59150402001",166
"59150402002",163
"59150402003",150
"59150402004",148
"59150402005",137
"59150402006",163
"59150403001",166
"59150403002",161
"59150403003",153
"59150403004",147
"59150403005",133
"59150404001",158
"59150404002",152
"59150404003",140
"59150405001",151
"59150405002",139
"59150405003",133
"59150406001",170
"59150406002",168
"59150406003",167
"59150406004",157
"59150406005",164
"59150406006",170
"59150407001",171
"59150407002",169
"59150407003",172
"59150407004",169
"59150407005",171
"59150408001",173
"59150408002",173
"59150409001",172
"59150409002",169
"59150410002",172
"59150410003",171
"59150410004",181
"59150410005",178
"59150412001",179
"59150412002",179
"59150412003",175
"59150414001",172
"59150414002",172
"59150414003",172
"59150415001",172
"59150415002",172
"59150415003",172
"59150415004",172
"59150415005",170
"59150415006",170
"59150416001",170
"59150416002",169
"59150416003",170
"59150416004",168
"59150416005",170
"59150417001",167
"59150417003",161
"59150417005",165
"59150419001",172
"59150419002",174
"59150419003",171
"59150419004",172
"59150420001",178
"59150420002",172
"59150421001",172
"59150422001",179
"59150422002",177
"59150422003",179
"59150422004",173
"59150422005",171
"59150422006",172
"59150423001",173
"59150423002",171
"59150423003",171
"59150423004",171
"59150423005",166
"59150424001",171
"59150424003",174
"59150424004",173
"59150424006",173
"59150425005",168
"59150425007",167
"59150425008",170
"59150425009",164
"59150426001",181
"59150426004",168
"59150426005",167
"59150426007",170
"59150427001",164
"59150427002",159
"59150427003",164
"59150427004",158
"59150427005",161
"59150427006",150
"59150428003",144
"59150428004",141
"59150428005",137
"59150428006",136
"59150428007",131
"59150429001",157
"59150429002",154
"59150429003",146
"59150429004",132
"59150430002",157
"59150430003",138
"59150430004",140
"59150430006",145
"59150431002",131
"59150431003",131
"59150431004",129
"59150431005",123
"59150431006",125
"59150431009",130
"59150432002",131
"59150432003",123
"59150432004",124
"59150432005",163
"59150432006",138
"59150433001",139
"59150433002",137
"59150433003",137
"59150433004",130
"59150434001",131
"59150434002",119
"59150434003",114
"59150435001",136
"59150435002",136
"59150435003",136
"59150436001",120
"59150436002",122
"59150436003",120
"59150436004",97
"59150437001",136
"59150437003",126
"59150437004",123
"59150437005",122
"59150437006",135
