"","subdiv","mean_score_nearest_amenity","sd_score_nearest_amenity","mean_time_nearest_amenity","sd_time_nearest_amenity","mean_time_all_amenity","sd_time_all_amenity"
"1","Burnaby",0.0888254257638519,0.0284355247459239,21.2206834222704,8.82036565953366,65.4410552323346,6.96538836072132
"2","Coquitlam",0.0736178321600486,0.0259646109205733,25.6769807876231,9.4659974777855,82.6568326629269,7.29474507944387
"3","Delta",0.0505347661757578,0.0193019673112779,30.2088584817518,12.6130467814853,91.5704516419165,8.06776128426772
"4","Langley",0.0739380055052559,0.0325479146912975,24.5772803548387,11.9118934457907,97.9638061661014,6.06855484549289
