fromId,type,avg_time,toId,sd_time,time_group
59150004004,gallery,35.7692307692308,3569,1.89821992045094,30-45
59150004004,library or archives,35.7179487179487,9567,1.71600389443672,30-45
59150004004,museum,38.5384615384615,9570,1.41134787845099,30-45
59150004004,theatre/performance and concert hall,48.2307692307692,7239,2.60021799148434,45-60
59150004005,gallery,37.9230769230769,3569,1.59579406705672,30-45
59150004005,library or archives,37.5384615384615,9567,1.5191090506255,30-45
59150004005,museum,40.3589743589744,9570,1.44162151918886,30-45
59150004005,theatre/performance and concert hall,50.7948717948718,7239,2.2145391249112,45-60
59150004006,gallery,38.9230769230769,3569,1.51109258806884,30-45
59150004006,library or archives,38.5128205128205,9567,1.53677370302364,30-45
59150004006,museum,41.3589743589744,9570,1.44162151918886,30-45
59150004006,theatre/performance and concert hall,51.5128205128205,7239,2.13827026591459,45-60
59150004011,gallery,36.7948717948718,3569,1.83789764303913,30-45
59150004011,library or archives,36.7179487179487,9567,1.71600389443672,30-45
59150004011,museum,39.5384615384615,9570,1.41134787845099,30-45
59150004011,theatre/performance and concert hall,49.2051282051282,7239,2.59736189217451,45-60
59150004012,gallery,38.4871794871795,3569,1.652299750934,30-45
59150004012,library or archives,38.5641025641026,9567,1.66693655034857,30-45
59150004012,museum,41.3846153846154,9570,1.31019051678884,30-45
59150004012,theatre/performance and concert hall,50.8974358974359,7239,2.34851433211534,45-60
59150004013,gallery,43.7435897435897,3569,1.18583634084154,30-45
59150004013,library or archives,44.3333333333333,9567,1.75219161012616,45-60
59150004013,museum,47.0512820512821,9570,1.70059924343586,45-60
59150004013,theatre/performance and concert hall,56,7239,1.86378223259219,45-60
59150004014,gallery,73.2424242424242,3569,8.55873202871745,45-60
59150004014,library or archives,72,9567,7.49583217528247,45-60
59150004014,museum,75.1818181818182,9570,7.26057222888865,45-60
59150004014,theatre/performance and concert hall,86,7239,7.52201071265458,45-60
59150004017,gallery,73.2424242424242,3569,8.55873202871745,45-60
59150004017,library or archives,72,9567,7.49583217528247,45-60
59150004017,museum,75.1818181818182,9570,7.26057222888865,45-60
59150004017,theatre/performance and concert hall,86,7239,7.52201071265458,45-60
59150004018,gallery,73.4242424242424,3569,8.21595362324995,45-60
59150004018,library or archives,72.1818181818182,9567,7.0287558707718,45-60
59150004018,museum,75.3636363636364,9570,6.74452640024756,45-60
59150004018,theatre/performance and concert hall,86.1875,7239,7.36354358943766,45-60
