"DBUID","score","norm_score"
"59150902002",1.8629381409202,0.782236534129073
"59153156001",1.86269917716407,0.7821361564871
"59150969007",1.86256168103829,0.782078400712291
"59150587004",1.86191607985467,0.781807213459808
"59150469002",1.86176135446343,0.781742220465988
"59150302004",1.86087074014057,0.781368114504961
"59153586023",1.86051023161169,0.781216681515177
"59150688002",1.86029646331639,0.781126887323129
"59150328001",1.8592377432148,0.780682167885209
"59150785006",1.85819616232598,0.780244647839332
"59150565003",1.85749634569818,0.779950687181655
"59150708005",1.8569846678145,0.779735754924789
"59150382001",1.85663266633294,0.779587895352849
"59150585001",1.85632008156048,0.779456592920693
"59150649006",1.85581420128767,0.779244095972504
"59153331007",1.85249607212404,0.777850303095268
"59150704004",1.85138154313942,0.777382140922056
"59153333003",1.85136787087933,0.777376397836785
"59153252006",1.85115081532773,0.77728522282012
"59153834005",1.85109067309673,0.777259959845399
"59150294002",1.85052335491909,0.777021655669723
"59150672012",1.85009621949478,0.776842235797062
"59150693004",1.84931316889567,0.776513312390609
"59150960005",1.84885843577587,0.77632230000014
"59150558003",1.84803205166308,0.775975174185123
"59153146010",1.8477393579297,0.775852227060197
"59150832003",1.84762159668638,0.77580276099843
"59150822001",1.84675619043591,0.775439243784861
"59150320001",1.84673097117684,0.775428650338398
"59150538013",1.84571188226868,0.775000578135232
"59153188005",1.84492508186917,0.774670079610741
"59153155006",1.84478343399503,0.774610579878116
"59153152005",1.84289009064785,0.773815273745857
"59150676004",1.84277990131461,0.773768988293955
"59150689001",1.84277075162062,0.773765144929911
"59150916003",1.84221848731047,0.773533164188997
"59153153001",1.84194686580636,0.773419068534767
"59153691002",1.84143120004118,0.773202461152986
"59153085001",1.84101176355099,0.773026275247122
"59150040009",1.84023236724929,0.772698886842306
"59150980005",1.84013588928608,0.772658360903952
"59150029001",1.83888788413959,0.772134131557188
"59150611005",1.83809486240132,0.771801019735497
"59150703002",1.83611900405523,0.770971052861576
"59153678001",1.83604483669614,0.770939898578023
"59150306001",1.83545124008835,0.770690556047013
"59153255005",1.83533229343493,0.770640592049187
"59150675005",1.83470553505776,0.7703773197898
"59150785017",1.83351409554986,0.769876851056403
"59150963004",1.83334447085034,0.769805599551013
"59150676001",1.83332952395169,0.769799321048927
"59150734002",1.83303445496353,0.769675376189126
"59153202001",1.83235581679211,0.76939031162325
"59150045004",1.83229853832958,0.769366251585452
"59150350002",1.8320394238735,0.769257409564704
"59150737005",1.83072103813442,0.768703616580176
"59150674002",1.82969163091161,0.768271210129379
"59150666013",1.8293399009794,0.768123464622786
"59150021006",1.82932479336665,0.768117118612127
"59150649002",1.82891304700994,0.767944162976311
"59150911013",1.82729665082971,0.767265189563374
"59153197017",1.82646077152814,0.766914075257902
"59150965005",1.82586146613039,0.766662334727775
"59150832001",1.82572558713377,0.766605258234273
"59153692002",1.82566396065426,0.766579371795273
"59150666003",1.82523399753413,0.766398764138138
"59153203002",1.82338201693902,0.765620832588473
"59153141003",1.82325633849356,0.765568040875593
"59150725003",1.82277128195488,0.765364291016765
"59153249001",1.82269440646584,0.765331999172846
"59150639002",1.82183458998525,0.764970829963549
"59150887002",1.82147873740681,0.764821352723597
"59150632016",1.82144396601939,0.764806746868993
"59150746008",1.82088958653946,0.7645738776429
"59150903004",1.82060992025349,0.76445640274721
"59153210004",1.81926109603684,0.763889823963471
"59150979007",1.81894196687745,0.763755772536495
"59150029006",1.81867947264063,0.763645510825889
"59150975005",1.81853920075426,0.763586589082203
"59150700006",1.81839891095109,0.763527659812496
