DAUID,DBPOP,lat,lon
59150036,93,49.3397,-123.1769
59150036,85,49.3388,-123.1769
59150037,39,49.3414,-123.1693
59150037,45,49.3405,-123.1693
59150037,54,49.3396,-123.1694
59150037,68,49.3387,-123.1694
59150037,80,49.3387,-123.1727
59150037,125,49.3399,-123.1662
59150037,37,49.3398,-123.1673
59150038,88,49.3378,-123.1728
59150038,82,49.3369,-123.1728
59150038,88,49.336000000000006,-123.1728
59150038,85,49.3351,-123.1729
59150038,71,49.3342,-123.1728
59150039,54,49.3378,-123.1694
59150039,70,49.3369,-123.1694
59150039,68,49.336000000000006,-123.1694
59150039,10,49.3352,-123.1684
59150039,61,49.3355,-123.1674
59150039,65,49.3373,-123.1673
59150039,53,49.3373,-123.166
59150040,0,49.3321,-123.1695
59150040,37,49.3321,-123.1672
59150040,33,49.3331,-123.1672
59150040,18,49.3341,-123.1672
59150040,317,49.333999999999996,-123.1696
59150041,111,49.3355,-123.1583
59150041,341,49.3365,-123.1621
59150042,117,49.3334,-123.1647
59150042,42,49.3321,-123.1654
59150042,25,49.333,-123.1596
59150042,25,49.3341,-123.1596
59150042,21,49.3321,-123.1596
59150042,152,49.3331,-123.1617
59150043,535,49.3301,-123.1613
59150044,0,49.3311,-123.1596
59150044,142,49.3311,-123.1579
59150044,346,49.3301,-123.1579
59150045,286,49.3301,-123.1555
59150045,141,49.3292,-123.1555
59150045,10,49.3284,-123.1554
59150045,168,49.3291,-123.1578
59150046,49,49.3301,-123.1529
59150046,413,49.3292,-123.1529
59150047,284,49.3311,-123.1556
59150047,63,49.331,-123.1528
59150047,79,49.331,-123.1501
59150048,67,49.333999999999996,-123.1556
59150048,50,49.333,-123.1556
59150048,54,49.332,-123.1556
59150048,38,49.3321,-123.15799999999999
59150048,58,49.332,-123.1528
59150048,74,49.333,-123.1528
59150048,88,49.3336,-123.15799999999999
59150049,62,49.3377,-123.1555
59150049,69,49.3368,-123.1556
59150049,34,49.3359,-123.1562
59150049,32,49.3359,-123.1548
59150049,59,49.333999999999996,-123.1528
59150049,52,49.3368,-123.1528
59150049,50,49.3377,-123.1528
59150049,60,49.335,-123.1556
59150049,86,49.3355,-123.1528
59150050,63,49.3359,-123.1501
59150050,53,49.335,-123.1501
59150050,46,49.333999999999996,-123.1501
59150050,53,49.333999999999996,-123.1473
59150050,64,49.335,-123.1473
59150050,90,49.3359,-123.1473
59150050,72,49.3368,-123.1473
59150050,51,49.3374,-123.1491
59150051,61,49.333,-123.1501
59150051,62,49.332,-123.1501
59150051,64,49.3319,-123.1473
59150051,49,49.3329,-123.1473
59150051,47,49.3334,-123.1452
59150051,30,49.3319,-123.1452
59150051,68,49.335,-123.1445
59150051,87,49.3329,-123.1438
59150052,71,49.3377,-123.1445
59150052,54,49.3368,-123.1445
59150052,67,49.3359,-123.1445
59150052,55,49.3369,-123.1421
59150052,0,49.3372,-123.1348
59150052,344,49.3367,-123.1378
59150052,0,49.3379,-123.1377
59150053,87,49.333,-123.1423
59150053,220,49.3345,-123.1388
59150053,81,49.3312,-123.1403
59150053,10,49.3332,-123.1415
59150053,173,49.333999999999996,-123.1403
59150054,53,49.3309,-123.1473
59150054,37,49.3309,-123.1445
59150054,134,49.33,-123.14200000000001
59150054,73,49.3288,-123.1445
59150054,0,49.3268,-123.1358
59150054,256,49.3289,-123.1378
59150055,86,49.33,-123.1501
59150055,86,49.3291,-123.1502
59150055,66,49.3279,-123.1476
59150055,87,49.33,-123.1474
59150055,16,49.3281,-123.1498
59150055,68,49.3275,-123.149
59150055,47,49.3284,-123.1505
59150055,93,49.3289,-123.1474
59150056,112,49.3302,-123.1596
59150056,53,49.3292,-123.1596
59150056,5,49.3282,-123.1596
59150056,10,49.3282,-123.1578
59150056,0,49.3274,-123.15799999999999
59150056,0,49.3275,-123.1596
59150056,0,49.3276,-123.156
59150056,238,49.3282,-123.1529
59150056,0,49.327,-123.1533
59150056,61,49.3274,-123.1457
59150056,39,49.3278,-123.1555
59150056,0,49.3273,-123.1556
59150056,0,49.3273,-123.1532
59150056,10,49.3277,-123.1572
59150056,0,49.3278,-123.1583
59150056,0,49.3275,-123.15299999999999
59150056,0,49.3264,-123.1454
59150056,0,49.3176,-123.1357
59150056,5,49.3241,-123.147
59150059,45,49.3305,-123.1335
59150059,47,49.3297,-123.1335
59150059,52,49.3281,-123.1324
59150059,644,49.3284,-123.1285
59150059,30,49.3277,-123.1338
59150059,363,49.3265,-123.1335
59150062,"1,046",49.3295,-123.1228
59150064,15,49.3282,-123.1236
59150064,74,49.3268,-123.1224
59150064,0,49.3273,-123.1228
59150064,0,49.3274,-123.1197
59150064,191,49.3293,-123.1195
59150064,0,49.3264,-123.1195
59150064,125,49.3249,-123.1196
59150064,30,49.3248,-123.12100000000001
59150064,0,49.3253,-123.1232
59150067,80,49.3218,-123.1155
59150067,0,49.3231,-123.1188
59150067,305,49.323,-123.1155
59150068,108,49.3249,-123.1141
59150068,315,49.3249,-123.1168
59150069,256,49.3228,-123.1111
59150069,84,49.3217,-123.1105
59150069,237,49.3248,-123.1119
59150070,23,49.321000000000005,-123.1158
59150070,23,49.321000000000005,-123.1148
59150070,19,49.321000000000005,-123.1137
59150070,20,49.321000000000005,-123.1127
59150070,245,49.32,-123.1143
59150070,19,49.3192,-123.1127
59150070,22,49.3193,-123.1148
59150070,29,49.3193,-123.1158
59150070,35,49.3185,-123.1164
59150071,37,49.3208,-123.119
59150071,298,49.3195,-123.11399999999999
59150071,37,49.3188,-123.1191
59150071,35,49.3184,-123.1133
59150071,5,49.3207,-123.1064
59150071,0,49.3216,-123.1064
59150071,30,49.3184,-123.1101
59150071,24,49.3191,-123.1101
59150071,0,49.3199,-123.1037
59150071,0,49.3188,-123.1065
59150071,0,49.3172,-123.116
59150071,5,49.3171,-123.111
59150071,0,49.3164,-123.1172
59150071,0,49.3161,-123.1111
59150071,0,49.3138,-123.1141
59150072,51,49.3278,-123.1039
59150072,160,49.3266,-123.1042
59150072,102,49.327,-123.1063
59150072,375,49.3249,-123.1053
59150072,20,49.326,-123.1028
59150072,50,49.3243,-123.1035
59150072,5,49.3234,-123.1035
59150072,0,49.3225,-123.1036
59150072,95,49.3234,-123.1092
59150072,170,49.3229,-123.1064
59150073,5,49.3292,-123.102
59150073,176,49.3277,-123.0997
59150073,435,49.3236,-123.0971
59150073,61,49.3275,-123.1015
59150073,31,49.3261,-123.1013
59150073,38,49.3252,-123.1013
59150073,260,49.3242,-123.1015
59150074,512,49.3252,-123.0963
59150074,233,49.3242,-123.0968
59150075,29,49.3302,-123.0935
59150075,45,49.3302,-123.0926
59150075,40,49.32899999999999,-123.09299999999999
59150075,70,49.328,-123.0941
59150075,59,49.327,-123.0944
59150075,54,49.327,-123.0966
59150075,67,49.328,-123.0966
59150075,44,49.3261,-123.0962
59150075,0,49.3298,-123.096
59150076,106,49.3309,-123.0864
59150076,179,49.3294,-123.0866
59150076,0,49.3322,-123.0892
59150076,239,49.328,-123.0912
59150077,120,49.3279,-123.0876
59150077,77,49.3269,-123.0881
59150077,31,49.326,-123.0888
59150077,52,49.3247,-123.0894
59150077,79,49.3255,-123.0904
59150077,27,49.3257,-123.0881
59150077,20,49.3266,-123.0866
59150078,73,49.3195,-123.0877
59150078,570,49.3239,-123.0862
59150078,0,49.3194,-123.0909
