id,lat,lon,type,name,city,city_id
2241,49.337232,-123.102372,library or archives,Capilano,North Vancouver,5915046
2243,49.31615035,-123.0202274,theatre/performance and concert hall,Capilano College Performing Arts Theatre,North Vancouver,5915046
2244,49.317592,-123.0210051,library or archives,Capilano University Archives,North Vancouver,5915046
2256,..,..,library or archives,Cariboo Regional District Library System,Bowen Island,5915062
2292,49.281052,-123.1001272,theatre/performance and concert hall,Carnegie Centre Theatre,Vancouver,5915022
2330,49.2687198,-123.0980394,gallery,Catriona Jeffries Gallery,Vancouver,5915022
2335,49.279079,-123.114496,theatre/performance and concert hall,Cbc Studio 700,Vancouver,5915022
2355,49.33075439,-123.0715514,theatre/performance and concert hall,Centennial Theatre,North Vancouver,5915051
2359,49.2797,-123.1156,library or archives,Central Branch,Vancouver,5915022
2377,49.280067,-123.098181,museum,Centre A - Centre For Contemporary Asian Art,Vancouver,5915022
2574,49.2657529,-123.1384021,gallery,Chali-Rosso Gallery,Vancouver,5915022
2581,49.2191,-123.0402,library or archives,Champlain Heights,Vancouver,5915022
2586,49.269523,-123.255108,theatre/performance and concert hall,Chan Centre For the Performing Art - Concert Hall,Greater Vancouver A,5915020
2592,49.2821671,-123.0953265,theatre/performance and concert hall,Chapel Arts,Vancouver,5915022
2610,49.270485,-123.132876,gallery,Charles H. Scott Gallery,Vancouver,5915022
2644,49.2797742,-123.1023264,museum,Chinese Canadian Military Museum,Vancouver,5915022
2646,49.279894,-123.102448,museum,Chinese Cultural Centre Museum And Archives,Vancouver,5915022
2692,49.280474,-123.106621,theatre/performance and concert hall,Cineplex Odeon International Village Cinemas,Vancouver,5915022
2694,49.272369,-123.135541,gallery,Circle Craft Co-Operative Shop & Gallery,Vancouver,5915022
2713,49.19131,-122.849808,library or archives,City Centre,Surrey,5915004
2714,49.284268,-122.79557,library or archives,City Centre Branch,Coquitlam,5915034
2721,49.1641205,-123.1411334,library or archives,City of Richmond Archives,Richmond,5915015
2725,49.276084,-123.142663,museum,City of Vancouver Archives,Vancouver,5915022
2729,49.31386319,-123.076908,miscellaneous,Cityscape Community Art Space,North Vancouver,5915051
2769,49.107276,-122.760497,library or archives,Cloverdale,Surrey,5915004
2781,49.2843539,-123.109198,gallery,Coastal Peoples Fine Arts Gallery Gastown,Vancouver,5915022
2782,49.2762084,-123.119591,gallery,Coastal Peoples Fine Arts Gallery Yaletown,Vancouver,5915022
2800,49.2064788,-123.1423354,museum,Colbourne House/ Marpole Museum,Vancouver,5915022
2823,49.2362,-123.0426,library or archives,Collingwood,Vancouver,5915022
2879,49.2385727,-122.8619326,museum,Coquitlam Heritage Society Operating Mackin House,Coquitlam,5915034
2880,49.25344945,-122.8457007,library or archives,Coquitlam Public Library,Coquitlam,5915034
2945,49.269837,-123.13479,gallery,Craft Council of British Columbia Gallery,Vancouver,5915022
3023,49.20545725,-122.9422878,artist,Cynthia Jennifer Smith,New Westminster,5915029
3060,49.20940208,-122.914006,artist,David M. Adams,New Westminster,5915029
3061,49.21288017,-122.899074,artist,David Mcfarland,New Westminster,5915029
3078,49.19867539,-122.9205677,artist,Dee Spencer Native Art,New Westminster,5915029
3079,49.3269993,-122.9501363,heritage or historic site,Deep Cove Heritage Society,North Vancouver,5915046
3080,49.32698715,-122.9500893,theatre/performance and concert hall,Deep Cove Shaw Theatre,North Vancouver,5915046
3094,49.06830874,-122.6597014,theatre/performance and concert hall,Delphi Custom Theatres Inc,Langley,5915001
3096,49.09240685,-123.0868134,museum,Delta Museum And Archives Society,Delta,5915011
3135,49.282364,-123.108528,theatre/performance and concert hall,Djavad Mowafaghian Cinema,Vancouver,5915022
3140,49.2683622,-123.0692806,gallery,Doctor Vigari Gallery,Vancouver,5915022
3143,49.21222676,-122.9205007,artist,Dogma Portraits,New Westminster,5915029
3171,49.2643788,-123.2543722,theatre/performance and concert hall,Dorothy Somerset Studio Theatre,Greater Vancouver A,5915020
3183,49.2648423,-123.1385998,gallery,Douglas Reynolds Gallery,Vancouver,5915022
3184,49.2661804,-123.1399725,gallery,Douglas Udell Gallery,Vancouver,5915022
3202,49.279983,-123.104168,museum,Dr. Sun Yat-Sen Classical Chinese Garden,Vancouver,5915022
3232,49.246,-123.1856,library or archives,Dunbar,Vancouver,5915022
3235,49.2721848,-123.1353489,gallery,Dundarave Print Workshop & Gallery,Vancouver,5915022
3251,49.2653017,-123.1040486,museum,Dynamo Arts Association,Vancouver,5915022
3255,49.2710507,-123.136077,gallery,Eagle Spirit Gallery,Vancouver,5915022
3379,49.21059429,-122.9085843,artist,Eileen Kernaghan,New Westminster,5915029
3395,49.2655257,-123.1385822,gallery,Elissa Cristall Galleries,Vancouver,5915022
3396,49.21423991,-122.9032852,artist,Elizabeth Elwood,New Westminster,5915029
3424,49.2688004,-123.1411548,gallery,Emily Carr Institute of Art + Design 1612 Gallery,Vancouver,5915022
3451,49.267609,-123.09226,gallery,Equinox Gallery,Vancouver,5915022
3492,49.15456337,-122.6289841,artist,Euro Artistic Metals Ltd,Langley,5915001
3506,49.2853872,-122.7909589,gallery,Evergreen Cultural Centre Society,Coquitlam,5915034
3541,49.16790012,-122.6652397,theatre/performance and concert hall,Famous Players Limited Partnership (Theatre),Langley,5915001
3542,49.2784977,-123.1235587,theatre/performance and concert hall,Fanclub,Vancouver,5915022
3543,49.2564138,-122.8937098,artist,Fang-Chih Liao,Burnaby,5915025
3560,49.269582,-123.13225,gallery,Federation Gallery,Vancouver,5915022
3561,49.282402,-123.10859,theatre/performance and concert hall,Fei & Milton Wong Experimental Theatre,Vancouver,5915022
3569,49.32701461,-123.1578963,gallery,Ferry Building Gallery,West Vancouver,5915055
3756,49.2630895,-123.1058083,museum,Field Contemporary,Vancouver,5915022
3762,49.20233668,-122.9086714,gallery,Film2Frame Studio Gallery,New Westminster,5915029
3774,49.282083,-123.097921,theatre/performance and concert hall,Firehall Arts Centre,Vancouver,5915022
3775,49.262674,-123.137671,library or archives,Firehall Branch,Vancouver,5915022
3794,49.155404,-122.779226,library or archives,Fleetwood,Surrey,5915004
3873,49.169014,-122.579297,library or archives,Fort Langley Library,Langley,5915001
3874,49.1674941,-122.5719671,heritage or historic site,Fort Langley National Historic Site of Canada,Langley,5915001
3920,49.2806621,-123.1008605,theatre/performance and concert hall,Fortune Sound Club,Vancouver,5915022
3946,49.2133457,-122.9257951,artist,"Franci Louann, Poet, Mentor, Proofreader",New Westminster,5915029
3969,49.20049735,-122.9100439,art or cultural centre,Fraser River Discovery Centre,New Westminster,5915029
3973,49.2197,-123.0669,library or archives,Fraserview,Vancouver,5915022
3979,49.268215,-123.2572691,theatre/performance and concert hall,Frederic Wood Theatre,Greater Vancouver A,5915020
3987,49.22821217,-122.8960336,artist,Freeflow Scenics Studio,New Westminster,5915029
4023,49.21008247,-122.9341905,gallery,Gabor Gasztonyi Studio & Gallery,New Westminster,5915029
4167,49.2680645,-123.0981191,gallery,Gallery 295,Vancouver,5915022
4177,49.2821,-123.102645,gallery,Gallery Gachet,Vancouver,5915022
4180,49.269727,-123.098623,gallery,Gallery Jones,Vancouver,5915022
4181,49.2689012,-123.1438197,gallery,Gallery Jones,Vancouver,5915022
4183,49.270046,-123.134283,gallery,Gallery of BC Ceramics,Vancouver,5915022
4194,..,..,gallery,Gallery-The Spa Ltd,New Westminster,5915029
4198,49.2813343,-123.101858,gallery,Gam Gallery,Vancouver,5915022
4234,49.156793,-122.912391,library or archives,George Mackie Library,Delta,5915011
4253,49.20580087,-122.9159098,artist,Gillian Wright,New Westminster,5915029
4288,49.276261,-123.144436,museum,Gms Observatory,Vancouver,5915022
4310,49.3387479,-123.0719629,gallery,Gordon Smith Gallery of Canadian Art,North Vancouver,5915046
4368,49.2638926,-123.1386339,museum,Granville Fine Arts,Vancouver,5915022
4369,49.270213,-123.134769,gallery,Granville Island Gallery,Vancouver,5915022
4387,49.2565552,-123.0069167,heritage or historic site,Greater Vancouver Regional District Parks Department,Burnaby,5915025
4431,49.26676,-123.09715,gallery,Grunt Gallery,Vancouver,5915022
4442,49.193243,-122.803609,library or archives,Guildford,Surrey,5915004
4446,49.12474915,-123.1869615,heritage or historic site,Gulf of Georgia Cannery National Historic Site,Richmond,5915015
4448,49.22354832,-122.9164876,artist,Guy Allen,New Westminster,5915029
4454,49.276361,-123.144299,museum,H.R. Macmillan Space Centre,Vancouver,5915022
4528,49.2784569,-123.1184779,gallery,Harrison Galleries,Vancouver,5915022
4537,49.2809,-123.05,library or archives,Hastings,Vancouver,5915022
4541,49.272817,-123.185988,museum,Hastings Mill Store Museum,Vancouver,5915022
4542,49.266025,-123.249913,gallery,Hatch Art Gallery,Greater Vancouver A,5915020
4545,49.273662,-123.069421,gallery,Havana Gallery,Vancouver,5915022
4546,49.2737114,-123.0694828,theatre/performance and concert hall,Havana Theatre,Vancouver,5915022
4583,49.2654685,-123.1389124,gallery,Heffel Gallery Ltd,Vancouver,5915022
4584,49.28073617,-123.0019167,theatre/performance and concert hall,Heidi Zolty,Burnaby,5915025
4590,49.2073735,-122.9027455,miscellaneous,Helmcken House,New Westminster,5915029
4592,49.31728509,-123.0514318,theatre/performance and concert hall,Hendry Hall Theatre,North Vancouver,5915046
4607,49.08889962,-122.6249818,heritage or historic site,Heritage Chiropractic & Laser Therapy,Langley,5915001
4610,49.06475098,-122.8184636,heritage or historic site,Heritage Christian School,Surrey,5915004
4611,49.17229094,-122.6390509,heritage or historic site,Heritage Circle Installations Ltd,Langley,5915001
4614,49.09266268,-122.6209107,heritage or historic site,Heritage Creek Design,Langley,5915001
4619,49.1199896,-122.6557541,heritage or historic site,Heritage Drywall Ltd,Langley,5915001
4620,49.20973569,-122.666899,heritage or historic site,Heritage Electric Ltd,Maple Ridge,5915075
4642,..,..,heritage or historic site,Heritage House Rescue & Restoration,New Westminster,5915029
4644,49.20097994,-122.958166,heritage or historic site,Heritage Life Drawing Society,New Westminster,5915029
