id,lat,lon,type,name,city,city_id
6064,49.28269051,-123.0006236,library or archives,Mcgill Library,Burnaby,5915025
6147,49.20363,-123.1375815,theatre/performance and concert hall,Metro Theatre,Vancouver,5915022
6256,49.26761,-123.0921743,gallery,Monte Clark Gallery,Vancouver,5915022
6316,49.2683878,-123.255944,gallery,Morris And Helen Belkin Art Gallery,Greater Vancouver A,5915020
6347,49.2643,-123.1002,library or archives,Mount Pleasant,Vancouver,5915022
6382,49.12069,-122.656765,library or archives,Muriel Arnason Library,Langley,5915001
6383,49.12040314,-122.6587791,library or archives,Muriel Arnason Library (Willowbrook),Langley,5915001
6388,49.08975896,-122.6119582,library or archives,Murrayville Library,Langley,5915001
6704,49.02169224,-122.8074195,museum,Museum,White Rock,5915007
6705,49.16781256,-122.5751332,museum,Museum Annex,Langley,5915001
6709,49.26946905,-123.2594145,museum,Museum of Anthropology,Greater Vancouver A,5915020
6731,49.25732755,-123.1366058,museum,Museum of Original Costume The,Vancouver,5915022
6734,49.10459322,-122.7322494,museum,Museum of Surrey,Surrey,5915004
6739,49.276365,-123.144897,museum,Museum of Vancouver,Vancouver,5915022
6749,49.20012164,-122.9116263,theatre/performance and concert hall,Music Box Music And Theatre Academy,New Westminster,5915029
6813,49.21776635,-122.964558,museum,National Nikkei Museum - Heritage Centre,Burnaby,5915025
6831,49.25454615,-123.1072302,library or archives,Neca?Mat Ct Strathcona Branch,Vancouver,5915022
6881,49.19835904,-122.9200904,artist,New West Artists Society,New Westminster,5915029
6882,..,..,heritage or historic site,New West Heritage Hall,New Westminster,5915029
6883,49.21477756,-122.8958399,heritage or historic site,New Westminster Historical Society,New Westminster,5915029
6884,..,..,festival site,New Westminster Hyack Festival Association,New Westminster,5915029
6885,49.2078392,-122.9063479,museum,New Westminster Museum & Archives,New Westminster,5915029
6886,49.21167222,-122.9223783,library or archives,New Westminster Public Library,New Westminster,5915029
6888,49.2195661,-122.908408,library or archives,New Westminster Public Library And Archives,New Westminster,5915029
6900,49.129975,-122.838988,library or archives,Newton,Surrey,5915004
6901,49.13323412,-122.8471016,art or cultural centre,Newton Cultural Centre,Surrey,5915004
6954,49.233433,-123.126011,theatre/performance and concert hall,Norman Rothstein Theatre,Vancouver,5915022
6988,49.321066,-123.073542,library or archives,North Vancouver City Library,North Vancouver,5915051
6991,49.3380126,-123.0366339,museum,North Vancouver Museum & Archives,North Vancouver,5915046
7038,49.233625,-123.12042,library or archives,Oakridge Branch,Vancouver,5915022
7046,49.2556543,-123.1351444,library or archives,Oblates of Mary Immaculate St. Paul's Province -Oblate Archives,Vancouver,5915022
7055,49.033003,-122.8656,library or archives,Ocean Park,Surrey,5915004
7077,49.266904,-123.255994,theatre/performance and concert hall,Old Auditorium,Greater Vancouver A,5915020
7108,49.252773,-123.10056,gallery,On Main Gallery,Vancouver,5915022
7138,49.281406,-123.112094,gallery,Or Gallery,Vancouver,5915022
7152,49.2803528,-123.1194108,theatre/performance and concert hall,Orpheum Annex,Vancouver,5915022
7153,49.279881,-123.12051,theatre/performance and concert hall,Orpheum Theatre,Vancouver,5915022
7212,49.2797,-123.1156,library or archives,Outreach Services,Vancouver,5915022
7232,49.278552,-123.12627,theatre/performance and concert hall,Pacific Cinémathèque,Vancouver,5915022
7234,49.2624508,-123.2523425,museum,Pacific Museum of Earth,Greater Vancouver A,5915020
7236,49.2607195,-123.1372216,theatre/performance and concert hall,Pacific Theatre,Vancouver,5915022
