"fromId","avg_time_to_allpoi","sd_time_to_allpoi","avg_sd_time_to_uniquepoi","n_accessible_poi"
"59150947033",73.6324094727238,25.9561297092477,2.84211513084173,371
"59150947037",64.8580650551719,25.2912022105284,3.01245409001359,380
"59150947041",70.0281328756262,25.9470724376358,2.88543007512997,372
"59150947042",69.8548257897186,24.8713807245597,2.91335791617056,372
"59150947043",71.4354691977996,25.3179114601114,3.18618253595204,373
"59150947044",66.3963984091258,24.7871915544384,3.02754846181638,377
"59150947045",74.9257415640206,25.5028747173152,3.05623065222502,368
"59150947046",71.6324742337882,25.594105160066,2.7700482260115,371
"59150947047",65.0780762526011,25.6060432115398,2.9639223603007,379
"59150947048",72.0311872739491,25.5935296427652,2.89696124018701,371
"59150947049",72.8389971966422,25.8741016004588,2.87686125059342,371
"59150947050",69.1023308515598,25.5352956836019,2.93300688698202,372
"59150947051",67.304435354934,25.7264905217267,2.88101439921334,373
"59150947052",70.9517355808205,25.6491913128414,2.86820799795179,371
"59150947053",64.4197347243782,25.7298966451086,3.02434961328038,380
"59150947054",71.5722227821594,25.1122646471908,2.9470012271876,371
"59150947055",71.4965313293666,24.8852535395312,2.8809896680286,371
"59150948001",74.5372944831052,23.6630087677352,5.11468456272317,367
"59150948002",71.3640746544005,23.8761673968083,5.48608579250513,371
"59150948003",68.4845295265081,24.420270973073,4.05742774491669,374
"59150948005",68.9903034497925,24.4082781555814,3.36994601846511,375
"59150948006",68.6859412485415,24.5957824254811,3.11569176474568,374
"59150948010",74.1403204106184,24.4342310570725,5.0295785271497,367
"59150948011",75.0529230174906,24.7427510229584,4.71117460214613,367
"59150948012",68.6728642438123,25.06891047894,3.39230897303642,375
"59150948013",70.1279522471823,24.4557776381567,3.93141376989959,375
"59150948014",69.1563568393667,24.7990927857714,3.62676533053927,374
"59150948015",68.8365458644343,24.596660016222,3.90471460491322,375
"59150952001",73.2918563907655,20.7184777717358,2.76396450872914,369
"59150952002",73.8328455689018,20.7831921820751,2.71486520979775,369
"59150952007",76.1090062475152,20.5903399736696,2.64736023325781,369
"59150953001",65.1717596191635,22.7035418277325,2.86681092239485,380
"59150953002",66.0160107633643,22.6128308086993,3.016122439049,380
"59150953003",68.6418909370241,22.1294466323685,3.00269753864255,378
"59150953004",71.4963215254681,21.2455893375504,2.88972429674139,372
"59150953005",76.3087263639938,20.4631238237181,2.8465644645262,367
"59150953006",76.0391251067458,20.5837676279546,2.83050478617901,368
"59150954001",63.5595488215482,20.6979807455403,2.4001711266383,380
"59150954002",61.8651597744361,22.381920317505,2.95460814661574,380
"59150954003",62.6627398740903,22.004917471372,2.68512548181507,380
"59150954007",64.3542738965543,22.3924698987902,3.05667361395975,379
"59150954008",64.5390692023661,22.3107843460225,3.06941437841651,379
"59150954009",62.5720317703981,22.6259535303779,3.06715752081437,380
"59150954010",65.3949455369192,20.7628172461575,2.46620894001854,380
"59150954011",72.2257496539282,21.199042778298,2.88325701391588,372
"59150955001",61.9195190437065,20.5926796742147,2.51803960179205,380
"59150955002",61.4833652527654,20.4823025699806,2.37333829891529,381
"59150955003",62.944761745596,20.3107024281282,2.34646213242068,380
"59150955004",63.998963418517,19.9567526514374,2.39679586253058,378
"59150955005",64.144218607955,20.6563269928844,2.42475636567429,380
"59150955006",64.775878627951,20.9741021830904,2.49132112344936,380
"59150955007",64.4757321579679,20.4561643917106,2.4203526289622,380
"59150955008",62.75599494695,20.2962142789537,2.39028981476639,380
"59150955009",61.4789436717831,20.6135235258844,2.37786445944155,382
"59150956001",59.4885446781191,22.4743925224116,2.38091608597049,392
"59150956002",60.7666064876928,22.2124897716869,2.36575501632132,391
"59150956003",61.4208722611854,20.606128726763,2.33930968031832,382
"59150956004",62.7608295810687,20.6197269592929,2.41519583772059,382
"59150956005",60.8306149743194,22.0520419076681,2.31343964519187,390
