"fromId","all_destination_scores","nearest1_gallery_scores","nearest1_library_or_archives_scores","nearest1_museum_scores","nearest1_theatre_performance_and_concert_hall_scores","nearest3_gallery_scores","nearest3_library_or_archives_scores","nearest3_museum_scores","nearest3_theatre_performance_and_concert_hall_scores","gallery_scores","library_archives_scores","museum_score","theatre_concert_hall_scores","pop","lat","lon"
"59150004004",0.409541157247884,0.231265733774576,0.217862593615752,0.240111308651512,0.164597507546311,0.156710511068595,0.241647531074837,0.165101418605078,0.167162714750821,0.3174196,0.1823268,0.2466627,0.2278315,"35",49.3739,-123.2738
"59150004005",0.404882648999698,0.232063046157355,0.217357038629971,0.231695434651617,0.164873228689917,0.153962508551266,0.232351356070939,0.164413158102108,0.166221450032139,0.3132408,0.1797885,0.2441511,0.2247247,"50",49.3746,-123.2757
"59150004006",0.404903464256081,0.231325757799422,0.213090784955881,0.227944399885149,0.164599587801799,0.154335347022059,0.232548906635685,0.162863620210944,0.165479532348742,0.3139021,0.1793365,0.2442825,0.2250935,"94",49.3738,-123.2763
"59150004011",0.406174243786535,0.228733790550066,0.2139303749288,0.236166257751861,0.161695630322091,0.154460732691904,0.229201837699272,0.162237534941112,0.164481227367135,0.3142154,0.180683,0.2448156,0.2256868,"0",49.3735,-123.2725
"59150004012",0.403910342232304,0.227863186739562,0.208507575348356,0.23387596529854,0.161626046782217,0.152940854368933,0.22857020371615,0.162071905635942,0.164657500690463,0.3124845,0.1792518,0.2434835,0.2241197,"0",49.3725,-123.2729
"59150004013",0.399019871701204,0.22899323067633,0.186316597880571,0.198495275499515,0.159617341442516,0.180218634366264,0.234092786436381,0.193065723790352,0.168990761981159,0.3113742,0.1713132,0.2409194,0.2205706,"0",49.3724,-123.2728
"59150004014",0.189308992592833,0.0632577335950887,0.0606421141403444,0.0635448166012252,0.0375899400735683,0.0949352125495855,0.223212133903519,0.144408394849646,0.129226662824604,0.16835275,0.07789377,0.12724439,0.11610397,"0",49.3869,-123.2578
"59150004017",0.189308992592833,0.0632577335950887,0.0606421141403444,0.0635448166012252,0.0375899400735683,0.0949352125495855,0.223212133903519,0.144408394849646,0.129226662824604,0.16835275,0.07789377,0.12724439,0.11610397,"0",49.3848,-123.2601
"59150004018",0.186448305650309,0.0642804924228842,0.0624211235435823,0.0658640693444406,0.0380241785506789,0.0921605687991441,0.21686939596331,0.141917593357946,0.0958955068210562,0.16664316,0.07486822,0.12535327,0.11516583,"189",49.3895,-123.2575
"59150004019",0.186519701526381,0.0641384374119506,0.0621522302474098,0.0655047161954407,0.0379994319944645,0.09277529390786,0.216937062844324,0.141962735307137,0.0959456323124822,0.1667352,0.0749001,0.125387,0.1151975,"0",49.4057,-123.2426
"59150005003",0.385287325391784,0.201786645286543,0.174318131718688,0.188198488105459,0.155485443425444,0.144857925458526,0.240398595334244,0.153124021632315,0.157582567109752,0.2999118,0.164664,0.2309847,0.2147602,"88",49.3717,-123.2792
"59150005007",0.393517619377685,0.210479075684874,0.178836778325475,0.190500212028567,0.161915287533294,0.149190635104009,0.233417316348641,0.156506938888263,0.164231973866672,0.3071434,0.1692732,0.2345233,0.219172,"24",49.3699,-123.2776
"59150005015",0.37588012069526,0.205631058637472,0.182383608826544,0.189190342780151,0.146839211111281,0.143794088268382,0.229166022569213,0.147808915635938,0.157555924832722,0.2910456,0.1609549,0.2249664,0.2089343,"0",49.371,-123.2745
"59150005016",0.41063662067126,0.235592138084791,0.205983527901102,0.218527741151041,0.169780746532296,0.161981767309952,0.238594479774941,0.16996850584581,0.175400905690564,0.319412,0.1808613,0.2484588,0.2279666,"74",49.3725,-123.277
"59150005017",0.407424374437111,0.23263283545554,0.208200659954673,0.224101235251659,0.170361709870172,0.158935075702825,0.239439453753469,0.166911959269023,0.169956027560525,0.3165009,0.1796824,0.2464486,0.22574,"317",49.3716,-123.2758
"59150006004",0.372117185134434,0.187576598032467,0.161288216169405,0.171917199063141,0.140576194535636,0.169292096976827,0.245345561404516,0.165924009519536,0.174126601675699,0.2887323,0.1580899,0.2241932,0.2078926,"29",49.3708,-123.2818
"59150006005",0.379173038155137,0.195084002490456,0.168162176101185,0.179339013759603,0.146201525079057,0.142207602480388,0.251270320902812,0.150407591397699,0.155518611334401,0.2945445,0.163338,0.2275147,0.2100999,"10",49.3705,-123.2805
"59150006006",0.328130512972407,0.166756548704773,0.156689400408187,0.168514141235237,0.119004782715043,0.1615656951766,0.174267883442844,0.165633474848575,0.164405983300576,0.254502,0.1283428,0.1962045,0.1866285,"93",49.3694,-123.2814
"59150006007",0.308977217304739,0.159708392768573,0.149418219277048,0.160433525793701,0.114143211332843,0.148157381247554,0.208671379588863,0.173512582628266,0.153796920667396,0.2424173,0.1262438,0.1844698,0.1768195,"32",49.3699,-123.2826
"59150006010",0.295682977748657,0.154656638975031,0.145877195230957,0.154388817661612,0.1080380792223,0.148346900972713,0.213834274236112,0.115245189446156,0.211229602907036,0.2338599,0.1243696,0.1748323,0.1757653,"107",49.3731,-123.2802
"59150006011",0.408245351274409,0.237295322296496,0.209527739226509,0.224662251780497,0.169852014320659,0.161109873155221,0.239595220553561,0.168629848799227,0.172326304159962,0.3170434,0.180023,0.2467145,0.2263032,"161",49.3744,-123.278
"59150007007",0.306225485426132,0.15966138652295,0.147641136137854,0.158303538667448,0.111217556572774,0.148787406023876,0.206521823748132,0.172856199521004,0.15323910866019,0.2402075,0.1250646,0.1827765,0.1752044,"108",49.3718,-123.2835
"59150007008",0.303381326251784,0.156089593014387,0.145877195230957,0.154388817661612,0.113664527808221,0.149087688591499,0.214801674121451,0.115751946998245,0.212522652034521,0.241371,0.1260058,0.1798326,0.1813557,"146",49.3766,-123.2786
"59150008003",0.284441755968686,0.154361729742282,0.150443111765581,0.160853358318947,0.099263973023817,0.131681698251837,0.259443790724295,0.146565316576752,0.156657389840451,0.2176896,0.1220263,0.1656339,0.1619969,"72",49.3536,-123.2738
"59150008006",0.31792765451359,0.171183203277722,0.168119094056224,0.179122823853327,0.110667522319194,0.135029133386774,0.301417271834473,0.17471821042876,0.141925803185892,0.2391561,0.1348601,0.1937356,0.1740279,"215",49.3549,-123.2665
"59150008007",0.319772012169556,0.17342359218542,0.169048080909683,0.180400144727262,0.11110211645315,0.134194963506829,0.303287404440366,0.177019016169538,0.144970679652553,0.2403605,0.1369645,0.1947169,0.1749398,"20",49.3549,-123.275
"59150008008",0.297167206996128,0.15817984102441,0.153531607512848,0.164179263444853,0.106800075233436,0.14632133578062,0.199850620276923,0.147449284007095,0.152831464547209,0.2295245,0.1226432,0.1747253,0.1689458,"111",49.36,-123.2818
"59150008009",0.2958125408617,0.152818277990871,0.148665299435948,0.158948673283838,0.106402073238347,0.16920222677699,0.219593268792014,0.151291075290597,0.202606582757634,0.2312546,0.1234123,0.1763394,0.1731709,"178",49.3649,-123.2842
"59150009001",0.295682977748657,0.154656638975031,0.145877195230957,0.154388817661612,0.1080380792223,0.148346900972713,0.213834274236112,0.115245189446156,0.211229602907036,0.2338599,0.1243696,0.1748323,0.1757653,"23",49.3663,-123.2826
"59150009002",0.29403942876544,0.154709089617194,0.148459543739647,0.157828594831936,0.10780902803901,0.16535818243583,0.221450555940518,0.122801763810284,0.238862408200069,0.2333559,0.1231901,0.1746727,0.1760032,"41",49.3652,-123.282
"59150009003",0.330808247706364,0.171278820830551,0.164790109958651,0.177730353669755,0.119374763205674,0.137506267407536,0.22181798725676,0.213744105131605,0.147312259624158,0.2533516,0.1365202,0.2015729,0.1839047,"172",49.367,-123.2788
"59150009008",0.28353883937127,0.151135733767978,0.142652218743776,0.15322146722904,0.102864538396066,0.150912098751234,0.18048236257406,0.113192646029867,0.171047843189069,0.2216831,0.1199671,0.1650654,0.1660677,"100",49.3608,-123.2797
"59150009009",0.315106976884893,0.165956646532523,0.161549306280301,0.172326249847079,0.112432709357265,0.157812344453209,0.164352391318219,0.163522711500988,0.156979945006575,0.2405209,0.1251442,0.1873051,0.1773683,"10",49.3592,-123.2832
"59150009018",0.300540944256513,0.157217006098241,0.146674327544159,0.157219307104961,0.108565979509608,0.133617784317109,0.211303917511645,0.155098606088835,0.159438512860241,0.23549,0.1245069,0.1793239,0.1737407,"0",49.3661,-123.2754
"59150009019",0.27021143066887,0.146161069968043,0.138713316090284,0.148337482382775,0.102284768691152,0.129867702155616,0.209253023342246,0.11916633067591,0.209281351752291,0.2187061,0.1169098,0.1632597,0.1597618,"0",49.3608,-123.2732
"59150009021",0.253479289695378,0.142225255322048,0.130030227748579,0.137961921709593,0.101500710047059,0.131228683440359,0.214137537688998,0.138169173982345,0.134306805356377,0.2163559,0.1118224,0.1629563,0.1490534,"53",49.3626,-123.2763
"59150009022",0.288478274167081,0.150439980513659,0.143072498031836,0.154107554614448,0.105744900068869,0.172578244640972,0.30569410669024,0.121830271002908,0.216954151063826,0.2296552,0.1233778,0.1706011,0.1722625,"0",49.3646,-123.2751
"59150010001",0.311099886084299,0.164658281690559,0.161108134620574,0.171877839589769,0.105147301420551,0.148599612100432,0.157832050328558,0.169957421437786,0.144177359565896,0.233382,0.1297905,0.186426,0.1715316,"147",49.3586,-123.2648
"59150010003",0.328508006452281,0.185254444872682,0.182668400428339,0.194268315239198,0.119867842460778,0.153573000401191,0.269418884403418,0.143196216665213,0.149111973436233,0.2506808,0.1438746,0.200022,0.1806063,"34",49.3568,-123.2631
"59150010004",0.313889535493189,0.169020572197482,0.164893134612643,0.175862869235775,0.107755823106881,0.134980917830218,0.195010397021971,0.183611557737855,0.141993842422046,0.2361758,0.1315138,0.1905317,0.1721753,"145",49.356,-123.2662
"59150010005",0.311026960877488,0.165181326324803,0.161108134620574,0.171877839589769,0.104886164717417,0.148652260671314,0.157883629251609,0.169976086029701,0.144230060015725,0.2332918,0.1297752,0.1863726,0.1715319,"30",49.3546,-123.268
"59150010011",0.272060120564089,0.1490969960423,0.144600043003749,0.155348113433769,0.103936476681909,0.132442072064924,0.210314476679709,0.119937783478882,0.212187611027946,0.2202542,0.1177775,0.1643372,0.1606791,"0",49.361,-123.2745
"59150010012",0.28360522137324,0.152242110622291,0.146376411473382,0.156655719133315,0.106519039931439,0.157210525342114,0.187400721521735,0.120762391473815,0.222050093681159,0.2240698,0.1194399,0.1669399,0.1690368,"0",49.3607,-123.2743
"59150010013",0.331274849755833,0.189181151745057,0.186433788122605,0.198265519601483,0.121644298703223,0.145211504126691,0.239773838623115,0.142502410455165,0.137455345811461,0.2519737,0.1470607,0.2010391,0.1814237,"475",49.3587,-123.2681
"59150010014",0.302787594979744,0.161009718700028,0.157405229138025,0.168119372259495,0.102029234489045,0.151377559238259,0.176046716893586,0.141151405518614,0.192335032592376,0.2277045,0.1220944,0.1754614,0.1718863,"0",49.3615,-123.2636
"59150012001",0.28398581552536,0.110636915354027,0.110016259214637,0.116279396118017,0.0997945042919279,0.150957572741053,0.23142561237626,0.147588016667028,0.205600905531852,0.2228299,0.1132355,0.1687401,0.1647468,"162",49.3527,-123.2467
"59150012005",0.312342501845654,0.119846783431489,0.117836702911076,0.12433021193802,0.10670921405999,0.12736345500172,0.179094435058931,0.148348350150953,0.13607673439174,0.2389607,0.1218323,0.1891139,0.1758541,"36",49.3493,-123.2524
"59150012006",0.301201070443328,0.116179901004428,0.115678425245185,0.122130310976175,0.105917247818361,0.132377643166268,0.210060165051284,0.137636922337449,0.224682280244148,0.2309573,0.1192389,0.1757614,0.1772111,"314",49.3478,-123.2511
