"fromId","avg_time_to_allpoi","sd_time_to_allpoi","avg_sd_time_to_uniquepoi","n_accessible_poi","score","norm_score"
"59153270001",66.9070283809107,21.7105561187515,3.09429846342425,375,1.81132893411448,0.377642372168623
"59150274003",72.4730826409405,19.6585828130619,2.89567298007853,380,1.81074522455155,0.377520590664943
"59150303007",69.5812948701782,19.9657936939881,3.11941556328209,393,1.81061789903034,0.377494026266458
"59152872008",69.2616611064441,24.3831547967299,3.19800129703189,401,1.81039288452961,0.37744708065174
"59152913014",67.2906448108715,20.9783240291883,3.2266876193182,393,1.81000984766028,0.377367166240749
"59150891002",64.5183013571902,23.7287928339663,3.23695541829736,378,1.80997325292838,0.377359531345312
"59150028018",72.3306957991481,21.1421997041877,2.8265178283533,370,1.80978653227211,0.377320575118223
"59150890005",64.8378560454793,24.1995843895768,3.22180368300489,378,1.80952288643286,0.377265569703233
"59152198004",75.5359154428645,19.1735508089232,2.88290178031568,394,1.8093095626698,0.377221063170728
"59153059004",76.0173920965594,19.4344753555413,2.75670616692361,379,1.80857184577738,0.377067150543364
"59153888004",71.432930208659,21.5550703460129,2.99583191733156,387,1.80840232278876,0.377031782329832
"59152254002",82.6890777609121,18.7318451041113,2.68225145401025,401,1.80799295968718,0.376946375378794
"59150309002",64.6038822118329,20.7269705009601,3.32203472534528,388,1.80787725584887,0.376922235655368
"59150901004",69.3483256273516,22.5271728912796,2.9671534759016,372,1.80786896457302,0.376920505815556
"59154033006",66.0406605725549,23.6111142804959,3.15767402970532,377,1.8078510519645,0.376916768641216
"59152885010",72.1276161765028,23.9221437845314,3.05233841325944,398,1.80779345973181,0.376904752958859
"59150940011",69.2078531581884,23.9239205093317,2.98130263791897,373,1.80778754485837,0.376903518916747
"59153508002",86.1106498879688,18.3701179785917,2.44130886050741,380,1.80760694947139,0.376865840627439
"59150313006",66.0532488161029,18.8128445863134,3.20814397555365,383,1.80738527798373,0.376819592478009
"59152870006",67.9998781478911,25.1059114536409,3.26383125896387,401,1.80679358791741,0.376696145972135
"59152930005",63.3403239745135,24.1952404685633,3.51296879305449,402,1.80663941496839,0.376663980294631
