poi_name,Name,pid,Rating,Total_Review,opening_hours,open_days,Total_hours
Maple Ridge Public Library,Maple Ridge Public Library,ChIJO5jGBl_ThVQR7aRwKSD8rtc,4.5,63,"['Monday: 10:00 AM – 6:00 PM', 'Tuesday: 10:00 AM – 6:00 PM', 'Wednesday: 10:00 AM – 6:00 PM', 'Thursday: 10:00 AM – 6:00 PM', 'Friday: 10:00 AM – 5:00 PM', 'Saturday: 10:00 AM – 5:00 PM', 'Sunday: Closed']",6,46
White Rock Library,White Rock Library,ChIJQzBkD4LDhVQRn-f3SjvnPX0,4.2,29,"['Monday: 10:00 AM – 6:00 PM', 'Tuesday: 10:00 AM – 6:00 PM', 'Wednesday: 10:00 AM – 6:00 PM', 'Thursday: 10:00 AM – 6:00 PM', 'Friday: 10:00 AM – 5:00 PM', 'Saturday: 10:00 AM – 5:00 PM', 'Sunday: Closed']",6,46
221A Artist Run Centre,Access Artist-Run Centre,ChIJI_kXTHdxhlQRjSihNhSkWjw,4.5,2,"['Monday: 10:00 AM – 6:00 PM', 'Tuesday: 10:00 AM – 6:00 PM', 'Wednesday: 10:00 AM – 6:00 PM', 'Thursday: 10:00 AM – 8:00 PM', 'Friday: 10:00 AM – 8:00 PM', 'Saturday: 10:00 AM – 8:00 PM', 'Sunday: 10:00 AM – 6:00 PM']",7,62
Arteclectica Gallery,TAP True Aromatherapy Products & Spa,ChIJo2ZfhFjShVQRxnlngsT3q84,4.4,37,"['Monday: 11:00 AM – 6:00 PM', 'Tuesday: 11:00 AM – 6:00 PM', 'Wednesday: 11:00 AM – 6:00 PM', 'Thursday: 11:00 AM – 6:00 PM', 'Friday: 11:00 AM – 6:00 PM', 'Saturday: 11:00 AM – 6:00 PM', 'Sunday: 11:00 AM – 6:00 PM']",7,49
Bau-Xi Gallery,Bau-Xi Gallery,ChIJ9fwx4r5zhlQR3yJ5jk5pT5Y,4.4,12,"['Monday: 10:00 AM – 5:30 PM', 'Tuesday: 10:00 AM – 5:30 PM', 'Wednesday: 10:00 AM – 5:30 PM', 'Thursday: 10:00 AM – 5:30 PM', 'Friday: 10:00 AM – 5:30 PM', 'Saturday: 10:00 AM – 5:30 PM', 'Sunday: 10:00 AM – 5:30 PM']",7,52.5
BC Farm Machinery & Agricultural Museum Association,BC Farm Museum,ChIJBT3fCvbShVQRbwojVzpHyl8,4.5,74,"['Monday: 10:00 AM – 4:00 PM', 'Tuesday: 10:00 AM – 4:00 PM', 'Wednesday: 10:00 AM – 4:00 PM', 'Thursday: 10:00 AM – 4:00 PM', 'Friday: 10:00 AM – 4:00 PM', 'Saturday: 10:00 AM – 4:00 PM', 'Sunday: 10:00 AM – 4:00 PM']",7,42
Bloedel Conservatory,Bloedel Conservatory,ChIJnwmhxIpzhlQRr3heOBl69fg,4.6,4466,"['Monday: 10:00 AM – 4:45 PM', 'Tuesday: 10:00 AM – 4:45 PM', 'Wednesday: 10:00 AM – 4:45 PM', 'Thursday: 10:00 AM – 4:45 PM', 'Friday: 10:00 AM – 4:45 PM', 'Saturday: 10:00 AM – 4:45 PM', 'Sunday: 10:00 AM – 4:45 PM']",7,47.25
Bob Prittie Metrotown Branch,"Burnaby Public Library, Bob Prittie Metrotown Branch",ChIJu0r6z-x2hlQR8MFjWyu90J8,4.4,309,"['Monday: 10:00 AM – 5:00 PM', 'Tuesday: 10:00 AM – 7:00 PM', 'Wednesday: 10:00 AM – 7:00 PM', 'Thursday: 10:00 AM – 7:00 PM', 'Friday: 10:00 AM – 5:00 PM', 'Saturday: 10:00 AM – 4:00 PM', 'Sunday: 12:00 – 4:00 PM']",7,51
Bob Prittie Metrotown Library,"Burnaby Public Library, Bob Prittie Metrotown Branch",ChIJu0r6z-x2hlQR8MFjWyu90J8,4.4,309,"['Monday: 10:00 AM – 5:00 PM', 'Tuesday: 10:00 AM – 7:00 PM', 'Wednesday: 10:00 AM – 7:00 PM', 'Thursday: 10:00 AM – 7:00 PM', 'Friday: 10:00 AM – 5:00 PM', 'Saturday: 10:00 AM – 4:00 PM', 'Sunday: 12:00 – 4:00 PM']",7,51
Bully's Studios Inc,Bully's Rehearsal Studios Inc.,ChIJi-qTaXLYhVQR20wsramdr9k,4.8,66,"['Monday: 3:00 PM – 12:00 AM', 'Tuesday: 3:00 PM – 12:00 AM', 'Wednesday: 3:00 PM – 12:00 AM', 'Thursday: 3:00 PM – 12:00 AM', 'Friday: 3:00 PM – 12:00 AM', 'Saturday: 12:00 PM – 12:00 AM', 'Sunday: 12:00 PM – 12:00 AM']",7,99
