"fromId","type","time_groups","pop"
"59150010013","museum","45",475
"59150010013","theatre/performance and concert hall","60",475
"59150010014","gallery","60",0
"59150010014","library or archives","60",0
"59150010014","museum","60",0
"59150010014","theatre/performance and concert hall","75",0
"59150012001","gallery","60",162
"59150012001","library or archives","60",162
"59150012001","museum","60",162
"59150012001","theatre/performance and concert hall","75",162
"59150012005","gallery","60",36
"59150012005","library or archives","45",36
"59150012005","museum","60",36
"59150012005","theatre/performance and concert hall","75",36
"59150012006","gallery","60",314
"59150012006","library or archives","60",314
"59150012006","museum","60",314
"59150012006","theatre/performance and concert hall","75",314
"59150012009","gallery","60",0
"59150012009","library or archives","45",0
"59150012009","museum","60",0
"59150012009","theatre/performance and concert hall","75",0
"59150012010","gallery","60",0
"59150012010","library or archives","45",0
"59150012010","museum","60",0
"59150012010","theatre/performance and concert hall","75",0
"59150012012","gallery","60",0
"59150012012","library or archives","45",0
"59150012012","museum","60",0
"59150012012","theatre/performance and concert hall","75",0
"59150013001","gallery","60",112
"59150013001","library or archives","60",112
"59150013001","museum","60",112
"59150013001","theatre/performance and concert hall","75",112
"59150013002","gallery","90+",162
"59150013002","library or archives","90+",162
"59150013002","museum","90+",162
"59150013002","theatre/performance and concert hall","90+",162
"59150013003","gallery","60",86
"59150013003","library or archives","45",86
"59150013003","museum","60",86
"59150013003","theatre/performance and concert hall","75",86
"59150014007","gallery","75",0
"59150014007","library or archives","60",0
"59150014007","museum","60",0
"59150014007","theatre/performance and concert hall","90",0
"59150014012","gallery","60",15
"59150014012","library or archives","60",15
"59150014012","museum","60",15
"59150014012","theatre/performance and concert hall","75",15
"59150014013","gallery","60",0
"59150014013","library or archives","60",0
"59150014013","museum","60",0
"59150014013","theatre/performance and concert hall","75",0
"59150014017","gallery","75",0
"59150014017","library or archives","75",0
"59150014017","museum","90",0
"59150014017","theatre/performance and concert hall","90",0
"59150014023","gallery","90+",0
"59150014023","library or archives","90+",0
"59150014023","museum","90+",0
"59150014023","theatre/performance and concert hall","90+",0
"59150014024","gallery","60",0
"59150014024","library or archives","60",0
"59150014024","museum","60",0
"59150014024","theatre/performance and concert hall","75",0
"59150014025","gallery","60",0
"59150014025","library or archives","60",0
"59150014025","museum","60",0
"59150014025","theatre/performance and concert hall","75",0
"59150015001","gallery","90+",138
"59150015001","library or archives","90+",138
"59150015001","museum","90+",138
"59150015001","theatre/performance and concert hall","90+",138
"59150015002","gallery","45",243
"59150015002","library or archives","45",243
"59150015002","museum","45",243
"59150015002","theatre/performance and concert hall","60",243
"59150015003","gallery","90+",114
"59150015003","library or archives","90+",114
"59150015003","museum","90+",114
"59150015003","theatre/performance and concert hall","90+",114
"59150016003","gallery","60",289
"59150016003","library or archives","60",289
"59150016003","museum","60",289
"59150016003","theatre/performance and concert hall","90",289
"59150016004","gallery","30",36
"59150016004","library or archives","30",36
"59150016004","museum","30",36
"59150016004","theatre/performance and concert hall","60",36
"59150016005","gallery","45",88
"59150016005","library or archives","45",88
"59150016005","museum","45",88
"59150016005","theatre/performance and concert hall","60",88
"59150017003","gallery","45",26
"59150017003","library or archives","30",26
"59150017003","museum","30",26
"59150017003","theatre/performance and concert hall","60",26
"59150017005","gallery","45",24
