"fromId","type","time_groups","pop"
"2.922398740897e-313","gallery","60",0
"2.922398740897e-313","library or archives","60",0
"2.922398740897e-313","museum","60",0
"2.922398740897e-313","theatre/performance and concert hall","75",0
"2.92239878926603e-313","gallery","60",147
"2.92239878926603e-313","library or archives","60",147
"2.92239878926603e-313","museum","60",147
"2.92239878926603e-313","theatre/performance and concert hall","75",147
"2.92239878936484e-313","gallery","45",34
"2.92239878936484e-313","library or archives","45",34
"2.92239878936484e-313","museum","45",34
"2.92239878936484e-313","theatre/performance and concert hall","75",34
"2.92239878941425e-313","gallery","60",145
"2.92239878941425e-313","library or archives","45",145
"2.92239878941425e-313","museum","60",145
"2.92239878941425e-313","theatre/performance and concert hall","75",145
"2.92239878946365e-313","gallery","60",30
"2.92239878946365e-313","library or archives","60",30
"2.92239878946365e-313","museum","60",30
"2.92239878946365e-313","theatre/performance and concert hall","75",30
"2.92239878976009e-313","gallery","60",0
"2.92239878976009e-313","library or archives","60",0
"2.92239878976009e-313","museum","60",0
"2.92239878976009e-313","theatre/performance and concert hall","75",0
"2.9223987898095e-313","gallery","60",0
"2.9223987898095e-313","library or archives","60",0
"2.9223987898095e-313","museum","60",0
"2.9223987898095e-313","theatre/performance and concert hall","75",0
"2.9223987898589e-313","gallery","45",475
"2.9223987898589e-313","library or archives","45",475
"2.9223987898589e-313","museum","45",475
"2.9223987898589e-313","theatre/performance and concert hall","60",475
"2.92239878990831e-313","gallery","60",0
"2.92239878990831e-313","library or archives","60",0
"2.92239878990831e-313","museum","60",0
"2.92239878990831e-313","theatre/performance and concert hall","75",0
"2.92239888807915e-313","gallery","60",162
"2.92239888807915e-313","library or archives","60",162
"2.92239888807915e-313","museum","60",162
"2.92239888807915e-313","theatre/performance and concert hall","75",162
"2.92239888827678e-313","gallery","60",36
"2.92239888827678e-313","library or archives","45",36
"2.92239888827678e-313","museum","60",36
"2.92239888827678e-313","theatre/performance and concert hall","75",36
"2.92239888832619e-313","gallery","60",314
"2.92239888832619e-313","library or archives","60",314
"2.92239888832619e-313","museum","60",314
"2.92239888832619e-313","theatre/performance and concert hall","75",314
"2.92239888847441e-313","gallery","60",0
"2.92239888847441e-313","library or archives","45",0
"2.92239888847441e-313","museum","60",0
"2.92239888847441e-313","theatre/performance and concert hall","75",0
"2.92239888852381e-313","gallery","60",0
"2.92239888852381e-313","library or archives","45",0
"2.92239888852381e-313","museum","60",0
"2.92239888852381e-313","theatre/performance and concert hall","75",0
"2.92239888862263e-313","gallery","60",0
"2.92239888862263e-313","library or archives","45",0
"2.92239888862263e-313","museum","60",0
"2.92239888862263e-313","theatre/performance and concert hall","75",0
"2.92239893748572e-313","gallery","60",112
"2.92239893748572e-313","library or archives","60",112
"2.92239893748572e-313","museum","60",112
"2.92239893748572e-313","theatre/performance and concert hall","75",112
"2.92239893753513e-313","gallery","90+",162
"2.92239893753513e-313","library or archives","90+",162
"2.92239893753513e-313","museum","90+",162
"2.92239893753513e-313","theatre/performance and concert hall","90+",162
"2.92239893758453e-313","gallery","60",86
"2.92239893758453e-313","library or archives","45",86
"2.92239893758453e-313","museum","60",86
"2.92239893758453e-313","theatre/performance and concert hall","75",86
"2.92239898718872e-313","gallery","75",0
"2.92239898718872e-313","library or archives","60",0
"2.92239898718872e-313","museum","60",0
"2.92239898718872e-313","theatre/performance and concert hall","90",0
"2.92239898743576e-313","gallery","60",15
"2.92239898743576e-313","library or archives","60",15
"2.92239898743576e-313","museum","60",15
"2.92239898743576e-313","theatre/performance and concert hall","75",15
"2.92239898748516e-313","gallery","60",0
"2.92239898748516e-313","library or archives","60",0
"2.92239898748516e-313","museum","60",0
"2.92239898748516e-313","theatre/performance and concert hall","75",0
"2.92239898768279e-313","gallery","75",0
"2.92239898768279e-313","library or archives","75",0
"2.92239898768279e-313","museum","90",0
"2.92239898768279e-313","theatre/performance and concert hall","90",0
"2.92239898797923e-313","gallery","90+",0
"2.92239898797923e-313","library or archives","90+",0
"2.92239898797923e-313","museum","90+",0
"2.92239898797923e-313","theatre/performance and concert hall","90+",0
"2.92239898802864e-313","gallery","60",0
"2.92239898802864e-313","library or archives","60",0
"2.92239898802864e-313","museum","60",0
"2.92239898802864e-313","theatre/performance and concert hall","75",0
"2.92239898807804e-313","gallery","60",0
"2.92239898807804e-313","library or archives","60",0
"2.92239898807804e-313","museum","60",0
"2.92239898807804e-313","theatre/performance and concert hall","75",0
"2.92239903629885e-313","gallery","90+",138
"2.92239903629885e-313","library or archives","90+",138
"2.92239903629885e-313","museum","90+",138
"2.92239903629885e-313","theatre/performance and concert hall","90+",138
"2.92239903634826e-313","gallery","45",243
"2.92239903634826e-313","library or archives","45",243
"2.92239903634826e-313","museum","45",243
"2.92239903634826e-313","theatre/performance and concert hall","60",243
"2.92239903639766e-313","gallery","90+",114
"2.92239903639766e-313","library or archives","90+",114
"2.92239903639766e-313","museum","90+",114
"2.92239903639766e-313","theatre/performance and concert hall","90+",114
"2.92239908580423e-313","gallery","60",289
"2.92239908580423e-313","library or archives","60",289
"2.92239908580423e-313","museum","60",289
"2.92239908580423e-313","theatre/performance and concert hall","90",289
"2.92239908585363e-313","gallery","30",36
"2.92239908585363e-313","library or archives","30",36
"2.92239908585363e-313","museum","30",36
"2.92239908585363e-313","theatre/performance and concert hall","60",36
"2.92239908590304e-313","gallery","45",88
"2.92239908590304e-313","library or archives","45",88
"2.92239908590304e-313","museum","45",88
"2.92239908590304e-313","theatre/performance and concert hall","60",88
"2.92239913521079e-313","gallery","45",26
"2.92239913521079e-313","library or archives","30",26
"2.92239913521079e-313","museum","30",26
"2.92239913521079e-313","theatre/performance and concert hall","60",26
"2.9223991353096e-313","gallery","45",24
"2.9223991353096e-313","library or archives","30",24
"2.9223991353096e-313","museum","45",24
"2.9223991353096e-313","theatre/performance and concert hall","60",24
"2.92239913550723e-313","gallery","45",252
"2.92239913550723e-313","library or archives","45",252
"2.92239913550723e-313","museum","45",252
"2.92239913550723e-313","theatre/performance and concert hall","60",252
"2.92239918451854e-313","gallery","45",28
"2.92239918451854e-313","library or archives","30",28
"2.92239918451854e-313","museum","45",28
"2.92239918451854e-313","theatre/performance and concert hall","60",28
"2.92239918471617e-313","gallery","30",52
"2.92239918471617e-313","library or archives","30",52
"2.92239918471617e-313","museum","30",52
"2.92239918471617e-313","theatre/performance and concert hall","60",52
"2.92239918476558e-313","gallery","45",26
"2.92239918476558e-313","library or archives","30",26
"2.92239918476558e-313","museum","30",26
"2.92239918476558e-313","theatre/performance and concert hall","60",26
"2.92239918481498e-313","gallery","30",29
"2.92239918481498e-313","library or archives","30",29
"2.92239918481498e-313","museum","30",29
"2.92239918481498e-313","theatre/performance and concert hall","60",29
"2.92239918486439e-313","gallery","45",99
"2.92239918486439e-313","library or archives","30",99
"2.92239918486439e-313","museum","45",99
"2.92239918486439e-313","theatre/performance and concert hall","60",99
"2.92239918491379e-313","gallery","30",75
"2.92239918491379e-313","library or archives","30",75
"2.92239918491379e-313","museum","30",75
"2.92239918491379e-313","theatre/performance and concert hall","60",75
"2.9223991849632e-313","gallery","30",188
