"fromId","mean_score","pop","amn_dens","trafficScore","need","eff"
"59150004004",0.206581607752911,0.213693090706268,0.00969113853447675,0.00808756884891585,0.00718120337446838,0.16711551059029
"59150004005",0.191452276371749,0.270306072648679,0.00969113853447675,0.00808756884891585,0.0104580631667015,0.147900138292452
"59150004006",0.181900578679495,0.474377745241581,0.00969113853447675,0.00808756884891585,0.0407167259290246,0.106339617148264
"59150004011",0.192846684793976,0.132608240953775,0.00969113853447675,0.00808756884891585,0.00188245137000627,0.158308464953781
"59150004012",0.18057589067838,0.132608240953775,0.00969113853447675,0.00808756884891585,0.00188245137000627,0.145498216755222
"59150004013",0.134072369797114,0.132608240953775,0.00969113853447675,0.00808756884891585,0.00188245137000627,0.0969502875027295
"59150004014",0.00508959074112808,0.132608240953775,0.00969113853447675,0.00808756884891585,0.00188245137000627,-0.0377028895843948
"59150004017",0.00508959074112808,0.132608240953775,0.00969113853447675,0.00808756884891585,0.00188245137000627,-0.0377028895843948
"59150004018",0.00571707453113017,0.749494526946943,0.00969113853447675,0.00250993516000837,0.108903297775919,-0.14877356430599
"59150004019",0.00557763368890748,0.132608240953775,0.00969113853447675,0.00822700969113853,0.00195217179111762,-0.0372661765776258
"59150005003",0.133026563480443,0.447535383113714,0.00969113853447675,0.00808756884891585,0.036742661925678,0.0594657544217192
"59150005007",0.142578261172697,0.180366729415046,0.00969113853447675,0.00808756884891585,0.00474098863557136,0.102845913094112
"59150005015",0.10534755629924,0.132608240953775,0.00969113853447675,0.00808756884891585,0.00188245137000627,0.066962661037921
"59150005016",0.184619675102838,0.381231262636826,0.00969113853447675,0.00808756884891585,0.0240535452834135,0.126573986461897
"59150005017",0.171512235933905,0.872063027260685,0.00969113853447675,0.00808756884891585,0.152199679286063,-0.0208894388237864
"59150006004",0.128355295265983,0.195426340375096,0.00969113853447675,0.00808756884891585,0.00585651537335286,0.0868331028459128
"59150006005",0.145994561807153,0.155197657393851,0.00969113853447675,0.00808756884891585,0.00285853726556508,0.108377611179853
"59150006006",0.113435125148156,0.469845917869344,0.00969113853447675,0.00808756884891585,0.0400195217179112,0.0355921100516776
"59150006007",0.0886146552325176,0.20497803806735,0.00969113853447675,0.00808756884891585,0.00662344000557763,0.0445447266904431
"59150006010",0.0656766366868856,0.533709823607335,0.00969113853447675,0.00808756884891585,0.0534058425712891,-0.028240774437732
"59150006011",0.178344837202817,0.699226103325664,0.00969113853447675,0.00808756884891585,0.0939831276580911,0.047019433728801
"59150007007",0.0833856236491668,0.538381091821795,0.00969113853447675,0.00808756884891585,0.0543819284668479,-0.01077225416697
"59150007008",0.0679076901624486,0.663041204768877,0.00969113853447675,0.00808756884891585,0.0853377954402845,-0.0592473979183347
"59150008003",0.059262357944642,0.371958446629018,0.00969113853447675,0.00808756884891585,0.0225894164400753,-0.0027658490428708
"59150008006",0.0995607613469985,0.785749145924841,0.00969113853447675,0.00808756884891585,0.121592414418183,-0.0640512409927944
"59150008007",0.102070696507007,0.170257268353901,0.00969113853447675,0.00808756884891585,0.0043226661089033,0.0609942499454108
"59150008008",0.0701387436380116,0.550791326779614,0.00969113853447675,0.00808756884891585,0.0575193474168584,-0.0278768469320912
"59150008009",0.0633758627902112,0.731506658300216,0.00969113853447675,0.00808756884891585,0.104441190824793,-0.0839216828007862
"59150009001",0.0656766366868856,0.177368751307258,0.00969113853447675,0.00808756884891585,0.00467126821446001,0.0226362908508624
"59150009002",0.0611448093146483,0.235794464198564,0.00969113853447675,0.00808756884891585,0.00808756884891585,0.0143387437222504
"59150009003",0.119988844732622,0.720351390922401,0.00969113853447675,0.00808756884891585,0.100188245137001,-0.0203799403158892
"59150009008",0.0536150038346232,0.502753956633898,0.00969113853447675,0.00808756884891585,0.0468521229868228,-0.0339908290268579
"59150009009",0.0909851495503033,0.155197657393851,0.00969113853447675,0.00808756884891585,0.00285853726556508,0.0509498507897226
"59150009018",0.0736247646935787,0.132608240953775,0.00969113853447675,0.00808756884891585,0.00188245137000627,0.0338452580246014
"59150009019",0.0446210695112598,0.132608240953775,0.00969113853447675,0.00808756884891585,0.00188245137000627,0.00356648955528049
"59150009021",0.0370912640312347,0.283483232238723,0.00969113853447675,0.00808756884891585,0.0121313532733738,-0.0149938132324042
"59150009022",0.057031304469079,0.132608240953775,0.00969113853447675,0.00808756884891585,0.00188245137000627,0.0165223087560957
"59150010001",0.0869413651258454,0.665760301192219,0.00969113853447675,0.00808756884891585,0.0857561179669525,-0.039813669117112
"59150010003",0.131492714215994,0.21069511259848,0.00969113853447675,0.00808756884891585,0.00711148295335704,0.0887983113763737
"59150010004",0.0941922889214251,0.660879871714425,0.00969113853447675,0.00808756884891585,0.0845708708080597,-0.0310066234806028
"59150010005",0.0872899672314021,0.198354598061772,0.00969113853447675,0.00808756884891585,0.00613539705779823,0.0436713006769052
"59150010011",0.0472704455134909,0.132608240953775,0.00969113853447675,0.00808756884891585,0.00188245137000627,0.00633233859815108
"59150010012",0.0534058425712891,0.132608240953775,0.00969113853447675,0.00808756884891585,0.00188245137000627,0.0127374626974306
"59150010013",0.140207766854912,0.930349299309768,0.00969113853447675,0.00808756884891585,0.17541657951614,-0.0778077007060194
"59150010014",0.075716377326919,0.132608240953775,0.00969113853447675,0.00808756884891585,0.00188245137000627,0.0360288230584467
"59150012001",0.0795510004880429,0.700690232169002,0.00969113853447675,0.0103186223244788,0.0948894931325385,-0.0570638328844896
"59150012005",0.0967022240814334,0.217248832182946,0.00969113853447675,0.00808756884891585,0.00732064421669107,0.0522599898100298
